feature_set,metric,model_a,model_b,difference,low,high,t,p_value,p_holm
main,auc,dummy,lr_penalized,-0.2003641813413264,-0.2910134219943498,-0.10971494068830295,-6.136842918204129,0.0035739917194099677,0.03573991719409968
main,auc,dummy,lr_scored,-0.1792071937055077,-0.2756210985164334,-0.08279328889458198,-5.160655371812156,0.006694993091469698,0.05355994473175758
main,auc,dummy,random_forest,-0.20782465342825027,-0.326197958590953,-0.08945134826554751,-4.87452589886879,0.008192887121383854,0.05735020984968697
main,auc,dummy,xgboost,-0.20435069314349946,-0.30359377489670614,-0.1051076113902928,-5.716957511788604,0.004631474585182594,0.04168327126664335
main,auc,lr_penalized,lr_scored,0.02115698763581868,-0.0032315910576309267,0.04554556632926829,2.408554245843608,0.07367006960056344,0.4366651673523145
main,auc,lr_penalized,random_forest,-0.007460472086923931,-0.04870551858071102,0.03378457440686316,-0.5022079732974696,0.6419077969403844,1.0
main,auc,lr_penalized,xgboost,-0.003986511802173132,-0.031243439790212994,0.02327041618586673,-0.40607405151503234,0.7054732537505558,1.0
main,auc,lr_scored,random_forest,-0.02861745972274261,-0.0655986917058286,0.008363772260343388,-2.148517010107823,0.09814478362529054,0.4366651673523145
main,auc,lr_scored,xgboost,-0.025143499437991813,-0.053992611974961836,0.003705613098978211,-2.41981606375916,0.07277752789205241,0.4366651673523145
main,auc,random_forest,xgboost,0.003473960284750799,-0.018048752631552117,0.024996673201053712,0.4481433203033548,0.6772517580555427,1.0
no_consequence,auc,dummy,lr_penalized,-0.19510378418883476,-0.27747892866165946,-0.11272863971601006,-6.575951399943953,0.0027679771519182246,0.027679771519182245
no_consequence,auc,dummy,lr_scored,-0.18025327838141625,-0.2738653715118869,-0.08664118525094562,-5.346139753123821,0.005900908079936937,0.05310817271943243
no_consequence,auc,dummy,random_forest,-0.20140726863994002,-0.3065490044369899,-0.09626553284289013,-5.318499080574516,0.006011642309506833,0.05310817271943243
no_consequence,auc,dummy,xgboost,-0.19251105282877484,-0.29544060786160864,-0.08958149779594103,-5.192836694498729,0.006548269592743786,0.05310817271943243
no_consequence,auc,lr_penalized,lr_scored,0.014850505807418512,-0.01104636818698571,0.04074737980182273,1.5921463790428076,0.1865674580954706,0.9963049417763798
no_consequence,auc,lr_penalized,random_forest,-0.0063034844511052675,-0.05064577970630628,0.03803881080409574,-0.39468589637133983,0.7132151947775045,1.0
no_consequence,auc,lr_penalized,xgboost,0.00259273136005993,-0.04510042842127286,0.050285891141392716,0.15093519336390768,0.8873326802691349,1.0
no_consequence,auc,lr_scored,random_forest,-0.02115399025852378,-0.05588165120730844,0.013573670690260876,-1.6912424017067464,0.16605082362939663,0.9963049417763798
no_consequence,auc,lr_scored,xgboost,-0.012257774447358583,-0.05026562710256069,0.025750078207843526,-0.895421221865036,0.4211758584529883,1.0
no_consequence,auc,random_forest,xgboost,0.008896215811165198,-0.007072305691284036,0.02486473731361443,1.5467840801607333,0.19682000586218124,0.9963049417763798
main,pr_auc,dummy,lr_penalized,-0.15747968209851754,-0.295162343084452,-0.01979702111258308,-3.175662711626419,0.03367467803954998,0.26939742431639985
main,pr_auc,dummy,lr_scored,-0.145049898224971,-0.2961220744760833,0.006022278026141331,-2.6657660591765895,0.05605255182173962,0.39236786275217733
main,pr_auc,dummy,random_forest,-0.16333209678284474,-0.2955457211403235,-0.031118472425366,-3.4299233746765525,0.026537501858489628,0.23883751672640666
main,pr_auc,dummy,xgboost,-0.16417846735946032,-0.2677768007343626,-0.060580133984558,-4.39999840952537,0.011691201611121482,0.11691201611121482
main,pr_auc,lr_penalized,lr_scored,0.01242978387354654,-0.040353314012063914,0.06521288175915699,0.6538193849319883,0.5489095513768213,1.0
main,pr_auc,lr_penalized,random_forest,-0.005852414684327167,-0.06830586305074024,0.056601033682085904,-0.26017631578253053,0.8075715771291028,1.0
main,pr_auc,lr_penalized,xgboost,-0.0066987852609427575,-0.05316054004759254,0.03976296952570702,-0.4003036397122862,0.7093908162345572,1.0
main,pr_auc,lr_scored,random_forest,-0.01828219855787371,-0.07645449874500981,0.0398901016292624,-0.8725720065215383,0.4321453097741736,1.0
main,pr_auc,lr_scored,xgboost,-0.0191285691344893,-0.083547609795389,0.04529047152641041,-0.8244367130901116,0.45601419598611204,1.0
main,pr_auc,random_forest,xgboost,-0.0008463705766155905,-0.043179003240880365,0.04148626208764919,-0.05551040170982484,0.9583939036816488,1.0
no_consequence,pr_auc,dummy,lr_penalized,-0.15013560651997215,-0.2700472375236294,-0.03022397551631488,-3.4762538575225035,0.025438466707308687,0.2035077336584695
no_consequence,pr_auc,dummy,lr_scored,-0.14318516800619116,-0.2894223760406408,0.0030520400282585125,-2.718499376397159,0.05306904337830932,0.37148330364816523
no_consequence,pr_auc,dummy,random_forest,-0.15673861752558121,-0.2726917960604638,-0.040785438990698614,-3.7530335340781837,0.019894654960339757,0.17905189464305782
no_consequence,pr_auc,dummy,xgboost,-0.14276166955818426,-0.2317240357272653,-0.05379930338910323,-4.455478824622858,0.011199271122626498,0.11199271122626497
no_consequence,pr_auc,lr_penalized,lr_scored,0.006950438513780998,-0.04533332129238816,0.05923419831995016,0.3690918759880098,0.7307664371791693,1.0
no_consequence,pr_auc,lr_penalized,random_forest,-0.0066030110056090555,-0.07932122993825674,0.06611520792703862,-0.25210872674247603,0.8133810898069633,1.0
no_consequence,pr_auc,lr_penalized,xgboost,0.007373936961787886,-0.06454596721923155,0.07929384114280731,0.2846684991690553,0.7900280247399909,1.0
no_consequence,pr_auc,lr_scored,random_forest,-0.013553449519390054,-0.0833122136580609,0.056205314619280786,-0.539436285050174,0.6182115618230777,1.0
no_consequence,pr_auc,lr_scored,xgboost,0.0004234984480068871,-0.07733770839161301,0.07818470528762679,0.015120909780279992,0.9886598578313908,1.0
