model,metric,difference,low,high,t,p_value
dummy,auc,0.0,0.0,0.0,,
lr_penalized,auc,-0.005260397152491603,-0.01583510247226072,0.005314308167277513,-1.3811452408160916,0.23937689279527943
lr_scored,auc,0.001046084675908565,-0.004589982869480446,0.006682152221297577,0.5153232559153599,0.633498535400642
random_forest,auc,-0.006417384788310265,-0.028024560073967048,0.015189790497346516,-0.8246111001608983,0.4559258578792929
xgboost,auc,-0.011839640314724665,-0.03528641597197278,0.011607135342523452,-1.4019885667715672,0.2335509236704345
dummy,pr_auc,0.0,0.0,0.0,,
lr_penalized,pr_auc,-0.0073440755785454,-0.031990794692496924,0.017302643535406125,-0.8273077888372097,0.45456154158335604
lr_scored,pr_auc,-0.0018647302187798586,-0.012098031200326395,0.008368570762766677,-0.5059287416427882,0.6395154271081687
random_forest,pr_auc,-0.006593479257263513,-0.03127966918175186,0.018092710667224836,-0.7415657606965399,0.4995277046270741
xgboost,pr_auc,-0.021416797801276043,-0.06322655562945505,0.020392960026902964,-1.4222173605676103,0.22803153103854268
