feature_set,model,fold,n,prevalence,auc,pr_auc
main,dummy,outer0,870,0.09770114942528736,0.5,0.09770114942528736
main,dummy,outer1,870,0.09770114942528736,0.5,0.09770114942528736
main,dummy,outer2,870,0.09770114942528736,0.5,0.09770114942528736
main,dummy,outer3,870,0.09770114942528736,0.5,0.09770114942528736
main,dummy,outer4,870,0.09770114942528736,0.5,0.09770114942528736
main,lr_penalized,outer0,870,0.09770114942528736,0.6586886474334956,0.18983217254823226
main,lr_penalized,outer1,870,0.09770114942528736,0.6783814162607719,0.23133630318313095
main,lr_penalized,outer2,870,0.09770114942528736,0.6598426376920196,0.20782824159626873
main,lr_penalized,outer3,870,0.09770114942528736,0.7621131509928812,0.3756802620081798
main,lr_penalized,outer4,870,0.09770114942528736,0.7427950543274635,0.27122717828321286
main,lr_scored,outer0,870,0.09770114942528736,0.6316897714499813,0.1491087882467343
main,lr_scored,outer1,870,0.09770114942528736,0.6432971150243537,0.19547881221545668
main,lr_scored,outer2,870,0.09770114942528736,0.6502135631322592,0.22329144582764315
main,lr_scored,outer3,870,0.09770114942528736,0.7330161109029599,0.3551481544064318
main,lr_scored,outer4,870,0.09770114942528736,0.7378194080179843,0.2907280375550259
main,random_forest,outer0,870,0.09770114942528736,0.6339003372049457,0.19192837480229286
main,random_forest,outer1,870,0.09770114942528736,0.693907830648183,0.23571871146084344
main,random_forest,outer2,870,0.09770114942528736,0.6647433495691271,0.20419618374674878
main,random_forest,outer3,870,0.09770114942528736,0.7672536530535781,0.3426106731391318
main,random_forest,outer4,870,0.09770114942528736,0.7793180966654177,0.33071228789164353
main,xgboost,outer0,870,0.09770114942528736,0.6481528662420383,0.20202347835765888
main,xgboost,outer1,870,0.09770114942528736,0.6937579617834395,0.25486147483281885
main,xgboost,outer2,870,0.09770114942528736,0.6606369426751593,0.2196467034735849
main,xgboost,outer3,870,0.09770114942528736,0.7536755339078307,0.3388834222610878
main,xgboost,outer4,870,0.09770114942528736,0.7655301611090297,0.2939830049985879
no_consequence,dummy,outer0,870,0.09770114942528736,0.5,0.09770114942528736
no_consequence,dummy,outer1,870,0.09770114942528736,0.5,0.09770114942528736
no_consequence,dummy,outer2,870,0.09770114942528736,0.5,0.09770114942528736
no_consequence,dummy,outer3,870,0.09770114942528736,0.5,0.09770114942528736
no_consequence,dummy,outer4,870,0.09770114942528736,0.5,0.09770114942528736
no_consequence,lr_penalized,outer0,870,0.09770114942528736,0.6614312476582991,0.20181678668078867
no_consequence,lr_penalized,outer1,870,0.09770114942528736,0.6708430123641813,0.2142221275140239
no_consequence,lr_penalized,outer2,870,0.09770114942528736,0.6581790932933683,0.207480425135012
no_consequence,lr_penalized,outer3,870,0.09770114942528736,0.7534807043836643,0.35529250037289717
no_consequence,lr_penalized,outer4,870,0.09770114942528736,0.7315848632446608,0.26037194002357583
no_consequence,lr_scored,outer0,870,0.09770114942528736,0.6377444735856126,0.15577847546597726
no_consequence,lr_scored,outer1,870,0.09770114942528736,0.6443836642937429,0.19039264789972157
no_consequence,lr_scored,outer2,870,0.09770114942528736,0.6489996253278381,0.22171531154371504
no_consequence,lr_scored,outer3,870,0.09770114942528736,0.7315399025852379,0.35378170594725544
no_consequence,lr_scored,outer4,870,0.09770114942528736,0.7385987261146497,0.28276344630072325
no_consequence,random_forest,outer0,870,0.09770114942528736,0.6441064068939678,0.1963355044775243
no_consequence,random_forest,outer1,870,0.09770114942528736,0.6915548894717123,0.22456465090354352
no_consequence,random_forest,outer2,870,0.09770114942528736,0.6529786436867739,0.20816584805486132
no_consequence,random_forest,outer3,870,0.09770114942528736,0.7461221431247658,0.31517125985173927
no_consequence,random_forest,outer4,870,0.09770114942528736,0.7722742600224803,0.32796157146667443
no_consequence,xgboost,outer0,870,0.09770114942528736,0.6475833645560135,0.19117983203105443
no_consequence,xgboost,outer1,870,0.09770114942528736,0.6805844885724991,0.21876400586682535
no_consequence,xgboost,outer2,870,0.09770114942528736,0.637497189958786,0.20940570706654285
no_consequence,xgboost,outer3,870,0.09770114942528736,0.7287973023604346,0.28619711355220223
no_consequence,xgboost,outer4,870,0.09770114942528736,0.7680929186961409,0.2967674364007333
