feature_set,model,level,n,mean_probability,low,high,median_probability
main,dummy,basso,3925,0.0977011494252873,0.0977011494252873,0.0977011494252873,0.0977011494252873
main,dummy,moderato,354,0.0977011494252873,0.0977011494252873,0.0977011494252873,0.0977011494252873
main,dummy,alto,50,0.0977011494252873,0.0977011494252873,0.0977011494252873,0.0977011494252873
main,dummy,molto alto,21,0.0977011494252873,0.0977011494252873,0.0977011494252873,0.0977011494252873
main,lr_penalized,basso,3925,0.09125798579361512,0.0890626104458265,0.09355121042099557,0.0711318330276591
main,lr_penalized,moderato,354,0.15203664936300498,0.13891268563455741,0.16600580185031658,0.1103767110833329
main,lr_penalized,alto,50,0.20168675254523308,0.15962087353684135,0.24907505379271636,0.1422798805125408
main,lr_penalized,molto alto,21,0.24718869322041653,0.1886641150047308,0.30282932662909634,0.2662685672505216
main,lr_scored,basso,3925,0.09219194674417727,0.09024906513851084,0.09415453624508825,0.0724534911700815
main,lr_scored,moderato,354,0.13887826081171367,0.12941404723561575,0.1490501799377104,0.10917410518846321
main,lr_scored,alto,50,0.1779409476263303,0.1435394415949399,0.2147345469304485,0.1274821676865741
main,lr_scored,molto alto,21,0.22971009085218755,0.162551484357848,0.3011700660405397,0.1929113315672653
main,random_forest,basso,3925,0.09314154770408906,0.09160778298562978,0.09472400319835837,0.079333454359554
main,random_forest,moderato,354,0.13673539451908864,0.1289613979865274,0.14442116169069605,0.11727250495084725
main,random_forest,alto,50,0.16367025508610958,0.13871781843335368,0.18853767650515368,0.15191871484377623
main,random_forest,molto alto,21,0.19472743492867983,0.150943829651771,0.2351223618225408,0.2108880174249001
main,xgboost,basso,3925,0.08633650797876011,0.08424004845960645,0.08843765718970967,0.0633042231202125
main,xgboost,moderato,354,0.1416407745321002,0.13165619902715273,0.15236264441943706,0.10805646702647205
main,xgboost,alto,50,0.19445438608527182,0.15296745438501236,0.2381126248948276,0.12811904400587076
main,xgboost,molto alto,21,0.28442993618193124,0.2107451281554642,0.35625848675678873,0.2832270264625549
no_consequence,dummy,basso,3925,0.0977011494252873,0.0977011494252873,0.0977011494252873,0.0977011494252873
no_consequence,dummy,moderato,354,0.0977011494252873,0.0977011494252873,0.0977011494252873,0.0977011494252873
no_consequence,dummy,alto,50,0.0977011494252873,0.0977011494252873,0.0977011494252873,0.0977011494252873
no_consequence,dummy,molto alto,21,0.0977011494252873,0.0977011494252873,0.0977011494252873,0.0977011494252873
no_consequence,lr_penalized,basso,3925,0.09179968260063656,0.08963627463590948,0.09409193528885758,0.0721966272289358
no_consequence,lr_penalized,moderato,354,0.1506243142295022,0.13774102512309197,0.16429517598963012,0.1102448549095741
no_consequence,lr_penalized,alto,50,0.1958279499664313,0.15456671035404415,0.2406882163598,0.1323703855076059
no_consequence,lr_penalized,molto alto,21,0.20518941107222927,0.15604733639317006,0.2534021615874755,0.1825313942112535
no_consequence,lr_scored,basso,3925,0.09215468231383979,0.09024862787549368,0.094136886269371,0.0733638194762968
no_consequence,lr_scored,moderato,354,0.1389623063992828,0.12949192713230365,0.14907819997140848,0.10997182899364875
no_consequence,lr_scored,alto,50,0.17873061293867815,0.144234268014357,0.21525877158197315,0.12972877972780544
no_consequence,lr_scored,molto alto,21,0.21673649337710857,0.15079011145985804,0.2868746730411549,0.1592632927836995
no_consequence,random_forest,basso,3925,0.0938485511427213,0.09230880809665082,0.09548386331500525,0.079145807338187
no_consequence,random_forest,moderato,354,0.13883679372525795,0.1305878909802286,0.14657998810604475,0.12117382866658395
no_consequence,random_forest,alto,50,0.1612311922616998,0.1368865469421775,0.1855708033331056,0.13117024108049286
no_consequence,random_forest,molto alto,21,0.1789105842792521,0.13793210521357382,0.21890791671473459,0.1663643211850427
no_consequence,xgboost,basso,3925,0.08758145429217698,0.0855233806924728,0.08969454567851555,0.0648253187537193
no_consequence,xgboost,moderato,354,0.14022433548365942,0.12997068092950462,0.15079154208536638,0.1112584769725799
no_consequence,xgboost,alto,50,0.18565108388662338,0.1456154827289283,0.22665273670107122,0.13733197003602982
no_consequence,xgboost,molto alto,21,0.21660724184697577,0.15901279816670075,0.27712433863697306,0.2111985683441162
