feature_set,model,feature,per,coefficient,odds_ratio,low,high,p_value
main,lr_scored,DM,unità,0.9460671901452593,2.5755605252747564,1.8854138225274084,3.5183321242767374,2.770306550917221e-09
main,lr_scored,Age,1 DS,0.3847382447343789,1.469229692495597,1.3201136635768633,1.6351894150249586,1.8404352778477986e-12
main,lr_scored,Bpsys,1 DS,0.2920789132947487,1.3392086948400368,1.2192482050134386,1.470971965314796,1.0597739778803694e-09
main,lr_scored,HGB,1 DS,-0.08196925520019482,0.9213002834537022,0.8142274571395259,1.042453438347293,0.193471605851531
main,lr_scored,Gender,unità,-0.04332182780634794,0.9576031571473123,0.749094862884485,1.2241491058254763,0.7295179106135654
main,lr_penalized,DRyd,unità,1.2477727769499736,3.4825778357134785,,,
main,lr_penalized,HGB,1 DS,-0.7939250809363001,0.45206690918431663,,,
main,lr_penalized,MCV,1 DS,0.6535259644675223,1.9223068793297202,,,
main,lr_penalized,RBC,1 DS,0.6262930223325925,1.8706632036178246,,,
main,lr_penalized,HypertenHis,unità,0.5515020240374274,1.735858361717899,,,
main,lr_penalized,Gender,unità,0.5473346041697192,1.728639363839266,,,
main,lr_penalized,hip,1 DS,-0.4174350020981299,0.6587343068044116,,,
main,lr_penalized,waist1,1 DS,0.40894326435249817,1.5052263180731094,,,
main,lr_penalized,MONO,1 DS,-0.3881582386009484,0.6783050007371295,,,
main,lr_penalized,WBC,1 DS,0.3780859653414515,1.4594884029020123,,,
main,lr_penalized,MCHC,1 DS,0.34651303394880173,1.4141279253812227,,,
main,lr_penalized,Fat,1 DS,-0.3361267900021753,0.7145325044947086,,,
main,lr_penalized,BASOcount,1 DS,-0.3239463305287059,0.7232890598796123,,,
main,lr_penalized,FCP,1 DS,0.3168711203037434,1.3728256311733096,,,
main,lr_penalized,NEUTcount,1 DS,-0.30142109824451924,0.7397661929032631,,,
main,lr_penalized,MADPN,unità,0.29140959099651065,1.3383126325092878,,,
main,lr_penalized,Age,1 DS,0.2868754709086508,1.3322582982299318,,,
main,lr_penalized,BASO,1 DS,0.28480593920644615,1.3295039984845864,,,
main,lr_penalized,MONOcount,1 DS,0.28063559426847423,1.3239710533782776,,,
main,lr_penalized,TP,1 DS,0.2695328448631166,1.3093526370280368,,,
main,lr_penalized,Bpsys,1 DS,0.2684480020818568,1.307932965471086,,,
main,lr_penalized,WHR,1 DS,-0.2614391365197906,0.7699427353927342,,,
main,lr_penalized,ALB,1 DS,-0.2579298367321159,0.7726494418149072,,,
main,lr_penalized,TFDPN,unità,-0.23959934365802713,0.7869430916532123,,,
main,lr_penalized,SUA,1 DS,0.2246655862650232,1.2519039922923603,,,
main,lr_penalized,BMI,1 DS,0.19850592923257582,1.219579258561882,,,
main,lr_penalized,AST,1 DS,0.1973041998001078,1.218114534548893,,,
main,lr_penalized,LDL,1 DS,0.19637104968715277,1.216978381016729,,,
main,lr_penalized,ALP,1 DS,0.1907849855218537,1.2101992137523998,,,
main,lr_penalized,PLT,1 DS,-0.18195825974030985,0.8336361358783431,,,
main,lr_penalized,DMfamilyHistory,unità,-0.17600978181961574,0.8386097801673555,,,
main,lr_penalized,FINS,1 DS,-0.16553584741107347,0.8474394841488725,,,
main,lr_penalized,DM,unità,0.14636465280823427,1.1576182398369548,,,
main,lr_penalized,ISIGutt,1 DS,0.1454314785319116,1.1565384841522073,,,
main,lr_penalized,EO,1 DS,-0.1417417254130595,0.8678453699477138,,,
main,lr_penalized,FPG,1 DS,0.1373490195550753,1.1472284838289044,,,
main,lr_penalized,PG2h,1 DS,0.13567178442752847,1.1453059246590902,,,
main,lr_penalized,LYMPHcount,1 DS,-0.13529519068686605,0.8734580369509204,,,
main,lr_penalized,EOcount,1 DS,0.13068172124620434,1.139605011521208,,,
main,lr_penalized,TBIL,1 DS,-0.13022377792819576,0.8778989545286316,,,
