feature_set,model,feature,mean_abs_shap
main,random_forest,Age,0.010261248567734837
main,random_forest,ALP,0.008129249523345155
main,random_forest,FIB4,0.007497602750809653
main,random_forest,CP2h,0.005637484701197537
main,random_forest,FCP,0.004578026203937306
main,random_forest,GA,0.004433552261189616
main,random_forest,Bpsys,0.00400435082649679
main,random_forest,FPG,0.003977174111758975
main,random_forest,GGT,0.003867634273616265
main,random_forest,PG2h,0.003839680345536882
main,random_forest,SUA,0.0035407323870266273
main,random_forest,ISIGutt,0.0034323203135263195
main,random_forest,LDL,0.002897566907636836
main,random_forest,CHOL,0.0027346109245675347
main,random_forest,TG,0.0026038979501816126
main,random_forest,HomaIR,0.0025185360698009576
main,random_forest,AG,0.0025163989358820554
main,random_forest,Bpdia,0.0023959453577789233
main,random_forest,RBC,0.00237634783579647
main,random_forest,WHR,0.002196774367062991
main,random_forest,WBC,0.002184446823577996
main,random_forest,ALB,0.0021813915748915866
main,random_forest,NEUTcount,0.0020637331168276486
main,random_forest,RDWSD,0.002001009978686617
main,random_forest,HCT,0.001955304656315992
main,random_forest,HypertenHis,0.001931757973515309
main,random_forest,PCT,0.0018829157901711223
main,random_forest,LYMPH,0.0017200941982160832
main,random_forest,PDW,0.0016560263399185249
main,random_forest,HbA1c,0.0016408049261973385
main,random_forest,FINS,0.0016194429898205515
main,random_forest,DM,0.0015956964738085124
main,random_forest,LYMPHcount,0.0015345968754444522
main,random_forest,TP,0.0015295432479516002
main,random_forest,HDL,0.0014969144501996796
main,random_forest,PLT,0.00147591622821106
main,random_forest,HGB,0.001453274184770287
main,random_forest,NEUT,0.0013378947566554625
main,random_forest,TBIL,0.0012758398702660669
main,random_forest,AST,0.0012640730191449284
main,random_forest,DBIL,0.0012602825802835098
main,random_forest,Fat,0.0012465466421053943
main,random_forest,MONO,0.0012363240856922057
main,random_forest,BMI,0.0012175426058293477
main,random_forest,MCHC,0.0011972086098668785
main,random_forest,MONOcount,0.0011615767822195193
main,random_forest,EOcount,0.0011610172081428592
main,random_forest,MCV,0.0011307380939455907
main,random_forest,INS2h,0.0010879379333371888
main,random_forest,ASTALT,0.0010759323783182805
main,random_forest,Weight,0.001001291184164883
main,random_forest,RDWCV,0.0009835455877055914
main,random_forest,EO,0.0008487201194051266
main,random_forest,HR,0.0008413869453824423
main,random_forest,hip,0.0007617823850840946
main,random_forest,MCH,0.0007601717264080354
