feature_set,model,auc,auc_low,auc_high,pr_auc,pr_auc_low,pr_auc_high,prevalence,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high,auc_folds_mean,pr_auc_folds_mean
main,dummy,0.5,0.5,0.5,0.09770114942528736,0.07288209060905701,0.1297888359353495,0.09770114942528736,,,,,,,,,,,,,,0.5,0.09770114942528736
main,lr_penalized,0.6968302735106783,0.6686761114544535,0.7249844355669031,0.2421879528042959,0.20381134265066841,0.2852022160700989,0.09770114942528736,0.0479707257418685,0.11162926260565433,0.10152338206472895,0.12260383546484187,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22343949044585987,0.21068192159444774,0.23673787817225975,0.7887356321839081,0.7763529521245593,0.8006088007915457,0.7003641813413264,0.25518083152380494
main,lr_scored,0.6750642188085425,0.646170710032695,0.70395772758439,0.2238032821008589,0.18667777509692532,0.2658982961157749,0.09770114942528736,0.0502852648657892,0.10983653570404359,0.0998843165054395,0.12064745725227463,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.209171974522293,0.19673545442154308,0.22217721387297243,0.8016091954022988,0.789494578608944,0.8131915836728474,0.6792071937055078,0.2427510476502584
main,random_forest,0.7032128887223679,0.6756747074761853,0.7307510699685504,0.24603167782196167,0.20740642159494455,0.2892252474220798,0.09770114942528736,0.0581256463703772,0.11277974087161366,0.1025754025361415,0.123859114527407,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23235668789808916,0.2194097290362815,0.24582702790054597,0.7806896551724138,0.7681486922092929,0.7927353048532583,0.7078246534282503,0.26103324620813206
main,xgboost,0.698736905207943,0.6711841256644152,0.7262896847514707,0.25137028733113365,0.21240681646966458,0.2948057857188215,0.09770114942528736,0.0424957387149333,0.11446503287507472,0.10411668515642446,0.12569761151530978,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.24509554140127388,0.23189224276195336,0.2587973101321884,0.7691954022988505,0.7564400141245743,0.7814757602900427,0.7043506931434995,0.2618796167847477
no_consequence,dummy,0.5,0.5,0.5,0.09770114942528736,0.07288209060905701,0.1297888359353495,0.09770114942528736,,,,,,,,,,,,,,0.5,0.09770114942528736
no_consequence,lr_penalized,0.690769576620457,0.6626499632915362,0.7188891899493778,0.2343678940242565,0.1965107419068196,0.2770038133961055,0.09770114942528736,0.0501238945029614,0.11274654106564616,0.10254504227688009,0.1238228928775129,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23210191082802548,0.219160247164239,0.24556745385344217,0.7809195402298851,0.7683830043000582,0.7929603572154517,0.6951037841888348,0.2478367559452595
no_consequence,lr_scored,0.6757781940801798,0.6468894132292444,0.7046669749311152,0.22308122394240965,0.18600701241984377,0.26513798349854517,0.09770114942528736,0.0503235409023072,0.10989956958393113,0.09994194256104331,0.12071625240345864,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.20968152866242037,0.1972331460664538,0.2226976340663543,0.8011494252873563,0.7890249092956569,0.8127425240802171,0.6802532783814162,0.2408863174314785
no_consequence,random_forest,0.6978128137879355,0.6701470456238297,0.7254785819520413,0.2406476569181737,0.20237191123946072,0.28358884597536066,0.09770114942528736,0.0575864271132011,0.11248164464023495,0.10230280577795461,0.12353388041601834,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.2300636942675159,0.21716463523595347,0.24349061842855746,0.7827586206896552,0.7702577009034128,0.7947605762357666,0.70140726863994,0.25443976695086856
no_consequence,xgboost,0.6885593106032221,0.6606540829965963,0.7164645382098478,0.22909377840159525,0.19159750599139014,0.2714640248920583,0.09770114942528736,0.0410123020410537,0.11114335461404527,0.10107909420286036,0.12207361238089649,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.21961783439490445,0.20694404053127782,0.2328399204482354,0.792183908045977,0.7798712070863424,0.803981012624143,0.6925110528287748,0.2404628189834716
main,xgboost_depth_1_12,0.6960155863619334,0.6683298481762259,0.7237013245476409,0.24994657506470913,0.2110724973196131,0.29331835572849313,0.09770114942528736,0.0418949387967586,0.11599030890369473,0.105511848687397,0.12736122414753642,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.25630573248407645,0.2428900552017331,0.27019795813484526,0.759080459770115,0.7461472394452056,0.7715564990392296,0.6976635443986512,0.2593174145876399
no_consequence,xgboost_depth_1_12,0.6907048332708879,0.6629535433453256,0.7184561231964502,0.23097389505225485,0.1933479863743362,0.2734398351230299,0.09770114942528736,0.0416413582861423,0.11364985163204748,0.10337112938853683,0.12480837110577138,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23898089171974524,0.22589859623738917,0.2525736145972417,0.774712643678161,0.7620585013465234,0.7868820199391021,0.6917766953915324,0.240102400860485
