feature_set,model,jt,z,p_value,concordance,concordance_low,concordance_high
main,dummy,847154.5,,,0.5,0.5,0.5
main,lr_penalized,1179140.0,13.488962317705747,9.081950792248256e-42,0.6959415313263401,0.6682424663978058,0.7234664987319315
main,lr_scored,1141941.5,11.977543437288274,2.3296303408314195e-33,0.6739865632538102,0.6457754680521677,0.7016508131043393
main,random_forest,1188968.0,13.888285546155219,3.7299813085140076e-44,0.7017421261410994,0.6737339824081675,0.7280993165945527
main,xgboost,1182243.5,13.615061183632799,1.629363594853497e-42,0.6977732515143341,0.670609080161883,0.7239260371042118
no_consequence,dummy,847154.5,,,0.5,0.5,0.5
no_consequence,lr_penalized,1168326.0,13.049576746638126,3.195070925426375e-39,0.6895589883545445,0.6632486163975992,0.7168624937954057
no_consequence,lr_scored,1142937.0,12.017995147437917,1.4291116224053332e-33,0.6745741184164163,0.6467013322245233,0.7027803886422134
no_consequence,random_forest,1179205.0,13.491603344348931,8.762376343628006e-42,0.69597989504866,0.6678310302312034,0.722611400871978
no_consequence,xgboost,1164439.0,12.891643353375702,2.508167516608748e-38,0.6872648377598183,0.6587090961566042,0.7143537129295777
main,xgboost_depth_1_12,1177592.0,13.426065252418834,2.127112782894741e-41,0.6950278845240154,0.6670534123350581,0.7206553969789454
no_consequence,xgboost_depth_1_12,1167882.0,13.03153650310622,4.0480354443438786e-39,0.6892969346205444,0.6614645557569487,0.7156458178525877
