feature_set,model,level,n,detected,missed,sensitivity,low,high
main,lr_penalized,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
main,lr_penalized,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
main,lr_penalized,molto alto,21,20,1,0.9523809523809523,0.7733063992587744,0.9915440121901736
main,lr_scored,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
main,lr_scored,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
main,lr_scored,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
main,random_forest,moderato,354,319,35,0.9011299435028248,0.8655990605085782,0.9280484976473529
main,random_forest,alto,50,46,4,0.92,0.8116175308165716,0.9684504859114069
main,random_forest,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
main,xgboost,moderato,354,318,36,0.8983050847457628,0.8624228260105533,0.9256356648344204
main,xgboost,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
main,xgboost,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
no_consequence,lr_penalized,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
no_consequence,lr_penalized,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
no_consequence,lr_penalized,molto alto,21,20,1,0.9523809523809523,0.7733063992587744,0.9915440121901736
no_consequence,lr_scored,moderato,354,318,36,0.8983050847457628,0.8624228260105533,0.9256356648344204
no_consequence,lr_scored,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
no_consequence,lr_scored,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
no_consequence,random_forest,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
no_consequence,random_forest,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
no_consequence,random_forest,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
no_consequence,xgboost,moderato,354,319,35,0.9011299435028248,0.8655990605085782,0.9280484976473529
no_consequence,xgboost,alto,50,46,4,0.92,0.8116175308165716,0.9684504859114069
no_consequence,xgboost,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
main,xgboost_depth_1_12,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
main,xgboost_depth_1_12,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
main,xgboost_depth_1_12,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
no_consequence,xgboost_depth_1_12,moderato,354,318,36,0.8983050847457628,0.8624228260105533,0.9256356648344204
no_consequence,xgboost_depth_1_12,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
no_consequence,xgboost_depth_1_12,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
