number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,0.19935316421064236,2026-09-19 12:12:05.581227,2026-09-19 12:12:10.593217,0 days 00:00:05.011990,0.5780093202212182,0.2536999076681772,9,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,COMPLETE
1,0.21553230684827707,2026-09-19 12:12:10.593217,2026-09-19 12:12:23.371977,0 days 00:00:12.778760,0.9849549260809971,0.07725378389307355,9,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,COMPLETE
2,0.25317935130065333,2026-09-19 12:12:23.371977,2026-09-19 12:12:26.404335,0 days 00:00:03.032358,0.7159725093210578,0.018659959624904916,4,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,COMPLETE
3,0.23794728381800315,2026-09-19 12:12:26.404335,2026-09-19 12:12:31.377074,0 days 00:00:04.972739,0.8925879806965068,0.027010527749605478,5,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,COMPLETE
4,0.2186687777244059,2026-09-19 12:12:31.377074,2026-09-19 12:12:47.039774,0 days 00:00:15.662700,0.5325257964926398,0.011711509955524094,8,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,COMPLETE
5,0.2619769181262567,2026-09-19 12:12:47.039774,2026-09-19 12:12:51.322060,0 days 00:00:04.282286,0.7200762468698007,0.028180680291847244,2,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,COMPLETE
6,0.21182880259220177,2026-09-19 12:12:51.322060,2026-09-19 12:12:52.820210,0 days 00:00:01.498150,0.6558555380447055,0.22038218939289875,4,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,PRUNED
7,0.15902667515446875,2026-09-19 12:12:52.820210,2026-09-19 12:12:53.610899,0 days 00:00:00.790689,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,PRUNED
8,0.24900424056985337,2026-09-19 12:12:53.610899,2026-09-19 12:12:54.552597,0 days 00:00:00.941698,0.6943386448447411,0.01947558230629543,1,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,COMPLETE
9,0.16213903276029817,2026-09-19 12:12:54.552597,2026-09-19 12:12:57.338915,0 days 00:00:02.786318,0.9010984903770198,0.026000059117302653,7,557,0.3727532183988541,4.9344346830025865,0.6563696899899051,,PRUNED
10,0.26414723435841736,2026-09-19 12:12:57.338915,2026-09-19 12:13:00.609700,0 days 00:00:03.270785,0.5200027144926168,0.015730268965172486,2,875,1.5971862862734376,3.068884469957136,0.9309770352075754,"{""colsample_bytree"": 0.5200027144926168, ""learning_rate"": 0.015730268965172486, ""max_depth"": 2, ""n_estimators"": 875, ""reg_alpha"": 1.5971862862734376, ""reg_lambda"": 3.068884469957136, ""subsample"": 0.9309770352075754}",COMPLETE
11,0.22743780520034954,2026-09-19 12:13:00.609700,2026-09-19 12:13:07.276103,0 days 00:00:06.666403,0.7865397439891056,0.02233386036443739,4,954,1.7529587340139539,2.861578408812748,0.902524692926056,"{""colsample_bytree"": 0.7865397439891056, ""learning_rate"": 0.02233386036443739, ""max_depth"": 4, ""n_estimators"": 954, ""reg_alpha"": 1.7529587340139539, ""reg_lambda"": 2.861578408812748, ""subsample"": 0.902524692926056}",PRUNED
12,0.2617676787188186,2026-09-19 12:13:07.276103,2026-09-19 12:13:09.683401,0 days 00:00:02.407298,0.6620159254353696,0.013192186911694324,1,915,2.5388876758155776,3.526541723221425,0.9531244448719158,"{""colsample_bytree"": 0.6620159254353696, ""learning_rate"": 0.013192186911694324, ""max_depth"": 1, ""n_estimators"": 915, ""reg_alpha"": 2.5388876758155776, ""reg_lambda"": 3.526541723221425, ""subsample"": 0.9531244448719158}",COMPLETE
13,0.26892902079180153,2026-09-19 12:13:09.683401,2026-09-19 12:13:11.773690,0 days 00:00:02.090289,0.5473093764327052,0.020491680263210372,1,794,0.7102491628427612,1.2147980930458089,0.8756724349294963,"{""colsample_bytree"": 0.5473093764327052, ""learning_rate"": 0.020491680263210372, ""max_depth"": 1, ""n_estimators"": 794, ""reg_alpha"": 0.7102491628427612, ""reg_lambda"": 1.2147980930458089, ""subsample"": 0.8756724349294963}",COMPLETE
14,0.2599650643124841,2026-09-19 12:13:11.773690,2026-09-19 12:13:14.331669,0 days 00:00:02.557979,0.6087209967041656,0.03240808072555109,2,611,0.6367262548225073,0.9963762738120238,0.916895549506173,"{""colsample_bytree"": 0.6087209967041656, ""learning_rate"": 0.03240808072555109, ""max_depth"": 2, ""n_estimators"": 611, ""reg_alpha"": 0.6367262548225073, ""reg_lambda"": 0.9963762738120238, ""subsample"": 0.916895549506173}",COMPLETE
15,0.2388322329447957,2026-09-19 12:13:14.331669,2026-09-19 12:13:18.461277,0 days 00:00:04.129608,0.524242916138803,0.015933731097813757,4,716,1.7861625873564042,4.3363147555968,0.8675314786510497,"{""colsample_bytree"": 0.524242916138803, ""learning_rate"": 0.015933731097813757, ""max_depth"": 4, ""n_estimators"": 716, ""reg_alpha"": 1.7861625873564042, ""reg_lambda"": 4.3363147555968, ""subsample"": 0.8675314786510497}",PRUNED
16,0.18750323494283536,2026-09-19 12:13:18.461277,2026-09-19 12:13:18.971794,0 days 00:00:00.510517,0.6704911651129,0.02256801305850424,1,898,2.044859757960897,0.3227141871163911,0.9514987779202855,"{""colsample_bytree"": 0.6704911651129, ""learning_rate"": 0.02256801305850424, ""max_depth"": 1, ""n_estimators"": 898, ""reg_alpha"": 2.044859757960897, ""reg_lambda"": 0.3227141871163911, ""subsample"": 0.9514987779202855}",PRUNED
17,0.2684432572772194,2026-09-19 12:13:18.971794,2026-09-19 12:13:21.329400,0 days 00:00:02.357606,0.5275679172048495,0.012766051050397693,1,875,0.015104305429662679,1.8897698739624968,0.8872883762638223,"{""colsample_bytree"": 0.5275679172048495, ""learning_rate"": 0.012766051050397693, ""max_depth"": 1, ""n_estimators"": 875, ""reg_alpha"": 0.015104305429662679, ""reg_lambda"": 1.8897698739624968, ""subsample"": 0.8872883762638223}",COMPLETE
18,0.26737492622618103,2026-09-19 12:13:21.329400,2026-09-19 12:13:24.306097,0 days 00:00:02.976697,0.5731322034669956,0.02019145584176751,2,763,0.6655725266478622,1.7855417901824362,0.7284594306386112,"{""colsample_bytree"": 0.5731322034669956, ""learning_rate"": 0.02019145584176751, ""max_depth"": 2, ""n_estimators"": 763, ""reg_alpha"": 0.6655725266478622, ""reg_lambda"": 1.7855417901824362, ""subsample"": 0.7284594306386112}",COMPLETE
19,0.2200404625610888,2026-09-19 12:13:24.307096,2026-09-19 12:13:26.016235,0 days 00:00:01.709139,0.565137365017317,0.010294748111950375,4,578,0.5137920891333709,2.1647600872583177,0.8425491183676084,"{""colsample_bytree"": 0.565137365017317, ""learning_rate"": 0.010294748111950375, ""max_depth"": 4, ""n_estimators"": 578, ""reg_alpha"": 0.5137920891333709, ""reg_lambda"": 2.1647600872583177, ""subsample"": 0.8425491183676084}",PRUNED
