number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,0.19140350969055042,2026-09-19 12:06:44.993229,2026-09-19 12:06:56.203773,0 days 00:00:11.210544,0.5780093202212182,0.2536999076681772,9,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,COMPLETE
1,0.20363997567226738,2026-09-19 12:06:56.203773,2026-09-19 12:07:09.605978,0 days 00:00:13.402205,0.9849549260809971,0.07725378389307355,9,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,COMPLETE
2,0.22857489742795387,2026-09-19 12:07:09.605978,2026-09-19 12:07:30.365222,0 days 00:00:20.759244,0.7159725093210578,0.018659959624904916,4,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,COMPLETE
3,0.22191757192159325,2026-09-19 12:07:30.365222,2026-09-19 12:07:40.558015,0 days 00:00:10.192793,0.8925879806965068,0.027010527749605478,5,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,COMPLETE
4,0.21241115000613528,2026-09-19 12:07:40.558015,2026-09-19 12:08:07.475013,0 days 00:00:26.916998,0.5325257964926398,0.011711509955524094,8,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,COMPLETE
5,0.23119986612053722,2026-09-19 12:08:07.475013,2026-09-19 12:08:12.101747,0 days 00:00:04.626734,0.7200762468698007,0.028180680291847244,2,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,COMPLETE
6,0.20129671070004515,2026-09-19 12:08:12.101747,2026-09-19 12:08:12.525490,0 days 00:00:00.423743,0.6558555380447055,0.22038218939289875,4,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,PRUNED
7,0.19801914629203504,2026-09-19 12:08:12.525490,2026-09-19 12:08:13.375673,0 days 00:00:00.850183,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,PRUNED
8,0.2339726536283262,2026-09-19 12:08:13.375673,2026-09-19 12:08:14.372069,0 days 00:00:00.996396,0.6943386448447411,0.01947558230629543,1,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,COMPLETE
9,0.2001321005693052,2026-09-19 12:08:14.372069,2026-09-19 12:08:17.522069,0 days 00:00:03.150000,0.9010984903770198,0.026000059117302653,7,557,0.3727532183988541,4.9344346830025865,0.6563696899899051,,PRUNED
10,0.24872658105229153,2026-09-19 12:08:17.522069,2026-09-19 12:08:19.638530,0 days 00:00:02.116461,0.7146334367602184,0.05304539620046197,1,664,3.787268579910349,1.7187343523663845,0.6160894317513417,"{""colsample_bytree"": 0.7146334367602184, ""learning_rate"": 0.05304539620046197, ""max_depth"": 1, ""n_estimators"": 664, ""reg_alpha"": 3.787268579910349, ""reg_lambda"": 1.7187343523663845, ""subsample"": 0.6160894317513417}",COMPLETE
11,0.2366268335004893,2026-09-19 12:08:19.638530,2026-09-19 12:08:22.279582,0 days 00:00:02.641052,0.8575848060983975,0.014203792578164126,2,529,3.750379866786052,3.1856488742719087,0.7156237038334943,"{""colsample_bytree"": 0.8575848060983975, ""learning_rate"": 0.014203792578164126, ""max_depth"": 2, ""n_estimators"": 529, ""reg_alpha"": 3.750379866786052, ""reg_lambda"": 3.1856488742719087, ""subsample"": 0.7156237038334943}",COMPLETE
12,0.2497347122799562,2026-09-19 12:08:22.279582,2026-09-19 12:08:25.036803,0 days 00:00:02.757221,0.6732502266189437,0.04396786322991622,1,793,4.440552550283741,1.9834718221319152,0.6572481381911849,"{""colsample_bytree"": 0.6732502266189437, ""learning_rate"": 0.04396786322991622, ""max_depth"": 1, ""n_estimators"": 793, ""reg_alpha"": 4.440552550283741, ""reg_lambda"": 1.9834718221319152, ""subsample"": 0.6572481381911849}",COMPLETE
13,0.24060923993076266,2026-09-19 12:08:25.036803,2026-09-19 12:08:27.590063,0 days 00:00:02.553260,0.7787348858660315,0.05687672411269382,2,516,4.958718140471114,0.8102358160109259,0.6479335450821442,"{""colsample_bytree"": 0.7787348858660315, ""learning_rate"": 0.05687672411269382, ""max_depth"": 2, ""n_estimators"": 516, ""reg_alpha"": 4.958718140471114, ""reg_lambda"": 0.8102358160109259, ""subsample"": 0.6479335450821442}",COMPLETE
14,0.24928869487913294,2026-09-19 12:08:27.590063,2026-09-19 12:08:30.073378,0 days 00:00:02.483315,0.6872456136634525,0.054642256989204226,1,720,2.5681084638717566,2.4327744549688566,0.6038477153143562,"{""colsample_bytree"": 0.6872456136634525, ""learning_rate"": 0.054642256989204226, ""max_depth"": 1, ""n_estimators"": 720, ""reg_alpha"": 2.5681084638717566, ""reg_lambda"": 2.4327744549688566, ""subsample"": 0.6038477153143562}",COMPLETE
15,0.2132231480782042,2026-09-19 12:08:30.073378,2026-09-19 12:08:30.887163,0 days 00:00:00.813785,0.5714646756119458,0.029713461797155998,3,646,3.5693844718316123,3.436205775490509,0.6654283664322428,"{""colsample_bytree"": 0.5714646756119458, ""learning_rate"": 0.029713461797155998, ""max_depth"": 3, ""n_estimators"": 646, ""reg_alpha"": 3.5693844718316123, ""reg_lambda"": 3.436205775490509, ""subsample"": 0.6654283664322428}",PRUNED
16,0.24700776531281088,2026-09-19 12:08:30.887163,2026-09-19 12:08:57.762594,0 days 00:00:26.875431,0.7762645710880653,0.04760168316646958,1,838,3.772119348333031,0.8568717367532535,0.7529958224864839,"{""colsample_bytree"": 0.7762645710880653, ""learning_rate"": 0.04760168316646958, ""max_depth"": 1, ""n_estimators"": 838, ""reg_alpha"": 3.772119348333031, ""reg_lambda"": 0.8568717367532535, ""subsample"": 0.7529958224864839}",COMPLETE
17,0.24517540434655877,2026-09-19 12:08:57.763594,2026-09-19 12:09:01.930291,0 days 00:00:04.166697,0.6274745095999714,0.08035300874773973,1,886,2.821850063415318,2.9972945523393424,0.7004957531461968,"{""colsample_bytree"": 0.6274745095999714, ""learning_rate"": 0.08035300874773973, ""max_depth"": 1, ""n_estimators"": 886, ""reg_alpha"": 2.821850063415318, ""reg_lambda"": 2.9972945523393424, ""subsample"": 0.7004957531461968}",COMPLETE
18,0.22068918186370431,2026-09-19 12:09:01.930291,2026-09-19 12:09:02.702194,0 days 00:00:00.771903,0.6649904176457939,0.05682169553133075,2,632,2.164634835984349,2.2393020123057856,0.6080483439147264,"{""colsample_bytree"": 0.6649904176457939, ""learning_rate"": 0.05682169553133075, ""max_depth"": 2, ""n_estimators"": 632, ""reg_alpha"": 2.164634835984349, ""reg_lambda"": 2.2393020123057856, ""subsample"": 0.6080483439147264}",PRUNED
19,0.20766230294124868,2026-09-19 12:09:02.702194,2026-09-19 12:09:04.087039,0 days 00:00:01.384845,0.7730251035808604,0.08583268998471444,3,798,1.2995070268711058,2.812259804653764,0.6152206115134741,"{""colsample_bytree"": 0.7730251035808604, ""learning_rate"": 0.08583268998471444, ""max_depth"": 3, ""n_estimators"": 798, ""reg_alpha"": 1.2995070268711058, ""reg_lambda"": 2.812259804653764, ""subsample"": 0.6152206115134741}",PRUNED
20,0.1841438853886466,2026-09-19 12:09:04.087039,2026-09-19 12:09:05.541240,0 days 00:00:01.454201,0.6738927734169141,0.10816200307165379,4,812,4.579020081146948,2.2958304057995864,0.6742620578978392,"{""colsample_bytree"": 0.6738927734169141, ""learning_rate"": 0.10816200307165379, ""max_depth"": 4, ""n_estimators"": 812, ""reg_alpha"": 4.579020081146948, ""reg_lambda"": 2.2958304057995864, ""subsample"": 0.6742620578978392}",PRUNED
21,0.24925654897710303,2026-09-19 12:09:05.541240,2026-09-19 12:09:08.568536,0 days 00:00:03.027296,0.7697663770740419,0.05679037076148864,1,773,3.0477815000652972,2.3948923368821093,0.607039980704748,"{""colsample_bytree"": 0.7697663770740419, ""learning_rate"": 0.05679037076148864, ""max_depth"": 1, ""n_estimators"": 773, ""reg_alpha"": 3.0477815000652972, ""reg_lambda"": 2.3948923368821093, ""subsample"": 0.607039980704748}",COMPLETE
22,0.2144677492225966,2026-09-19 12:09:08.568536,2026-09-19 12:09:10.853067,0 days 00:00:02.284531,0.7358710590026717,0.04968208128549985,3,747,2.21682564537148,2.7173987441467626,0.7276879594788344,"{""colsample_bytree"": 0.7358710590026717, ""learning_rate"": 0.04968208128549985, ""max_depth"": 3, ""n_estimators"": 747, ""reg_alpha"": 2.21682564537148, ""reg_lambda"": 2.7173987441467626, ""subsample"": 0.7276879594788344}",PRUNED
23,0.2104298074310337,2026-09-19 12:09:10.853067,2026-09-19 12:09:13.836656,0 days 00:00:02.983589,0.7619862844406879,0.03809043194304744,3,846,3.263337384267304,3.590652413382781,0.6020135468558181,"{""colsample_bytree"": 0.7619862844406879, ""learning_rate"": 0.03809043194304744, ""max_depth"": 3, ""n_estimators"": 846, ""reg_alpha"": 3.263337384267304, ""reg_lambda"": 3.590652413382781, ""subsample"": 0.6020135468558181}",PRUNED
24,0.22051334383741192,2026-09-19 12:09:13.836656,2026-09-19 12:09:18.506200,0 days 00:00:04.669544,0.8920677861416101,0.06990001891538085,2,804,2.928622077348069,2.130415300042017,0.648659608619076,"{""colsample_bytree"": 0.8920677861416101, ""learning_rate"": 0.06990001891538085, ""max_depth"": 2, ""n_estimators"": 804, ""reg_alpha"": 2.928622077348069, ""reg_lambda"": 2.130415300042017, ""subsample"": 0.648659608619076}",PRUNED
25,0.21551586232224923,2026-09-19 12:09:18.506200,2026-09-19 12:09:20.976510,0 days 00:00:02.470310,0.6964447030863004,0.08666850788881436,3,913,3.0061566305454184,0.9056376309144962,0.6428938105656169,"{""colsample_bytree"": 0.6964447030863004, ""learning_rate"": 0.08666850788881436, ""max_depth"": 3, ""n_estimators"": 913, ""reg_alpha"": 3.0061566305454184, ""reg_lambda"": 0.9056376309144962, ""subsample"": 0.6428938105656169}",PRUNED
26,0.24847429775329596,2026-09-19 12:09:20.976510,2026-09-19 12:09:25.408640,0 days 00:00:04.432130,0.7534597725847937,0.04381872021700817,1,905,1.660729915727898,1.6749414909060103,0.6214132512170333,"{""colsample_bytree"": 0.7534597725847937, ""learning_rate"": 0.04381872021700817, ""max_depth"": 1, ""n_estimators"": 905, ""reg_alpha"": 1.660729915727898, ""reg_lambda"": 1.6749414909060103, ""subsample"": 0.6214132512170333}",COMPLETE
27,0.23160962369678584,2026-09-19 12:09:25.408640,2026-09-19 12:09:26.627519,0 days 00:00:01.218879,0.6268984810740851,0.020912502525375607,3,869,2.3523064676165366,2.791605259415726,0.6603158949703892,"{""colsample_bytree"": 0.6268984810740851, ""learning_rate"": 0.020912502525375607, ""max_depth"": 3, ""n_estimators"": 869, ""reg_alpha"": 2.3523064676165366, ""reg_lambda"": 2.791605259415726, ""subsample"": 0.6603158949703892}",PRUNED
28,0.23611329067366427,2026-09-19 12:09:26.627519,2026-09-19 12:09:29.169983,0 days 00:00:02.542464,0.6097175241237343,0.020969681929559458,1,749,4.183478757164507,1.842480657416467,0.6163442033494965,"{""colsample_bytree"": 0.6097175241237343, ""learning_rate"": 0.020969681929559458, ""max_depth"": 1, ""n_estimators"": 749, ""reg_alpha"": 4.183478757164507, ""reg_lambda"": 1.842480657416467, ""subsample"": 0.6163442033494965}",COMPLETE
29,0.21085051394225948,2026-09-19 12:09:29.169983,2026-09-19 12:09:30.018089,0 days 00:00:00.848106,0.6843568778377741,0.03206439794298712,3,678,3.7292387552121005,1.9086231012137398,0.6509222466937549,"{""colsample_bytree"": 0.6843568778377741, ""learning_rate"": 0.03206439794298712, ""max_depth"": 3, ""n_estimators"": 678, ""reg_alpha"": 3.7292387552121005, ""reg_lambda"": 1.9086231012137398, ""subsample"": 0.6509222466937549}",PRUNED
30,0.24418098712544828,2026-09-19 12:09:30.018089,2026-09-19 12:09:32.304301,0 days 00:00:02.286212,0.9134203353914623,0.041824138105406236,1,729,3.9592137856510186,1.7912063895468093,0.6395604061104865,"{""colsample_bytree"": 0.9134203353914623, ""learning_rate"": 0.041824138105406236, ""max_depth"": 1, ""n_estimators"": 729, ""reg_alpha"": 3.9592137856510186, ""reg_lambda"": 1.7912063895468093, ""subsample"": 0.6395604061104865}",COMPLETE
31,0.1935970067109743,2026-09-19 12:09:32.304301,2026-09-19 12:09:34.833377,0 days 00:00:02.529076,0.6398639109406091,0.04920222873835754,3,848,2.63380296830234,1.9606308953394795,0.6594638768790498,"{""colsample_bytree"": 0.6398639109406091, ""learning_rate"": 0.04920222873835754, ""max_depth"": 3, ""n_estimators"": 848, ""reg_alpha"": 2.63380296830234, ""reg_lambda"": 1.9606308953394795, ""subsample"": 0.6594638768790498}",PRUNED
