number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,system_attrs_tpe:relative_params:0,state
0,0.2065428430259555,2026-09-19 02:40:37.621692,2026-09-19 02:40:38.065816,0 days 00:00:00.444124,0.0074593432857265485,0.9507143064099162,,COMPLETE
1,0.25453549852037494,2026-09-19 02:40:38.065816,2026-09-19 02:40:48.850682,0 days 00:00:10.784866,0.4570563099801455,0.5986584841970366,,COMPLETE
2,0.09770114942528736,2026-09-19 02:40:48.850682,2026-09-19 02:40:48.976668,0 days 00:00:00.125986,0.0006026889128682511,0.15599452033620265,,COMPLETE
3,0.09770114942528736,2026-09-19 02:40:48.976668,2026-09-19 02:40:49.023666,0 days 00:00:00.046998,0.00019517224641449495,0.8661761457749352,,COMPLETE
4,0.2559346569672619,2026-09-19 02:40:49.023666,2026-09-19 02:40:52.184553,0 days 00:00:03.160887,0.10129197956845731,0.7080725777960455,,COMPLETE
5,0.09770114942528736,2026-09-19 02:40:52.184553,2026-09-19 02:40:52.192555,0 days 00:00:00.008002,0.00012674255898937226,0.9699098521619943,,PRUNED
6,0.24695323333205588,2026-09-19 02:40:52.192555,2026-09-19 02:41:12.527530,0 days 00:00:20.334975,1.452824663751602,0.21233911067827616,,COMPLETE
7,0.09770114942528736,2026-09-19 02:41:12.527530,2026-09-19 02:41:12.551535,0 days 00:00:00.024005,0.0008111941985431928,0.18340450985343382,,PRUNED
8,0.09770114942528736,2026-09-19 02:41:12.551535,2026-09-19 02:41:12.590098,0 days 00:00:00.038563,0.0033205591037519565,0.5247564316322378,,PRUNED
9,0.2643830817198328,2026-09-19 02:41:12.590098,2026-09-19 02:41:13.420677,0 days 00:00:00.830579,0.01444525102276306,0.2912291401980419,,COMPLETE
10,0.25759583887210347,2026-09-19 02:41:13.420677,2026-09-19 02:41:15.376808,0 days 00:00:01.956131,0.0301674852885256,0.18438134197009548,"{""C"": 0.0301674852885256, ""l1_ratio"": 0.18438134197009548}",COMPLETE
11,0.2583834803309223,2026-09-19 02:41:15.376808,2026-09-19 02:41:20.549484,0 days 00:00:05.172676,0.10739897179555577,0.1718677247135283,"{""C"": 0.10739897179555577, ""l1_ratio"": 0.1718677247135283}",COMPLETE
12,0.2607726484678895,2026-09-19 02:41:20.549484,2026-09-19 02:41:22.715673,0 days 00:00:02.166189,0.015241471985052208,0.00301522113659633,"{""C"": 0.015241471985052208, ""l1_ratio"": 0.00301522113659633}",COMPLETE
13,0.26249718938442157,2026-09-19 02:41:22.715673,2026-09-19 02:41:24.123869,0 days 00:00:01.408196,0.03589353788638111,0.39461889018039004,"{""C"": 0.03589353788638111, ""l1_ratio"": 0.39461889018039004}",COMPLETE
14,0.22594649683043289,2026-09-19 02:41:24.123869,2026-09-19 02:41:24.561532,0 days 00:00:00.437663,0.05449280398972806,0.4024251129518318,"{""C"": 0.05449280398972806, ""l1_ratio"": 0.4024251129518318}",PRUNED
15,0.2570072137655221,2026-09-19 02:41:24.561532,2026-09-19 02:41:37.314486,0 days 00:00:12.752954,0.5183273603525624,0.9469618763901493,"{""C"": 0.5183273603525624, ""l1_ratio"": 0.9469618763901493}",COMPLETE
16,0.200128164907248,2026-09-19 02:41:37.314486,2026-09-19 02:41:37.427413,0 days 00:00:00.112927,0.007493436537786959,0.3841427065248058,"{""C"": 0.007493436537786959, ""l1_ratio"": 0.3841427065248058}",PRUNED
17,0.2646126071613768,2026-09-19 02:41:37.427413,2026-09-19 02:41:41.235773,0 days 00:00:03.808360,0.32549276812706013,0.36316614870355257,"{""C"": 0.32549276812706013, ""l1_ratio"": 0.36316614870355257}",PRUNED
18,0.1829770837143933,2026-09-19 02:41:41.235773,2026-09-19 02:41:41.344979,0 days 00:00:00.109206,0.006310490769054083,0.62027495694421,"{""C"": 0.006310490769054083, ""l1_ratio"": 0.62027495694421}",PRUNED
19,0.26512336983249424,2026-09-19 02:41:41.344979,2026-09-19 02:41:44.071517,0 days 00:00:02.726538,0.19136796245631835,0.060017404666616786,"{""C"": 0.19136796245631835, ""l1_ratio"": 0.060017404666616786}",PRUNED
20,0.09770114942528736,2026-09-19 02:41:44.071517,2026-09-19 02:41:44.086550,0 days 00:00:00.015033,0.00033758368333069804,0.38786518907101375,"{""C"": 0.00033758368333069804, ""l1_ratio"": 0.38786518907101375}",PRUNED
21,0.259443756678346,2026-09-19 02:41:44.086550,2026-09-19 02:41:45.654433,0 days 00:00:01.567883,0.012897609727618511,0.07027820720156808,"{""C"": 0.012897609727618511, ""l1_ratio"": 0.07027820720156808}",COMPLETE
22,0.2158506449640467,2026-09-19 02:41:45.654433,2026-09-19 02:41:45.790063,0 days 00:00:00.135630,0.0024966099917770705,0.05123109864857198,"{""C"": 0.0024966099917770705, ""l1_ratio"": 0.05123109864857198}",PRUNED
23,0.09770114942528736,2026-09-19 02:41:45.790063,2026-09-19 02:41:45.805370,0 days 00:00:00.015307,0.0007233327835317129,0.49998174118123845,"{""C"": 0.0007233327835317129, ""l1_ratio"": 0.49998174118123845}",PRUNED
24,0.218168630194808,2026-09-19 02:41:45.805370,2026-09-19 02:41:45.996849,0 days 00:00:00.191479,0.01877961345738054,0.29756610616900453,"{""C"": 0.01877961345738054, ""l1_ratio"": 0.29756610616900453}",PRUNED
25,0.09770114942528736,2026-09-19 02:41:45.996849,2026-09-19 02:41:46.012409,0 days 00:00:00.015560,0.001440830037724264,0.8437580654606656,"{""C"": 0.001440830037724264, ""l1_ratio"": 0.8437580654606656}",PRUNED
26,0.26162596581987363,2026-09-19 02:41:46.012409,2026-09-19 02:42:02.223933,0 days 00:00:16.211524,2.44201631489441,0.7253083980144934,"{""C"": 2.44201631489441, ""l1_ratio"": 0.7253083980144934}",PRUNED
27,0.09770114942528736,2026-09-19 02:42:02.223933,2026-09-19 02:42:02.248962,0 days 00:00:00.025029,0.00011561079700728401,0.03579889999013336,"{""C"": 0.00011561079700728401, ""l1_ratio"": 0.03579889999013336}",PRUNED
28,0.09770114942528736,2026-09-19 02:42:02.248962,2026-09-19 02:42:02.282654,0 days 00:00:00.033692,0.0016365383476182385,0.30006786746947495,"{""C"": 0.0016365383476182385, ""l1_ratio"": 0.30006786746947495}",PRUNED
29,0.1996831513157326,2026-09-19 02:42:02.282654,2026-09-19 02:42:02.406253,0 days 00:00:00.123599,0.0034407280512206546,0.19870550149005997,"{""C"": 0.0034407280512206546, ""l1_ratio"": 0.19870550149005997}",PRUNED
30,0.25753810632462015,2026-09-19 02:42:02.406253,2026-09-19 02:42:21.462431,0 days 00:00:19.056178,9.92686677050091,0.39282763556632716,"{""C"": 9.92686677050091, ""l1_ratio"": 0.39282763556632716}",PRUNED
31,0.25922932429669543,2026-09-19 02:42:21.462431,2026-09-19 02:42:24.096760,0 days 00:00:02.634329,0.025173616839399983,0.020313155224677897,"{""C"": 0.025173616839399983, ""l1_ratio"": 0.020313155224677897}",COMPLETE
32,0.2588237149182451,2026-09-19 02:42:24.096760,2026-09-19 02:42:25.861837,0 days 00:00:01.765077,0.019697943277230113,0.11258622567357032,"{""C"": 0.019697943277230113, ""l1_ratio"": 0.11258622567357032}",COMPLETE
33,0.2610353888805531,2026-09-19 02:42:25.861837,2026-09-19 02:42:27.190119,0 days 00:00:01.328282,0.00894603357354021,0.05846647839785141,"{""C"": 0.00894603357354021, ""l1_ratio"": 0.05846647839785141}",COMPLETE
34,0.25914261549397133,2026-09-19 02:42:27.190119,2026-09-19 02:42:28.763537,0 days 00:00:01.573418,0.006156381604316098,0.0025659588584843723,"{""C"": 0.006156381604316098, ""l1_ratio"": 0.0025659588584843723}",COMPLETE
35,0.1897149572973773,2026-09-19 02:42:28.763537,2026-09-19 02:42:28.856637,0 days 00:00:00.093100,0.0006028735713927626,0.06177919878110358,"{""C"": 0.0006028735713927626, ""l1_ratio"": 0.06177919878110358}",PRUNED
36,0.20339424308282805,2026-09-19 02:42:28.856637,2026-09-19 02:42:28.976705,0 days 00:00:00.120068,0.0060194067424959915,0.2758543921534139,"{""C"": 0.0060194067424959915, ""l1_ratio"": 0.2758543921534139}",PRUNED
37,0.21215946204424674,2026-09-19 02:42:28.976705,2026-09-19 02:42:29.151940,0 days 00:00:00.175235,0.026442136302967347,0.6151841934499425,"{""C"": 0.026442136302967347, ""l1_ratio"": 0.6151841934499425}",PRUNED
38,0.2689074175200704,2026-09-19 02:42:29.151940,2026-09-19 02:42:31.261228,0 days 00:00:02.109288,0.08041343952807752,0.022393694383815273,"{""C"": 0.08041343952807752, ""l1_ratio"": 0.022393694383815273}",PRUNED
39,0.09770114942528736,2026-09-19 02:42:31.261228,2026-09-19 02:42:31.270783,0 days 00:00:00.009555,0.000117039156921539,0.24766563713659095,"{""C"": 0.000117039156921539, ""l1_ratio"": 0.24766563713659095}",PRUNED
40,0.2623664166214303,2026-09-19 02:42:31.270783,2026-09-19 02:42:37.464223,0 days 00:00:06.193440,0.690258831156486,0.0026285886610831087,"{""C"": 0.690258831156486, ""l1_ratio"": 0.0026285886610831087}",PRUNED
