number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,0.2264411958327141,2026-09-19 04:41:11.997039,2026-09-19 04:41:16.627852,0 days 00:00:04.630813,0.5780093202212182,0.2536999076681772,10,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,COMPLETE
1,0.22654885748310988,2026-09-19 04:41:16.627852,2026-09-19 04:41:28.016479,0 days 00:00:11.388627,0.9849549260809971,0.07725378389307355,10,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,COMPLETE
2,0.23502039750366066,2026-09-19 04:41:28.016479,2026-09-19 04:41:34.578132,0 days 00:00:06.561653,0.7159725093210578,0.018659959624904916,6,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,COMPLETE
3,0.23320187133624987,2026-09-19 04:41:34.578132,2026-09-19 04:41:41.148015,0 days 00:00:06.569883,0.8925879806965068,0.027010527749605478,6,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,COMPLETE
4,0.21683103313766772,2026-09-19 04:41:41.148015,2026-09-19 04:41:57.117686,0 days 00:00:15.969671,0.5325257964926398,0.011711509955524094,9,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,COMPLETE
5,0.25156144219977017,2026-09-19 04:41:57.117686,2026-09-19 04:42:02.421815,0 days 00:00:05.304129,0.7200762468698007,0.028180680291847244,3,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,COMPLETE
6,0.20977424465930855,2026-09-19 04:42:02.421815,2026-09-19 04:42:04.256830,0 days 00:00:01.835015,0.6558555380447055,0.22038218939289875,5,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,PRUNED
7,0.15902667515446875,2026-09-19 04:42:04.256830,2026-09-19 04:42:04.965211,0 days 00:00:00.708381,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,PRUNED
8,0.2619557274179842,2026-09-19 04:42:04.965211,2026-09-19 04:42:06.563449,0 days 00:00:01.598238,0.6943386448447411,0.01947558230629543,3,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,COMPLETE
9,0.16943339962419496,2026-09-19 04:42:06.563449,2026-09-19 04:42:09.492768,0 days 00:00:02.929319,0.9010984903770198,0.026000059117302653,8,557,0.3727532183988541,4.9344346830025865,0.6563696899899051,,PRUNED
10,0.24253820311841218,2026-09-19 04:42:09.492768,2026-09-19 04:42:12.790244,0 days 00:00:03.297476,0.7146334367602184,0.05304539620046197,3,664,3.787268579910349,1.7187343523663845,0.6160894317513417,"{""colsample_bytree"": 0.7146334367602184, ""learning_rate"": 0.05304539620046197, ""max_depth"": 3, ""n_estimators"": 664, ""reg_alpha"": 3.787268579910349, ""reg_lambda"": 1.7187343523663845, ""subsample"": 0.6160894317513417}",COMPLETE
11,0.22593616519394655,2026-09-19 04:42:12.790244,2026-09-19 04:42:20.122376,0 days 00:00:07.332132,0.7640992718267143,0.02233386036443739,5,794,1.7529587340139539,2.945562139847985,0.8962986665768997,"{""colsample_bytree"": 0.7640992718267143, ""learning_rate"": 0.02233386036443739, ""max_depth"": 5, ""n_estimators"": 794, ""reg_alpha"": 1.7529587340139539, ""reg_lambda"": 2.945562139847985, ""subsample"": 0.8962986665768997}",PRUNED
12,0.24865345266521172,2026-09-19 04:42:20.122376,2026-09-19 04:42:24.619075,0 days 00:00:04.496699,0.7553661490436229,0.019874963212375276,4,574,0.20168973070748408,3.350681125771306,0.6505831721363239,"{""colsample_bytree"": 0.7553661490436229, ""learning_rate"": 0.019874963212375276, ""max_depth"": 4, ""n_estimators"": 574, ""reg_alpha"": 0.20168973070748408, ""reg_lambda"": 3.350681125771306, ""subsample"": 0.6505831721363239}",COMPLETE
13,0.2602384871374546,2026-09-19 04:42:24.619075,2026-09-19 04:42:26.441792,0 days 00:00:01.822717,0.6352697931596443,0.018216175311991083,3,351,1.334143658783941,4.4365185128317375,0.7040272080845453,"{""colsample_bytree"": 0.6352697931596443, ""learning_rate"": 0.018216175311991083, ""max_depth"": 3, ""n_estimators"": 351, ""reg_alpha"": 1.334143658783941, ""reg_lambda"": 4.4365185128317375, ""subsample"": 0.7040272080845453}",COMPLETE
14,0.21315839629380717,2026-09-19 04:42:26.441792,2026-09-19 04:42:27.102755,0 days 00:00:00.660963,0.6882359041151164,0.013297632449769198,3,294,1.3599495706672913,4.072821271937603,0.6640610056965446,"{""colsample_bytree"": 0.6882359041151164, ""learning_rate"": 0.013297632449769198, ""max_depth"": 3, ""n_estimators"": 294, ""reg_alpha"": 1.3599495706672913, ""reg_lambda"": 4.072821271937603, ""subsample"": 0.6640610056965446}",PRUNED
15,0.21552244910941012,2026-09-19 04:42:27.102755,2026-09-19 04:42:27.554477,0 days 00:00:00.451722,0.714944837434017,0.023517529965919833,3,207,0.6979639704903057,4.872070327707227,0.851357783230337,"{""colsample_bytree"": 0.714944837434017, ""learning_rate"": 0.023517529965919833, ""max_depth"": 3, ""n_estimators"": 207, ""reg_alpha"": 0.6979639704903057, ""reg_lambda"": 4.872070327707227, ""subsample"": 0.851357783230337}",PRUNED
16,0.18243176416034534,2026-09-19 04:42:27.554477,2026-09-19 04:42:28.361753,0 days 00:00:00.807276,0.7388688097607944,0.034489422051892635,6,230,0.3330216584239407,4.511740147547662,0.7851035377286556,"{""colsample_bytree"": 0.7388688097607944, ""learning_rate"": 0.034489422051892635, ""max_depth"": 6, ""n_estimators"": 230, ""reg_alpha"": 0.3330216584239407, ""reg_lambda"": 4.511740147547662, ""subsample"": 0.7851035377286556}",PRUNED
17,0.2548896860361932,2026-09-19 04:42:28.361753,2026-09-19 04:42:29.631035,0 days 00:00:01.269282,0.5849229104970721,0.024424573396994338,3,248,0.2095922975535245,3.7899660141789653,0.6064515960418404,"{""colsample_bytree"": 0.5849229104970721, ""learning_rate"": 0.024424573396994338, ""max_depth"": 3, ""n_estimators"": 248, ""reg_alpha"": 0.2095922975535245, ""reg_lambda"": 3.7899660141789653, ""subsample"": 0.6064515960418404}",COMPLETE
18,0.21345373847571952,2026-09-19 04:42:29.631035,2026-09-19 04:42:30.318600,0 days 00:00:00.687565,0.5832857374567224,0.011464310704786578,3,328,0.3353435341897687,4.921211226970363,0.7674385341589129,"{""colsample_bytree"": 0.5832857374567224, ""learning_rate"": 0.011464310704786578, ""max_depth"": 3, ""n_estimators"": 328, ""reg_alpha"": 0.3353435341897687, ""reg_lambda"": 4.921211226970363, ""subsample"": 0.7674385341589129}",PRUNED
19,0.25032668700924404,2026-09-19 04:42:30.318600,2026-09-19 04:42:32.806706,0 days 00:00:02.488106,0.6445970321433064,0.03155333660176533,3,479,2.336893953154134,4.3245705031611195,0.7820931204238915,"{""colsample_bytree"": 0.6445970321433064, ""learning_rate"": 0.03155333660176533, ""max_depth"": 3, ""n_estimators"": 479, ""reg_alpha"": 2.336893953154134, ""reg_lambda"": 4.3245705031611195, ""subsample"": 0.7820931204238915}",COMPLETE
20,0.2576134097592703,2026-09-19 04:42:32.806706,2026-09-19 04:42:36.139241,0 days 00:00:03.332535,0.7076782729631769,0.010596132723631227,3,669,1.742398846109562,4.435956487162127,0.7147642075566012,"{""colsample_bytree"": 0.7076782729631769, ""learning_rate"": 0.010596132723631227, ""max_depth"": 3, ""n_estimators"": 669, ""reg_alpha"": 1.742398846109562, ""reg_lambda"": 4.435956487162127, ""subsample"": 0.7147642075566012}",COMPLETE
21,0.18715581356394348,2026-09-19 04:42:36.139241,2026-09-19 04:42:37.054233,0 days 00:00:00.914992,0.6976261337671151,0.010307404434310326,3,860,2.9346213646287085,4.316665078874697,0.724709846123113,"{""colsample_bytree"": 0.6976261337671151, ""learning_rate"": 0.010307404434310326, ""max_depth"": 3, ""n_estimators"": 860, ""reg_alpha"": 2.9346213646287085, ""reg_lambda"": 4.316665078874697, ""subsample"": 0.724709846123113}",PRUNED
22,0.18780297497290704,2026-09-19 04:42:37.054233,2026-09-19 04:42:38.062747,0 days 00:00:01.008514,0.710144038492444,0.023986575530899088,5,471,1.1868014887335052,4.987152366422744,0.7069571315938958,"{""colsample_bytree"": 0.710144038492444, ""learning_rate"": 0.023986575530899088, ""max_depth"": 5, ""n_estimators"": 471, ""reg_alpha"": 1.1868014887335052, ""reg_lambda"": 4.987152366422744, ""subsample"": 0.7069571315938958}",PRUNED
23,0.2213369103598477,2026-09-19 04:42:38.062747,2026-09-19 04:42:39.154872,0 days 00:00:01.092125,0.6322254976695222,0.01383042959798283,3,521,1.6334670289681152,4.911523771443892,0.7503119949585435,"{""colsample_bytree"": 0.6322254976695222, ""learning_rate"": 0.01383042959798283, ""max_depth"": 3, ""n_estimators"": 521, ""reg_alpha"": 1.6334670289681152, ""reg_lambda"": 4.911523771443892, ""subsample"": 0.7503119949585435}",PRUNED
