number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,0.2218427045369619,2026-09-19 04:27:05.125281,2026-09-19 04:27:09.079336,0 days 00:00:03.954055,0.5780093202212182,0.2536999076681772,10,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,COMPLETE
1,0.2290639696477088,2026-09-19 04:27:09.079336,2026-09-19 04:27:18.477587,0 days 00:00:09.398251,0.9849549260809971,0.07725378389307355,10,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,COMPLETE
2,0.23619595032917964,2026-09-19 04:27:18.477587,2026-09-19 04:27:24.438132,0 days 00:00:05.960545,0.7159725093210578,0.018659959624904916,6,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,COMPLETE
3,0.25195942301062146,2026-09-19 04:27:24.438132,2026-09-19 04:27:30.512812,0 days 00:00:06.074680,0.8925879806965068,0.027010527749605478,6,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,COMPLETE
4,0.23497201912878304,2026-09-19 04:27:30.512812,2026-09-19 04:27:43.894922,0 days 00:00:13.382110,0.5325257964926398,0.011711509955524094,9,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,COMPLETE
5,0.25232365476845686,2026-09-19 04:27:43.894922,2026-09-19 04:27:48.961099,0 days 00:00:05.066177,0.7200762468698007,0.028180680291847244,3,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,COMPLETE
6,0.22615328097139345,2026-09-19 04:27:48.961099,2026-09-19 04:27:50.845898,0 days 00:00:01.884799,0.6558555380447055,0.22038218939289875,5,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,COMPLETE
7,0.2456718148875971,2026-09-19 04:27:50.845898,2026-09-19 04:27:51.492964,0 days 00:00:00.647066,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,PRUNED
8,0.2586350312196529,2026-09-19 04:27:51.492964,2026-09-19 04:27:52.979210,0 days 00:00:01.486246,0.6943386448447411,0.01947558230629543,3,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,COMPLETE
9,0.2508591299779435,2026-09-19 04:27:52.979210,2026-09-19 04:27:55.585052,0 days 00:00:02.605842,0.9010984903770198,0.026000059117302653,8,557,0.3727532183988541,4.9344346830025865,0.6563696899899051,,PRUNED
10,0.23694422725578146,2026-09-19 04:27:55.585052,2026-09-19 04:27:56.185350,0 days 00:00:00.600298,0.7146334367602184,0.05304539620046197,3,664,3.787268579910349,1.7187343523663845,0.6160894317513417,"{""colsample_bytree"": 0.7146334367602184, ""learning_rate"": 0.05304539620046197, ""max_depth"": 3, ""n_estimators"": 664, ""reg_alpha"": 3.787268579910349, ""reg_lambda"": 1.7187343523663845, ""subsample"": 0.6160894317513417}",PRUNED
11,0.24565641619435272,2026-09-19 04:27:56.185350,2026-09-19 04:28:04.822109,0 days 00:00:08.636759,0.7640992718267143,0.02233386036443739,5,794,1.7529587340139539,2.945562139847985,0.8962986665768997,"{""colsample_bytree"": 0.7640992718267143, ""learning_rate"": 0.02233386036443739, ""max_depth"": 5, ""n_estimators"": 794, ""reg_alpha"": 1.7529587340139539, ""reg_lambda"": 2.945562139847985, ""subsample"": 0.8962986665768997}",COMPLETE
12,0.25155075768872875,2026-09-19 04:28:04.822109,2026-09-19 04:28:08.995128,0 days 00:00:04.173019,0.7553661490436229,0.019874963212375276,4,574,0.20168973070748408,3.350681125771306,0.6505831721363239,"{""colsample_bytree"": 0.7553661490436229, ""learning_rate"": 0.019874963212375276, ""max_depth"": 4, ""n_estimators"": 574, ""reg_alpha"": 0.20168973070748408, ""reg_lambda"": 3.350681125771306, ""subsample"": 0.6505831721363239}",COMPLETE
13,0.2607203484300272,2026-09-19 04:28:08.995128,2026-09-19 04:28:10.735309,0 days 00:00:01.740181,0.6352697931596443,0.018216175311991083,3,351,1.334143658783941,4.4365185128317375,0.7040272080845453,"{""colsample_bytree"": 0.6352697931596443, ""learning_rate"": 0.018216175311991083, ""max_depth"": 3, ""n_estimators"": 351, ""reg_alpha"": 1.334143658783941, ""reg_lambda"": 4.4365185128317375, ""subsample"": 0.7040272080845453}",COMPLETE
14,0.26937167304475196,2026-09-19 04:28:10.735309,2026-09-19 04:28:11.029914,0 days 00:00:00.294605,0.6882359041151164,0.013297632449769198,3,294,1.3599495706672913,4.072821271937603,0.6640610056965446,"{""colsample_bytree"": 0.6882359041151164, ""learning_rate"": 0.013297632449769198, ""max_depth"": 3, ""n_estimators"": 294, ""reg_alpha"": 1.3599495706672913, ""reg_lambda"": 4.072821271937603, ""subsample"": 0.6640610056965446}",PRUNED
15,0.2563549930567829,2026-09-19 04:28:11.029914,2026-09-19 04:28:12.089006,0 days 00:00:01.059092,0.714944837434017,0.023517529965919833,3,207,0.6979639704903057,4.872070327707227,0.851357783230337,"{""colsample_bytree"": 0.714944837434017, ""learning_rate"": 0.023517529965919833, ""max_depth"": 3, ""n_estimators"": 207, ""reg_alpha"": 0.6979639704903057, ""reg_lambda"": 4.872070327707227, ""subsample"": 0.851357783230337}",COMPLETE
16,0.26943069002235026,2026-09-19 04:28:12.089006,2026-09-19 04:28:12.870675,0 days 00:00:00.781669,0.7388688097607944,0.034489422051892635,6,230,0.3330216584239407,4.511740147547662,0.7851035377286556,"{""colsample_bytree"": 0.7388688097607944, ""learning_rate"": 0.034489422051892635, ""max_depth"": 6, ""n_estimators"": 230, ""reg_alpha"": 0.3330216584239407, ""reg_lambda"": 4.511740147547662, ""subsample"": 0.7851035377286556}",PRUNED
17,0.2639144141261146,2026-09-19 04:28:12.870675,2026-09-19 04:28:14.053197,0 days 00:00:01.182522,0.5849229104970721,0.024424573396994338,3,248,0.2095922975535245,3.7899660141789653,0.6064515960418404,"{""colsample_bytree"": 0.5849229104970721, ""learning_rate"": 0.024424573396994338, ""max_depth"": 3, ""n_estimators"": 248, ""reg_alpha"": 0.2095922975535245, ""reg_lambda"": 3.7899660141789653, ""subsample"": 0.6064515960418404}",COMPLETE
18,0.2475945039124659,2026-09-19 04:28:14.053197,2026-09-19 04:28:16.256171,0 days 00:00:02.202974,0.5981254938749625,0.02956333841999651,4,332,0.7310272144691136,3.3457986283631262,0.6082126376212343,"{""colsample_bytree"": 0.5981254938749625, ""learning_rate"": 0.02956333841999651, ""max_depth"": 4, ""n_estimators"": 332, ""reg_alpha"": 0.7310272144691136, ""reg_lambda"": 3.3457986283631262, ""subsample"": 0.6082126376212343}",COMPLETE
19,0.2581806287155711,2026-09-19 04:28:16.256171,2026-09-19 04:28:18.308359,0 days 00:00:02.052188,0.6132798245372107,0.03893728908232715,3,424,1.5665455285924832,4.024939106911316,0.7173567979298927,"{""colsample_bytree"": 0.6132798245372107, ""learning_rate"": 0.03893728908232715, ""max_depth"": 3, ""n_estimators"": 424, ""reg_alpha"": 1.5665455285924832, ""reg_lambda"": 4.024939106911316, ""subsample"": 0.7173567979298927}",COMPLETE
20,0.2592741611501793,2026-09-19 04:28:18.308359,2026-09-19 04:28:21.418616,0 days 00:00:03.110257,0.5247055067743063,0.019743326267941733,3,697,0.12101918196244107,4.208214858941991,0.63837409156595,"{""colsample_bytree"": 0.5247055067743063, ""learning_rate"": 0.019743326267941733, ""max_depth"": 3, ""n_estimators"": 697, ""reg_alpha"": 0.12101918196244107, ""reg_lambda"": 4.208214858941991, ""subsample"": 0.63837409156595}",COMPLETE
21,0.2748621164975652,2026-09-19 04:28:21.418616,2026-09-19 04:28:21.907349,0 days 00:00:00.488733,0.543670943883438,0.02894168975665123,4,377,0.3896680002232841,4.899059380762308,0.6350561291727803,"{""colsample_bytree"": 0.543670943883438, ""learning_rate"": 0.02894168975665123, ""max_depth"": 4, ""n_estimators"": 377, ""reg_alpha"": 0.3896680002232841, ""reg_lambda"": 4.899059380762308, ""subsample"": 0.6350561291727803}",PRUNED
