fold,rows,negatives,positives,synthetic,seconds,sha256,real_moderato,real_alto,real_molto alto
full,7850,3925,3925,0,0.2,667dcc5d27e2c5bd,3260,479,186
outer0,6280,3140,3140,0,0.1,4f3d9902ff2aaa69,2615,355,170
outer0_inner0,5024,2512,2512,0,0.1,1d69473397209c65,2057,321,134
outer0_inner1,5024,2512,2512,0,0.1,ebde24beeeb9f0b3,2076,285,151
outer0_inner2,5024,2512,2512,0,0.1,a0081d236ec753c2,2065,307,140
outer0_inner3,5024,2512,2512,0,0.1,afb0833b07df3b21,2097,271,144
outer0_inner4,5024,2512,2512,0,0.1,212b68b625060354,2113,279,120
outer1,6280,3140,3140,0,0.1,8672134f23e6b68f,2596,374,170
outer1_inner0,5024,2512,2512,0,0.1,66aee9d52ef7d282,2101,299,112
outer1_inner1,5024,2512,2512,0,0.1,dd75c43343b8a994,2051,328,133
outer1_inner2,5024,2512,2512,0,0.1,0a56d0637251c94a,2110,282,120
outer1_inner3,5024,2512,2512,0,0.1,63242c211a7b2697,2062,313,137
outer1_inner4,5024,2512,2512,0,0.1,a6c672ba9c690f58,2109,293,110
outer2,6280,3140,3140,0,0.1,1b19c2b3b46f836d,2573,407,160
outer2_inner0,5024,2512,2512,0,0.1,85f805d9dd7043f7,2091,300,121
outer2_inner1,5024,2512,2512,0,0.1,276f0251582b2c17,2107,264,141
outer2_inner2,5024,2512,2512,0,0.1,92b6fa6db9076ae1,2112,273,127
outer2_inner3,5024,2512,2512,0,0.1,e7dd4e4f0144064c,2093,301,118
outer2_inner4,5024,2512,2512,0,0.1,e352170ed5d9b213,2123,274,115
outer3,6280,3140,3140,0,0.1,1b2e65d7c2765dd4,2592,390,158
outer3_inner0,5024,2512,2512,0,0.1,beafe22ec10f5ac5,2054,309,149
outer3_inner1,5024,2512,2512,0,0.1,5a551bd172535b7c,2054,319,139
outer3_inner2,5024,2512,2512,0,0.1,c2cf4da9ec6e0160,2088,285,139
outer3_inner3,5024,2512,2512,0,0.1,e791d395ee56e73a,2080,305,127
outer3_inner4,5024,2512,2512,0,0.1,43e7362927ddc9a4,2128,266,118
outer4,6280,3140,3140,0,0.1,dce49fc7476cc06b,2611,372,157
outer4_inner0,5024,2512,2512,0,0.1,85c8d5261178e715,2076,311,125
outer4_inner1,5024,2512,2512,0,0.1,593cfb3588c4d4f2,2087,305,120
outer4_inner2,5024,2512,2512,0,0.1,451b214d6cb4e05a,2107,305,100
outer4_inner3,5024,2512,2512,0,0.1,7ca764b0ce134890,2080,332,100
outer4_inner4,5024,2512,2512,0,0.1,b946e988ce6d1028,2110,307,95
