fold,rows,negatives,positives,synthetic,seconds,sha256,real_moderato,real_alto,real_molto alto
full,7850,3925,3925,3500,1.0,87fa10a7335007dd,354,50,21
outer0,6280,3140,3140,2800,0.7,a0fdfd923e16a88d,283,40,17
outer0_inner0,5024,2512,2512,2240,0.6,f201c391e1616e9d,226,32,14
outer0_inner1,5024,2512,2512,2240,0.6,8e2595dc5fa45ba9,226,32,14
outer0_inner2,5024,2512,2512,2240,0.6,4c3d0f5ad2a9afa4,226,32,14
outer0_inner3,5024,2512,2512,2240,0.5,ad5148a5d07b13a4,227,32,13
outer0_inner4,5024,2512,2512,2240,0.6,394f0ed517df2af1,227,32,13
outer1,6280,3140,3140,2800,0.7,c965b7c60789b5fb,283,40,17
outer1_inner0,5024,2512,2512,2240,0.6,d32be07aa3c10b1a,226,32,14
outer1_inner1,5024,2512,2512,2240,0.6,0bbfaf151620e4fe,226,32,14
outer1_inner2,5024,2512,2512,2240,0.6,79e02092b2988899,226,32,14
outer1_inner3,5024,2512,2512,2240,0.6,a88768ff1e88fc96,227,32,13
outer1_inner4,5024,2512,2512,2240,0.6,8a7e0e545b57b4ff,227,32,13
outer2,6280,3140,3140,2800,0.7,d56b84909858463c,283,40,17
outer2_inner0,5024,2512,2512,2240,0.6,814f665a4770af6a,226,32,14
outer2_inner1,5024,2512,2512,2240,0.6,3c8953472e747994,226,32,14
outer2_inner2,5024,2512,2512,2240,0.6,15c94f19df113006,226,32,14
outer2_inner3,5024,2512,2512,2240,0.6,87c7f9436fcc0779,227,32,13
outer2_inner4,5024,2512,2512,2240,0.6,7d69dad07e79721c,227,32,13
outer3,6280,3140,3140,2800,0.7,376257a917e1cb4e,283,40,17
outer3_inner0,5024,2512,2512,2240,0.6,73d6a1044242f0ce,226,32,14
outer3_inner1,5024,2512,2512,2240,0.6,1fc4e37c55efa93c,226,32,14
outer3_inner2,5024,2512,2512,2240,0.6,d4c4aec4ad49ba7a,226,32,14
outer3_inner3,5024,2512,2512,2240,0.6,a075a150d4e232cf,227,32,13
outer3_inner4,5024,2512,2512,2240,0.6,9c21c8d0b3748d3f,227,32,13
outer4,6280,3140,3140,2800,0.7,754c3a7b3f6230e1,284,40,16
outer4_inner0,5024,2512,2512,2240,0.6,941349f69ca9e368,227,32,13
outer4_inner1,5024,2512,2512,2240,0.6,36533daf3292e00e,227,32,13
outer4_inner2,5024,2512,2512,2240,0.7,1a216532a5463ee3,227,32,13
outer4_inner3,5024,2512,2512,2240,0.6,7da7c7edac597f0a,227,32,13
outer4_inner4,5024,2512,2512,2240,0.6,43da51eebf7d2af4,228,32,12
