fold,rows,negatives,positives,synthetic,seconds,sha256,real_moderato,real_alto,real_molto alto
full,7850,3925,3925,3500,1.5,5abd85384b4ccc06,354,50,21
outer0,6280,3140,3140,2800,1.3,270dfd4ecc529d03,283,40,17
outer0_inner0,5024,2512,2512,2240,1.0,24b6a6531e240c5f,226,32,14
outer0_inner1,5024,2512,2512,2240,1.0,353a92f68bbd8ede,226,32,14
outer0_inner2,5024,2512,2512,2240,1.0,c426e1aba4cf218a,226,32,14
outer0_inner3,5024,2512,2512,2240,1.0,85852f643544f1f3,227,32,13
outer0_inner4,5024,2512,2512,2240,1.8,9bc1165160b95e39,227,32,13
outer1,6280,3140,3140,2800,1.8,d9851847bcf4a664,283,40,17
outer1_inner0,5024,2512,2512,2240,1.3,9c93c66590ff58e1,226,32,14
outer1_inner1,5024,2512,2512,2240,1.4,a24eca265826ba96,226,32,14
outer1_inner2,5024,2512,2512,2240,1.6,35428f84e0406d4d,226,32,14
outer1_inner3,5024,2512,2512,2240,1.5,307a42c0c7286576,227,32,13
outer1_inner4,5024,2512,2512,2240,1.4,111b0a9a68f1b844,227,32,13
outer2,6280,3140,3140,2800,1.5,e36d6461da7ac0dd,283,40,17
outer2_inner0,5024,2512,2512,2240,1.1,114825c6ea0ea20c,226,32,14
outer2_inner1,5024,2512,2512,2240,1.2,65e9b6ca8fe91ea4,226,32,14
outer2_inner2,5024,2512,2512,2240,1.2,00b10d33fccc6d89,226,32,14
outer2_inner3,5024,2512,2512,2240,1.1,115a5af4ee0296d3,227,32,13
outer2_inner4,5024,2512,2512,2240,1.1,ea08fec736ad919b,227,32,13
outer3,6280,3140,3140,2800,1.3,fc9be556a807d374,283,40,17
outer3_inner0,5024,2512,2512,2240,1.0,1b40a3952991835a,226,32,14
outer3_inner1,5024,2512,2512,2240,1.0,168ac00c39d2f5fc,226,32,14
outer3_inner2,5024,2512,2512,2240,1.0,6fe23c5b14e4d951,226,32,14
outer3_inner3,5024,2512,2512,2240,1.0,e01ae0e602afbc2d,227,32,13
outer3_inner4,5024,2512,2512,2240,1.0,5d3ffff67a24ab46,227,32,13
outer4,6280,3140,3140,2800,1.5,2091bf622e9cab73,284,40,16
outer4_inner0,5024,2512,2512,2240,1.0,58b9d2e839fb9deb,227,32,13
outer4_inner1,5024,2512,2512,2240,1.0,729ec504bd54a312,227,32,13
outer4_inner2,5024,2512,2512,2240,1.1,fef9644b1a841c56,227,32,13
outer4_inner3,5024,2512,2512,2240,1.0,e14492fcfe0b811d,227,32,13
outer4_inner4,5024,2512,2512,2240,1.0,ea1e629e592c2de4,228,32,12
