fold,rows,negatives,positives,synthetic,seconds,sha256,real_moderato,real_alto,real_molto alto
full,850,425,425,0,0.0,78149637f16cd6e3,354,50,21
outer0,680,340,340,0,0.0,478f2d64e9761457,283,40,17
outer0_inner0,544,272,272,0,0.0,dbaed544fedd01d6,226,32,14
outer0_inner1,544,272,272,0,0.0,f49150f016ea7376,226,32,14
outer0_inner2,544,272,272,0,0.0,74932b9a1418b70c,226,32,14
outer0_inner3,544,272,272,0,0.0,3f0fdc230688635c,227,32,13
outer0_inner4,544,272,272,0,0.0,f7a095506e1dd8fc,227,32,13
outer1,680,340,340,0,0.1,2ad39c817eb384d6,283,40,17
outer1_inner0,544,272,272,0,0.0,74bded1cc40a9ce4,226,32,14
outer1_inner1,544,272,272,0,0.0,89b93f1b17562221,226,32,14
outer1_inner2,544,272,272,0,0.0,de65b866e6c5fab1,226,32,14
outer1_inner3,544,272,272,0,0.0,ef4be4c1033de7df,227,32,13
outer1_inner4,544,272,272,0,0.0,b1ad147b63225f3e,227,32,13
outer2,680,340,340,0,0.0,913170970a880136,283,40,17
outer2_inner0,544,272,272,0,0.0,1b259370f7f3ea66,226,32,14
outer2_inner1,544,272,272,0,0.0,a4d7731df981df5e,226,32,14
outer2_inner2,544,272,272,0,0.0,acb03056e71395f9,226,32,14
outer2_inner3,544,272,272,0,0.0,3f3389d0c152adbb,227,32,13
outer2_inner4,544,272,272,0,0.0,38ac862dd9802063,227,32,13
outer3,680,340,340,0,0.0,ca708051bdd9463e,283,40,17
outer3_inner0,544,272,272,0,0.0,77d1ea232ce3e9a4,226,32,14
outer3_inner1,544,272,272,0,0.0,84937de571531057,226,32,14
outer3_inner2,544,272,272,0,0.0,d3f4cad54b99bf4c,226,32,14
outer3_inner3,544,272,272,0,0.0,688091a61bbaf8d8,227,32,13
outer3_inner4,544,272,272,0,0.0,72f16d16cd8d8aeb,227,32,13
outer4,680,340,340,0,0.0,ea668e0aff84a6cd,284,40,16
outer4_inner0,544,272,272,0,0.0,ae884769331cd8c7,227,32,13
outer4_inner1,544,272,272,0,0.0,7a0a762236e62d9e,227,32,13
outer4_inner2,544,272,272,0,0.0,55c8d2cddcb2f3d3,227,32,13
outer4_inner3,544,272,272,0,0.0,3e993967c4c7fc4d,227,32,13
outer4_inner4,544,272,272,0,0.0,005c70baa0756a39,228,32,12
