number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.23280649954012955,2026-09-19 16:45:18.394698,2026-09-19 16:45:19.086973,0 days 00:00:00.692275,0.005075359418213231,0.01043954168087604,"{'C': 0.005075359418213231, 'l1_ratio': 0.01043954168087604}",,COMPLETE
1,0.22648994898803423,2026-09-19 16:45:19.086973,2026-09-19 16:45:19.343469,0 days 00:00:00.256496,0.0074593432857265485,0.9507143064099162,,,COMPLETE
2,0.22397135530332593,2026-09-19 16:45:19.343469,2026-09-19 16:45:29.793491,0 days 00:00:10.450022,0.4570563099801455,0.5986584841970366,,,COMPLETE
3,0.21051158341251958,2026-09-19 16:45:29.793491,2026-09-19 16:45:29.995995,0 days 00:00:00.202504,0.0006026889128682511,0.15599452033620265,,,COMPLETE
4,0.09770114942528736,2026-09-19 16:45:29.995995,2026-09-19 16:45:30.035512,0 days 00:00:00.039517,0.00019517224641449495,0.8661761457749352,,,COMPLETE
5,0.2267353041122214,2026-09-19 16:45:30.035512,2026-09-19 16:45:32.577760,0 days 00:00:02.542248,0.10129197956845731,0.7080725777960455,,,COMPLETE
6,0.09770114942528736,2026-09-19 16:45:32.577760,2026-09-19 16:45:32.585791,0 days 00:00:00.008031,0.00012674255898937226,0.9699098521619943,,,PRUNED
7,0.22092896482694688,2026-09-19 16:45:32.585791,2026-09-19 16:45:54.519354,0 days 00:00:21.933563,1.452824663751602,0.21233911067827616,,,COMPLETE
8,0.22200820302880625,2026-09-19 16:45:54.519354,2026-09-19 16:45:54.556455,0 days 00:00:00.037101,0.0008111941985431928,0.18340450985343382,,,PRUNED
9,0.22731561939138253,2026-09-19 16:45:54.556455,2026-09-19 16:45:54.598924,0 days 00:00:00.042469,0.0033205591037519565,0.5247564316322378,,,PRUNED
10,0.23078092061629238,2026-09-19 16:45:54.598924,2026-09-19 16:45:55.815944,0 days 00:00:01.217020,0.024720782997502744,0.17102773421218476,,"{""C"": 0.024720782997502744, ""l1_ratio"": 0.17102773421218476}",COMPLETE
11,0.2472126259805061,2026-09-19 16:45:55.815944,2026-09-19 16:45:56.167974,0 days 00:00:00.352030,0.0439858802588136,0.07254133181697826,,"{""C"": 0.0439858802588136, ""l1_ratio"": 0.07254133181697826}",PRUNED
12,0.248701192324446,2026-09-19 16:45:56.167974,2026-09-19 16:45:56.548093,0 days 00:00:00.380119,0.037425032486462076,0.3538235887368425,,"{""C"": 0.037425032486462076, ""l1_ratio"": 0.3538235887368425}",PRUNED
13,0.24342944853552664,2026-09-19 16:45:56.548093,2026-09-19 16:45:57.749041,0 days 00:00:01.200948,0.011490645053383822,0.2502848833064473,,"{""C"": 0.011490645053383822, ""l1_ratio"": 0.2502848833064473}",PRUNED
14,0.24599209641777975,2026-09-19 16:45:57.749041,2026-09-19 16:45:57.822773,0 days 00:00:00.073732,0.0015587380260737027,0.014670017969031213,,"{""C"": 0.0015587380260737027, ""l1_ratio"": 0.014670017969031213}",PRUNED
15,0.22486172598073778,2026-09-19 16:45:57.822773,2026-09-19 16:46:05.190972,0 days 00:00:07.368199,0.26232268699213807,0.05105611612040371,,"{""C"": 0.26232268699213807, ""l1_ratio"": 0.05105611612040371}",COMPLETE
16,0.09770114942528736,2026-09-19 16:46:05.190972,2026-09-19 16:46:05.200979,0 days 00:00:00.010007,0.00011638142281027642,0.4651488443162874,,"{""C"": 0.00011638142281027642, ""l1_ratio"": 0.4651488443162874}",PRUNED
17,0.2184864758838292,2026-09-19 16:46:05.200979,2026-09-19 16:46:47.060347,0 days 00:00:41.859368,9.964711978123763,0.4072250699804971,,"{""C"": 9.964711978123763, ""l1_ratio"": 0.4072250699804971}",COMPLETE
18,0.09770114942528736,2026-09-19 16:46:47.060347,2026-09-19 16:46:47.084609,0 days 00:00:00.024262,0.0009213334125589552,0.4064476583615993,,"{""C"": 0.0009213334125589552, ""l1_ratio"": 0.4064476583615993}",PRUNED
19,0.2500744278562791,2026-09-19 16:46:47.084609,2026-09-19 16:46:47.257399,0 days 00:00:00.172790,0.010209282912782676,0.05561481834941656,,"{""C"": 0.010209282912782676, ""l1_ratio"": 0.05561481834941656}",PRUNED
20,0.2332586537252826,2026-09-19 16:46:47.257399,2026-09-19 16:46:47.309982,0 days 00:00:00.052583,0.004047323123146054,0.2921691670910411,,"{""C"": 0.004047323123146054, ""l1_ratio"": 0.2921691670910411}",PRUNED
