number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.2589932913757617,2026-09-19 17:23:07.082457,2026-09-19 17:23:09.947448,0 days 00:00:02.864991,0.5390090454315083,0.023902178662731973,1,997,0.9202492176282521,2.942080144851797,0.7932307973020875,"{'n_estimators': 997, 'learning_rate': 0.023902178662731973, 'max_depth': 1, 'subsample': 0.7932307973020875, 'colsample_bytree': 0.5390090454315083, 'reg_alpha': 0.9202492176282521, 'reg_lambda': 2.942080144851797}",,COMPLETE
1,0.1978414822189688,2026-09-19 17:23:09.947448,2026-09-19 17:23:14.874103,0 days 00:00:04.926655,0.5780093202212182,0.2536999076681772,9,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,,COMPLETE
2,0.2204206628931019,2026-09-19 17:23:14.874103,2026-09-19 17:23:28.619912,0 days 00:00:13.745809,0.9849549260809971,0.07725378389307355,9,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,,COMPLETE
3,0.236207323643501,2026-09-19 17:23:28.619912,2026-09-19 17:23:31.519787,0 days 00:00:02.899875,0.7159725093210578,0.018659959624904916,4,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,,COMPLETE
4,0.22662328803543969,2026-09-19 17:23:31.519787,2026-09-19 17:23:36.245155,0 days 00:00:04.725368,0.8925879806965068,0.027010527749605478,5,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,,COMPLETE
5,0.22919677210112618,2026-09-19 17:23:36.245155,2026-09-19 17:23:57.113967,0 days 00:00:20.868812,0.5325257964926398,0.011711509955524094,8,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,,COMPLETE
6,0.24594796555159298,2026-09-19 17:23:57.113967,2026-09-19 17:24:01.577303,0 days 00:00:04.463336,0.7200762468698007,0.028180680291847244,2,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,,COMPLETE
7,0.15915334617887025,2026-09-19 17:24:01.577303,2026-09-19 17:24:01.938156,0 days 00:00:00.360853,0.6558555380447055,0.22038218939289875,4,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,,PRUNED
8,0.16103301299459255,2026-09-19 17:24:01.938156,2026-09-19 17:24:02.816481,0 days 00:00:00.878325,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,,PRUNED
9,0.17625736040204662,2026-09-19 17:24:02.816481,2026-09-19 17:24:02.995230,0 days 00:00:00.178749,0.6943386448447411,0.01947558230629543,1,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,,PRUNED
10,0.17202029815694073,2026-09-19 17:24:02.995230,2026-09-19 17:24:09.485794,0 days 00:00:06.490564,0.5347932177377854,0.013773977335445541,11,1102,0.03773659658146622,0.7613488583538435,0.8737239523738184,,"{""colsample_bytree"": 0.5347932177377854, ""learning_rate"": 0.013773977335445541, ""max_depth"": 11, ""n_estimators"": 1102, ""reg_alpha"": 0.03773659658146622, ""reg_lambda"": 0.7613488583538435, ""subsample"": 0.8737239523738184}",PRUNED
11,0.1783052631811206,2026-09-19 17:24:09.485794,2026-09-19 17:24:10.941750,0 days 00:00:01.455956,0.6792386200490397,0.02016614247117489,4,947,1.963310311029193,3.2527496938518503,0.8395125620234415,,"{""colsample_bytree"": 0.6792386200490397, ""learning_rate"": 0.02016614247117489, ""max_depth"": 4, ""n_estimators"": 947, ""reg_alpha"": 1.963310311029193, ""reg_lambda"": 3.2527496938518503, ""subsample"": 0.8395125620234415}",PRUNED
12,0.25564470092626823,2026-09-19 17:24:10.941750,2026-09-19 17:24:13.406117,0 days 00:00:02.464367,0.5153805451132992,0.0224669566385069,1,973,1.531151548231564,3.229295350336759,0.9154764289141728,,"{""colsample_bytree"": 0.5153805451132992, ""learning_rate"": 0.0224669566385069, ""max_depth"": 1, ""n_estimators"": 973, ""reg_alpha"": 1.531151548231564, ""reg_lambda"": 3.229295350336759, ""subsample"": 0.9154764289141728}",COMPLETE
13,0.25273864896165454,2026-09-19 17:24:13.406117,2026-09-19 17:24:15.239171,0 days 00:00:01.833054,0.5480261186555178,0.019646926334495687,1,718,1.4545884379540288,4.086434567342245,0.8286823407201854,,"{""colsample_bytree"": 0.5480261186555178, ""learning_rate"": 0.019646926334495687, ""max_depth"": 1, ""n_estimators"": 718, ""reg_alpha"": 1.4545884379540288, ""reg_lambda"": 4.086434567342245, ""subsample"": 0.8286823407201854}",COMPLETE
14,0.24262603791315018,2026-09-19 17:24:15.239171,2026-09-19 17:24:17.966862,0 days 00:00:02.727691,0.5941990538952031,0.03460349038133047,2,758,1.042941625106714,2.4039700920348004,0.9335492647133242,,"{""colsample_bytree"": 0.5941990538952031, ""learning_rate"": 0.03460349038133047, ""max_depth"": 2, ""n_estimators"": 758, ""reg_alpha"": 1.042941625106714, ""reg_lambda"": 2.4039700920348004, ""subsample"": 0.9335492647133242}",COMPLETE
