number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.23294395212106442,2026-09-19 17:20:49.865988,2026-09-19 17:20:51.922685,0 days 00:00:02.056697,0.9790801399768877,0.019701118602783466,2,483,3.6912026372296363,1.719217927487555,0.8950923086598747,"{'n_estimators': 483, 'learning_rate': 0.019701118602783466, 'max_depth': 2, 'subsample': 0.8950923086598747, 'colsample_bytree': 0.9790801399768877, 'reg_alpha': 3.6912026372296363, 'reg_lambda': 1.719217927487555}",,COMPLETE
1,0.1983247079141467,2026-09-19 17:20:51.922685,2026-09-19 17:20:56.012410,0 days 00:00:04.089725,0.5780093202212182,0.2536999076681772,9,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,,COMPLETE
2,0.21037250294637394,2026-09-19 17:20:56.012410,2026-09-19 17:21:08.416435,0 days 00:00:12.404025,0.9849549260809971,0.07725378389307355,9,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,,COMPLETE
3,0.22224071229272538,2026-09-19 17:21:08.416435,2026-09-19 17:21:11.181223,0 days 00:00:02.764788,0.7159725093210578,0.018659959624904916,4,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,,COMPLETE
4,0.20551378455751887,2026-09-19 17:21:11.181223,2026-09-19 17:21:15.675513,0 days 00:00:04.494290,0.8925879806965068,0.027010527749605478,5,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,,COMPLETE
5,0.2209662270754727,2026-09-19 17:21:15.675513,2026-09-19 17:21:33.923749,0 days 00:00:18.248236,0.5325257964926398,0.011711509955524094,8,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,,COMPLETE
6,0.22274294383841653,2026-09-19 17:21:33.923749,2026-09-19 17:21:37.695149,0 days 00:00:03.771400,0.7200762468698007,0.028180680291847244,2,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,,COMPLETE
7,0.1834864466433324,2026-09-19 17:21:37.695149,2026-09-19 17:21:38.063320,0 days 00:00:00.368171,0.6558555380447055,0.22038218939289875,4,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,,PRUNED
8,0.20840636119984016,2026-09-19 17:21:38.063320,2026-09-19 17:21:38.819424,0 days 00:00:00.756104,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,,PRUNED
9,0.22706585206544855,2026-09-19 17:21:38.819424,2026-09-19 17:21:39.620909,0 days 00:00:00.801485,0.6943386448447411,0.01947558230629543,1,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,,COMPLETE
