technique,metric,model_a,model_b,difference,low,high,t,p_value,p_holm
class_weight,auc,dummy,lr_penalized,-0.1989674035219183,-0.2831717959985458,-0.11476301104529081,-6.560489985788799,0.0027922966110017922,0.027922966110017922
class_weight,auc,dummy,lr_scored,-0.17909928812289244,-0.2749682746312405,-0.08323030161454435,-5.1868634473351145,0.006575204344115216,0.04868080598832655
class_weight,auc,dummy,random_forest,-0.2061491195204197,-0.3141316285611584,-0.09816661047968099,-5.300503932700512,0.006085100748540819,0.04868080598832655
class_weight,auc,dummy,xgboost,-0.19368302735106785,-0.2849233567899018,-0.10244269791223386,-5.893778513911018,0.004144820904763918,0.03730338814287526
class_weight,auc,lr_penalized,lr_scored,0.019868115399025867,-0.005042403408606701,0.04477863420665844,2.214435282344599,0.09117488256578699,0.4558744128289349
class_weight,auc,lr_penalized,random_forest,-0.00718171599850137,-0.03883161398223384,0.024468181985231097,-0.6300064613544242,0.5628866917869428,1.0
class_weight,auc,lr_penalized,xgboost,0.005284376170850469,-0.01938794804980085,0.02995670039150179,0.5946655135676685,0.5840724998893484,1.0
class_weight,auc,lr_scored,random_forest,-0.027049831397527237,-0.05595896395121085,0.0018593011561563733,-2.5978770494281234,0.060182463287310174,0.36109477972386106
class_weight,auc,lr_scored,xgboost,-0.014583739228175397,-0.05038946101942611,0.021221982563075312,-1.1308514217814978,0.32132643523458837,0.9639793057037651
class_weight,auc,random_forest,xgboost,0.01246609216935184,-0.008674091814179323,0.033606276152883,1.6372336499769724,0.1769232473787925,0.70769298951517
ctgan,auc,dummy,lr_penalized,-0.08338553765455228,-0.148509710637335,-0.01826136467176956,-3.5549836145554603,0.02369237475226521,0.16584662326585647
ctgan,auc,dummy,lr_scored,-0.07169726489321843,-0.20805974821748133,0.06466521843104447,-1.4598114915191387,0.21811812727699553,0.7220204048672524
ctgan,auc,dummy,random_forest,-0.15504983139752715,-0.23754729084975634,-0.07255237194529797,-5.21818912126239,0.006435437835966746,0.05791894052370071
ctgan,auc,dummy,xgboost,-0.18359085799925062,-0.26087684716265414,-0.10630486883584711,-6.595373166194139,0.002737796843184357,0.02737796843184357
ctgan,auc,lr_penalized,lr_scored,0.011688272761333851,-0.13816476792501525,0.16154131344768297,0.21655781923268155,0.8391492137357921,0.8391492137357921
ctgan,auc,lr_penalized,random_forest,-0.07166429374297487,-0.15659234671672603,0.0132637592307763,-2.3428298496568147,0.07913305646766916,0.47479833880601496
ctgan,auc,lr_penalized,xgboost,-0.10020532034469835,-0.16697371688890567,-0.03343692380049103,-4.166860155187475,0.014066860249345432,0.11253488199476346
ctgan,auc,lr_scored,random_forest,-0.08335256650430872,-0.2956521504438132,0.12894701743519574,-1.090081388678117,0.33694589428051797,0.7220204048672524
ctgan,auc,lr_scored,xgboost,-0.11189359310603222,-0.303639681313596,0.0798524951015315,-1.6201969061603103,0.1805051012168131,0.7220204048672524
ctgan,auc,random_forest,xgboost,-0.028541026601723484,-0.06459678711233671,0.00751473390888974,-2.197779009053204,0.09288240543608706,0.47479833880601496
ctgan_level,auc,dummy,lr_penalized,-0.0921378793555639,-0.1730873719485317,-0.011188386762596106,-3.16018984116873,0.03417782947824762,0.17088914739123812
ctgan_level,auc,dummy,lr_scored,-0.0852903709254402,-0.15215396392866143,-0.01842677792221896,-3.5415989814521978,0.023978912387193418,0.1438734743231605
ctgan_level,auc,dummy,random_forest,-0.16954215061820904,-0.27477768139866743,-0.06430661983775063,-4.473056492589517,0.011048667418594242,0.11048667418594242
ctgan_level,auc,dummy,xgboost,-0.18582090670663168,-0.31418249707664464,-0.057459316336618715,-4.019282913072802,0.015873858465458343,0.1300654233715805
ctgan_level,auc,lr_penalized,lr_scored,0.006847508430123694,-0.05376995810104463,0.06746497496129202,0.3136345405303617,0.7694733144806518,0.7694733144806518
ctgan_level,auc,lr_penalized,random_forest,-0.07740427126264515,-0.17752194756952025,0.022713405044229945,-2.146561106850375,0.09836046281829051,0.29508138845487153
ctgan_level,auc,lr_penalized,xgboost,-0.09368302735106777,-0.19303726622948758,0.005671211527352019,-2.6179636185153177,0.05892514963817279,0.23570059855269115
ctgan_level,auc,lr_scored,random_forest,-0.08425177969276884,-0.1408420179682819,-0.027661541417255776,-4.133582901583393,0.014451713707953388,0.1300654233715805
ctgan_level,auc,lr_scored,xgboost,-0.10053053578119146,-0.1746047750834751,-0.026456296478907806,-3.768078033897483,0.01963708554196261,0.13745959879373826
ctgan_level,auc,random_forest,xgboost,-0.01627875608842262,-0.054816935291822355,0.022259423114977122,-1.1727869244124172,0.30595649178856776,0.6119129835771355
level_weight,auc,dummy,lr_penalized,-0.20125739977519666,-0.29009097270862294,-0.11242382684177041,-6.290190792049329,0.0032632259064043624,0.03263225906404362
level_weight,auc,dummy,lr_scored,-0.17915324091420007,-0.27481219819997516,-0.08349428362842497,-5.199817695383961,0.006516961125052439,0.051098773782019255
level_weight,auc,dummy,random_forest,-0.20734207568377672,-0.3174312403713908,-0.09725291099616262,-5.22916031534337,0.006387346722752407,0.051098773782019255
level_weight,auc,dummy,xgboost,-0.20139527913076058,-0.29995161822318284,-0.10283894003833831,-5.673535990700532,0.004761527154044223,0.04285374438639801
level_weight,auc,lr_penalized,lr_scored,0.022104158860996592,0.004630551162517992,0.03957776655947519,3.5122102277408858,0.024622667428489883,0.1477360045709393
level_weight,auc,lr_penalized,random_forest,-0.006084675908580061,-0.040250714980857694,0.028081363163697567,-0.4944608477252394,0.6469058819091553,1.0
level_weight,auc,lr_penalized,xgboost,-0.00013787935556390795,-0.03432788544119918,0.034052126730071366,-0.011196677207497648,0.9916027114118371,1.0
level_weight,auc,lr_scored,random_forest,-0.028188834769576655,-0.06441287461556663,0.008035205076413317,-2.160574928969013,0.0968266981934914,0.48413349096745706
level_weight,auc,lr_scored,xgboost,-0.0222420382165605,-0.060272169703594336,0.015788093270473338,-1.623812375117511,0.17973871946629158,0.7189548778651663
level_weight,auc,random_forest,xgboost,0.0059467965530161536,-0.009252211072193366,0.02114580417822567,1.0863179089300052,0.33842194442530144,1.0
none,auc,dummy,lr_penalized,-0.2003641813413264,-0.2910134219943498,-0.10971494068830295,-6.136842918204129,0.0035739917194099677,0.03573991719409968
none,auc,dummy,lr_scored,-0.1792071937055077,-0.2756210985164334,-0.08279328889458198,-5.160655371812156,0.006694993091469698,0.06025493782322728
none,auc,dummy,random_forest,-0.20782465342825027,-0.326197958590953,-0.08945134826554751,-4.87452589886879,0.008192887121383854,0.06025493782322728
none,auc,dummy,xgboost,-0.1976635443986512,-0.30588716843390645,-0.08943992036339593,-5.070999841429283,0.00712543189478403,0.06025493782322728
none,auc,lr_penalized,lr_scored,0.02115698763581868,-0.0032315910576309267,0.04554556632926829,2.408554245843608,0.07367006960056344,0.4420204176033806
none,auc,lr_penalized,random_forest,-0.007460472086923931,-0.04870551858071102,0.03378457440686316,-0.5022079732974696,0.6419077969403844,1.0
none,auc,lr_penalized,xgboost,0.002700636942675172,-0.03259192204079985,0.0379931959261502,0.21245753882334434,0.8421377334371224,1.0
none,auc,lr_scored,random_forest,-0.02861745972274261,-0.0655986917058286,0.008363772260343388,-2.148517010107823,0.09814478362529054,0.4907239181264527
none,auc,lr_scored,xgboost,-0.018456350693143508,-0.054176599569011455,0.017263898182724443,-1.434565719848923,0.22472648957220587,0.6741794687166176
none,auc,random_forest,xgboost,0.010161109029599102,-0.0032681415071705716,0.023590359566368777,2.100769611183209,0.10356327772113061,0.4907239181264527
oversampling,auc,dummy,lr_penalized,-0.1894567253653054,-0.27027078576424046,-0.10864266496637032,-6.5089688006103,0.0028752568814893937,0.028752568814893936
oversampling,auc,dummy,lr_scored,-0.17842787560884227,-0.27332095689309527,-0.08353479432458927,-5.220561869848556,0.006424999767798693,0.04559086495398379
oversampling,auc,dummy,random_forest,-0.201632071937055,-0.30383547755414025,-0.09942866631996979,-5.477511985050146,0.005407459212632683,0.04559086495398379
oversampling,auc,dummy,xgboost,-0.19133308355189207,-0.28657869444735373,-0.09608747265643039,-5.57743079492772,0.0050656516615537545,0.04559086495398379
oversampling,auc,lr_penalized,lr_scored,0.011028849756463122,-0.015117332516839572,0.03717503202976581,1.171145967017921,0.30654488054986906,1.0
oversampling,auc,lr_penalized,random_forest,-0.012175346571749656,-0.04118910814477489,0.016838415001275572,-1.1651085402400772,0.30871876355369365,1.0
oversampling,auc,lr_penalized,xgboost,-0.0018763581865866908,-0.03930901053460917,0.035556294161435784,-0.13917275896752326,0.8960394948591218,1.0
oversampling,auc,lr_scored,random_forest,-0.02320419632821278,-0.045653001108716174,-0.0007553915477093824,-2.869871155522174,0.04547451388457108,0.27284708330742646
oversampling,auc,lr_scored,xgboost,-0.012905207943049812,-0.048492200863970776,0.02268178497787115,-1.006845436608277,0.37097209871402437,1.0
oversampling,auc,random_forest,xgboost,0.010298988385162966,-0.010039751812411249,0.03063772858273718,1.4059167683298837,0.2324688108939677,1.0
smote_nc,auc,dummy,lr_penalized,-0.185386286998876,-0.2761807264749898,-0.09459184752276219,-5.669012905181641,0.004775330187979671,0.03820264150383737
smote_nc,auc,dummy,lr_scored,-0.16957961783439487,-0.24977795534576464,-0.08938128032302513,-5.870801247106507,0.004204388538123809,0.03783949684311429
smote_nc,auc,dummy,random_forest,-0.1701925814911952,-0.24546031942762925,-0.09492484355476118,-6.2779933710944285,0.0032866958504404998,0.032866958504405
smote_nc,auc,dummy,xgboost,-0.190074185088048,-0.29399448524549066,-0.08615388493060533,-5.078223792778131,0.007089522512408042,0.0496266575868563
smote_nc,auc,lr_penalized,lr_scored,0.0158066691644811,-0.002937099349492194,0.03455043767845439,2.3413834415681993,0.07925832896832899,0.47554997380997394
smote_nc,auc,lr_penalized,random_forest,0.015193705507680778,-0.030101987693555075,0.060489398708916634,0.9313134716628221,0.40441113331448997,1.0
smote_nc,auc,lr_penalized,xgboost,-0.004687898089172004,-0.056716245322162066,0.047340449143818054,-0.25016538859213905,0.814782688970057,1.0
smote_nc,auc,lr_scored,random_forest,-0.000612963656800325,-0.04099674536755304,0.03977081805395239,-0.04214216382152887,0.9684050658847803,1.0
smote_nc,auc,lr_scored,xgboost,-0.020494567253653107,-0.07418450540696227,0.033195370899656046,-1.059826904103912,0.34897761097188906,1.0
smote_nc,auc,random_forest,xgboost,-0.01988160359685278,-0.05784978338793813,0.018086576194232568,-1.4538537610624502,0.21965981158782158,1.0
smote_nc_level,auc,dummy,lr_penalized,-0.1847748220307231,-0.2651706795949498,-0.10437896446649643,-6.381139100122854,0.0030945705951891905,0.030945705951891906
smote_nc_level,auc,dummy,lr_scored,-0.16742150618209067,-0.24438111131384796,-0.09046190105033339,-6.0400078787864455,0.0037890570145363805,0.034101513130827425
smote_nc_level,auc,dummy,random_forest,-0.17511727238666167,-0.26554092335194013,-0.08469362142138319,-5.376950483233987,0.00578039738889514,0.04046278172226598
smote_nc_level,auc,dummy,xgboost,-0.18876732858748593,-0.28227459508907665,-0.0952600620858952,-5.604934729527923,0.004976245054437044,0.03980996043549635
smote_nc_level,auc,lr_penalized,lr_scored,0.017353315848632443,-0.008641161627944621,0.04334779332520951,1.8534909536189383,0.1374325071138231,0.7800739852891532
smote_nc_level,auc,lr_penalized,random_forest,0.009657549644061448,-0.025536560922621635,0.044851660210744534,0.7618790759509224,0.4885788570869689,1.0
smote_nc_level,auc,lr_penalized,xgboost,-0.003992506556762821,-0.05324975352872903,0.04526474041520338,-0.22504252609373449,0.8329755427617901,1.0
smote_nc_level,auc,lr_scored,random_forest,-0.007695766204570997,-0.050495255546596396,0.0351037231374544,-0.4992319473411876,0.6438251031439175,1.0
