model,metric,technique,confirmatory,difference,low,high,t,p_value,p_holm
dummy,auc,class_weight,True,0.0,0.0,0.0,,,
dummy,auc,ctgan,False,0.0,0.0,0.0,,,
dummy,auc,ctgan_level,False,0.0,0.0,0.0,,,
dummy,auc,level_weight,True,0.0,0.0,0.0,,,
dummy,auc,oversampling,True,0.0,0.0,0.0,,,
dummy,auc,smote_nc,True,0.0,0.0,0.0,,,
dummy,auc,smote_nc_level,True,0.0,0.0,0.0,,,
dummy,auc,undersampling,True,0.0,0.0,0.0,,,
lr_penalized,auc,class_weight,True,-0.0013967778194080571,-0.008950573246727647,0.006157017607911533,-0.5133944885134989,0.6347310844078993,1.0
lr_penalized,auc,ctgan,False,-0.11697864368677409,-0.1795835457874374,-0.05437374158611076,-5.187849062595682,0.006570750673856701,
lr_penalized,auc,ctgan_level,False,-0.10822630198576247,-0.1807038137501235,-0.03574879022140143,-4.1458982115578635,0.014307824558705856,
lr_penalized,auc,level_weight,True,0.0008932184338702909,-0.0036494309084198536,0.005435867776160435,0.5459307469551123,0.6141333378730085,1.0
lr_penalized,auc,oversampling,True,-0.010907455976020986,-0.02359150948536809,0.0017765975333261172,-2.38756110043742,0.07536719612814416,0.45220317676886496
lr_penalized,auc,smote_nc,True,-0.014977894342450383,-0.03378843631612351,0.0038326476312227457,-2.2107444586906677,0.0915502031979489,0.45775101598974455
lr_penalized,auc,smote_nc_level,True,-0.015589359310603257,-0.037310738629643535,0.006132020008437019,-1.99264511315603,0.1170961492021784,0.4683845968087136
lr_penalized,auc,undersampling,True,0.0008542525290369917,-0.03393363088744064,0.03564213594551463,0.06817848687293725,0.9489155923863258,1.0
lr_scored,auc,class_weight,True,-0.00010790558261524197,-0.00317639551294291,0.0029605843477124266,-0.09763562321471024,0.9269183465712841,1.0
lr_scored,auc,ctgan,False,-0.10750992881228924,-0.3064877983810396,0.09146794075646114,-1.5001437911561728,0.20796466493409588,
lr_scored,auc,ctgan_level,False,-0.09391682278006748,-0.13060621075217854,-0.057227434807956425,-7.10709328543873,0.0020707679590036073,
lr_scored,auc,level_weight,True,-5.3952791307620986e-05,-0.004879377853613577,0.004771472270998335,-0.031043267982327327,0.9767222221929404,1.0
lr_scored,auc,oversampling,True,-0.0007793180966654267,-0.007169112913720396,0.005610476720389543,-0.3386233794399115,0.7519222493841556,1.0
lr_scored,auc,smote_nc,True,-0.009627575871112803,-0.03216444202319561,0.012909290280970001,-1.1860759930812812,0.30123017255496287,1.0
lr_scored,auc,smote_nc_level,True,-0.011785687523417021,-0.03607657659292227,0.01250520154608823,-1.3471023782682965,0.2492025288683932,1.0
lr_scored,auc,undersampling,True,-0.0016455601348820182,-0.006229987300138851,0.0029388670303748137,-0.9965928603744856,0.3753662297553419,1.0
random_forest,auc,class_weight,True,-0.0016755339078306174,-0.018730025818310948,0.015378958002649714,-0.2727743483305113,0.7985297606591532,1.0
random_forest,auc,ctgan,False,-0.052774822030723145,-0.13127434904174612,0.025724704980299842,-1.866589543709105,0.13536412951736668,
random_forest,auc,ctgan_level,False,-0.03828250281004124,-0.07118426290208388,-0.005380742717998599,-3.2305039987014568,0.031960260260801954,
random_forest,auc,level_weight,True,-0.00048257774447357793,-0.017666835657542616,0.01670168016859546,-0.077969652416708,0.9415967049266951,1.0
random_forest,auc,oversampling,True,-0.006192581491195259,-0.028586531675507322,0.016201368693116808,-0.7677681886517826,0.4854389030160349,1.0
random_forest,auc,smote_nc,True,-0.03763207193705509,-0.09102243758946355,0.015758293715353373,-1.9569707128120137,0.12197766122405755,0.6098883061202878
random_forest,auc,smote_nc_level,True,-0.032707381041588636,-0.06721608036144593,0.0018013182782686543,-2.6315175531551565,0.05809379632808931,0.34856277796853585
random_forest,auc,undersampling,True,-0.003150243536905206,-0.04248864344618177,0.03618815637237136,-0.2223394512332185,0.8349408095390944,1.0
xgboost,auc,class_weight,True,-0.003980517047583354,-0.026785208602576365,0.01882417450740966,-0.4846233962984448,0.6532850963277345,1.0
xgboost,auc,ctgan,False,-0.014072686399400559,-0.06605171779295975,0.037906344994158625,-0.7516885217572701,0.4940486622953243,
xgboost,auc,ctgan_level,False,-0.01184263769201952,-0.054184762052557456,0.030499486668518414,-0.7765418941351567,0.48078956278080487,
xgboost,auc,level_weight,True,0.003731734732109371,-0.01002159491688458,0.017485064381103324,0.7533416921784871,0.4931581851949226,1.0
xgboost,auc,oversampling,True,-0.0063304608467591224,-0.02200829279886001,0.009347371105341765,-1.1210846681690174,0.3250067805416342,1.0
xgboost,auc,smote_nc,True,-0.007589359310603205,-0.02234975851370454,0.007171039892498133,-1.427565692470174,0.22659412315361954,1.0
