technique,model,threshold,band_2_from,band_3_from,band_4_from
none,lr_scored,0.0502852648657892,0.18411909913168584,0.34073167845603564,0.4287333835468354
none,lr_penalized,0.0479707257418685,0.1857641487862163,0.3786176113537689,0.5566777374579833
none,random_forest,0.0581256463703772,0.17493896702151185,0.27367770979796874,0.32260779535165135
none,xgboost,0.0418949387967586,0.2038427228215096,0.39937236650236396,0.5348759986614358
class_weight,lr_scored,0.3287734956170278,0.6728199270953437,0.8207546432453159,0.8661354546818572
class_weight,lr_penalized,0.328343922574786,0.6634541288609338,0.8374641208302166,0.9171035328279151
class_weight,random_forest,0.2517546784675573,0.5528332019266927,0.6635951216801762,0.7150025223637838
class_weight,xgboost,0.2517598569393158,0.6657220594499302,0.8212558312936759,0.8771543889621187
level_weight,lr_scored,0.3203027335132296,0.672565817976268,0.823470979392985,0.8715632705377936
level_weight,lr_penalized,0.3279329075391393,0.6415766100836153,0.801790164414271,0.8969499943518816
level_weight,random_forest,0.2538833662796655,0.5505329041213871,0.6660362306726622,0.7039128529359795
level_weight,xgboost,0.2721520364284515,0.6484394302998466,0.8044578539503026,0.86289093079238
undersampling,lr_scored,0.3382482739197792,0.6723818087959142,0.8258595561818545,0.8697756545789234
undersampling,lr_penalized,0.3385293858418022,0.655722574257885,0.8180648678311645,0.9190740136548674
undersampling,random_forest,0.3747977709855539,0.6305752985795866,0.7240597218110952,0.7618747412963004
undersampling,xgboost,0.2884023487567901,0.7246277147325976,0.8711694731383487,0.9207485074832514
oversampling,lr_scored,0.3295180388278747,0.6721650441906425,0.8162821781197408,0.8611778179254344
oversampling,lr_penalized,0.3282542776097698,0.6500544037572183,0.8313018293394907,0.9183421681493451
oversampling,random_forest,0.187836502077092,0.5043514666977928,0.6206892407061227,0.6735591607590263
oversampling,xgboost,0.2642433643341064,0.6501537475777768,0.7983003935868687,0.8677154076510458
smote_nc,lr_scored,0.3278071144760455,0.6726334494954219,0.8115359049800793,0.8663549642181799
smote_nc,lr_penalized,0.3337678264889846,0.6446929660723708,0.7788441826397969,0.8503228264292264
smote_nc,random_forest,0.1287380679329327,0.40587007667896596,0.7227971901699607,0.8728723813360129
smote_nc,xgboost,0.0204274430871009,0.25346940242010957,0.6073153118977579,0.7681889744051559
smote_nc_level,lr_scored,0.3269172191391758,0.6716261372705883,0.8078576938551663,0.8640348198344132
smote_nc_level,lr_penalized,0.3526902894038139,0.6391602261324879,0.7788560928642173,0.842439389263092
smote_nc_level,random_forest,0.117857526528479,0.3856331432697793,0.7037842069580721,0.8710857263228633
smote_nc_level,xgboost,0.0238293670117855,0.2731291471884168,0.5934866466741432,0.7684786171337636
ctgan,lr_scored,0.2633445222459407,0.642908550644841,0.7898536443839775,0.8585541990267828
ctgan,lr_penalized,0.101985498909271,0.4402488241340103,0.6207570877133686,0.7550852511399208
ctgan,random_forest,0.0739899884274392,0.3803671937310873,0.6069846244012991,0.7157730708833313
ctgan,xgboost,0.0165791232138872,0.2360888555132109,0.5063852679592425,0.6655051117929908
ctgan_level,lr_scored,0.245801081605465,0.6386369291335564,0.792844525592299,0.8454830251884041
ctgan_level,lr_penalized,0.0910580688953762,0.4021677224769526,0.6014853763666925,0.8206869926981217
ctgan_level,random_forest,0.0644146326904059,0.3759290547405866,0.6400354572260468,0.7266887670876696
ctgan_level,xgboost,0.0117579186335206,0.2337010134568158,0.4990157238436841,0.6676334530731697
