technique,model,fold,n,prevalence,auc,pr_auc
class_weight,dummy,outer0,870,0.09770114942528736,0.5,0.09770114942528736
class_weight,dummy,outer1,870,0.09770114942528736,0.5,0.09770114942528736
class_weight,dummy,outer2,870,0.09770114942528736,0.5,0.09770114942528736
class_weight,dummy,outer3,870,0.09770114942528736,0.5,0.09770114942528736
class_weight,dummy,outer4,870,0.09770114942528736,0.5,0.09770114942528736
class_weight,lr_penalized,outer0,870,0.09770114942528736,0.6578343949044586,0.19247775512445015
class_weight,lr_penalized,outer1,870,0.09770114942528736,0.6807493443237167,0.2342689455213488
class_weight,lr_penalized,outer2,870,0.09770114942528736,0.6624203821656051,0.20603688153066116
class_weight,lr_penalized,outer3,870,0.09770114942528736,0.7573623079805171,0.36118723740482467
class_weight,lr_penalized,outer4,870,0.09770114942528736,0.7364705882352941,0.25667059378516344
class_weight,lr_scored,outer0,870,0.09770114942528736,0.632349194454852,0.14905224611072632
class_weight,lr_scored,outer1,870,0.09770114942528736,0.6448107905582614,0.19407920529681255
class_weight,lr_scored,outer2,870,0.09770114942528736,0.6481153990258524,0.22912123123259617
class_weight,lr_scored,outer3,870,0.09770114942528736,0.7340502060696891,0.3529704492340651
class_weight,lr_scored,outer4,870,0.09770114942528736,0.7361708505058073,0.28430671181694045
class_weight,random_forest,outer0,870,0.09770114942528736,0.6472836268265267,0.19144399887922353
class_weight,random_forest,outer1,870,0.09770114942528736,0.6927838141626078,0.22252273537951722
class_weight,random_forest,outer2,870,0.09770114942528736,0.6569651554889473,0.21065495206035237
class_weight,random_forest,outer3,870,0.09770114942528736,0.7644211315099289,0.3194359922285735
class_weight,random_forest,outer4,870,0.09770114942528736,0.7692918696140877,0.2904999944675713
class_weight,xgboost,outer0,870,0.09770114942528736,0.6450655676283252,0.18899802832854914
class_weight,xgboost,outer1,870,0.09770114942528736,0.69216935181716,0.2391380290731796
class_weight,xgboost,outer2,870,0.09770114942528736,0.6450955414012739,0.21818826268798233
class_weight,xgboost,outer3,870,0.09770114942528736,0.7430498313975272,0.30991149079128083
class_weight,xgboost,outer4,870,0.09770114942528736,0.7430348445110528,0.2812616120946076
ctgan,dummy,outer0,870,0.09770114942528736,0.5,0.09770114942528736
ctgan,dummy,outer1,870,0.09770114942528736,0.5,0.09770114942528736
ctgan,dummy,outer2,870,0.09770114942528736,0.5,0.09770114942528736
ctgan,dummy,outer3,870,0.09770114942528736,0.5,0.09770114942528736
ctgan,dummy,outer4,870,0.09770114942528736,0.5,0.09770114942528736
ctgan,lr_penalized,outer0,870,0.09770114942528736,0.5931360059947546,0.15098158182263716
ctgan,lr_penalized,outer1,870,0.09770114942528736,0.5402472836268265,0.13105022464699476
ctgan,lr_penalized,outer2,870,0.09770114942528736,0.5585312851255152,0.13365191203724736
ctgan,lr_penalized,outer3,870,0.09770114942528736,0.6301236418134133,0.22193700615673434
ctgan,lr_penalized,outer4,870,0.09770114942528736,0.5948894717122518,0.1507531895979364
ctgan,lr_scored,outer0,870,0.09770114942528736,0.6164331210191083,0.15960090180836728
ctgan,lr_scored,outer1,870,0.09770114942528736,0.6240689396777819,0.1704849404149299
ctgan,lr_scored,outer2,870,0.09770114942528736,0.5351592356687898,0.10612131257520234
ctgan,lr_scored,outer3,870,0.09770114942528736,0.6236568002997378,0.20425416098116295
ctgan,lr_scored,outer4,870,0.09770114942528736,0.4591682278006744,0.10843474412632283
ctgan,random_forest,outer0,870,0.09770114942528736,0.6132933683027351,0.13451441120000346
ctgan,random_forest,outer1,870,0.09770114942528736,0.615076807793181,0.1372997359788401
ctgan,random_forest,outer2,870,0.09770114942528736,0.6633345822405395,0.18418221480398173
ctgan,random_forest,outer3,870,0.09770114942528736,0.6622705133008617,0.1492811926863295
ctgan,random_forest,outer4,870,0.09770114942528736,0.7212738853503184,0.23991434305165477
ctgan,xgboost,outer0,870,0.09770114942528736,0.636553016110903,0.18853751936264052
ctgan,xgboost,outer1,870,0.09770114942528736,0.6518396403147246,0.1944262028441392
ctgan,xgboost,outer2,870,0.09770114942528736,0.67785687523417,0.18186215113253473
ctgan,xgboost,outer3,870,0.09770114942528736,0.7202847508430124,0.26960968889953796
ctgan,xgboost,outer4,870,0.09770114942528736,0.7314200074934432,0.2767166792131527
ctgan_level,dummy,outer0,870,0.09770114942528736,0.5,0.09770114942528736
ctgan_level,dummy,outer1,870,0.09770114942528736,0.5,0.09770114942528736
ctgan_level,dummy,outer2,870,0.09770114942528736,0.5,0.09770114942528736
ctgan_level,dummy,outer3,870,0.09770114942528736,0.5,0.09770114942528736
ctgan_level,dummy,outer4,870,0.09770114942528736,0.5,0.09770114942528736
ctgan_level,lr_penalized,outer0,870,0.09770114942528736,0.6140127388535032,0.18075300021048643
ctgan_level,lr_penalized,outer1,870,0.09770114942528736,0.5699063319595356,0.14773542245687288
ctgan_level,lr_penalized,outer2,870,0.09770114942528736,0.5267440989134508,0.13864303124488958
ctgan_level,lr_penalized,outer3,870,0.09770114942528736,0.6164855751217684,0.23476896566009853
ctgan_level,lr_penalized,outer4,870,0.09770114942528736,0.6335406519295617,0.1950684536651589
ctgan_level,lr_scored,outer0,870,0.09770114942528736,0.5546421880854253,0.11984367737180915
ctgan_level,lr_scored,outer1,870,0.09770114942528736,0.5725440239790183,0.1301948085177121
ctgan_level,lr_scored,outer2,870,0.09770114942528736,0.5521393780442112,0.12926960166738594
ctgan_level,lr_scored,outer3,870,0.09770114942528736,0.6270887973023604,0.20407654166288275
ctgan_level,lr_scored,outer4,870,0.09770114942528736,0.6200374672161858,0.14663248986851485
ctgan_level,random_forest,outer0,870,0.09770114942528736,0.5977070063694268,0.12912620093213223
ctgan_level,random_forest,outer1,870,0.09770114942528736,0.6686549269389284,0.16333996701717285
ctgan_level,random_forest,outer2,870,0.09770114942528736,0.637542150618209,0.1511452758591434
ctgan_level,random_forest,outer3,870,0.09770114942528736,0.698433870363432,0.19385882571534477
ctgan_level,random_forest,outer4,870,0.09770114942528736,0.7453727988010492,0.22272824742517
ctgan_level,xgboost,outer0,870,0.09770114942528736,0.6227201198950918,0.17815064958987248
ctgan_level,xgboost,outer1,870,0.09770114942528736,0.6636193330835518,0.21315577655749968
ctgan_level,xgboost,outer2,870,0.09770114942528736,0.634275009366804,0.17310415565004847
ctgan_level,xgboost,outer3,870,0.09770114942528736,0.7188609966279506,0.2705279680105311
ctgan_level,xgboost,outer4,870,0.09770114942528736,0.7896290745597602,0.28778427650155114
level_weight,dummy,outer0,870,0.09770114942528736,0.5,0.09770114942528736
level_weight,dummy,outer1,870,0.09770114942528736,0.5,0.09770114942528736
level_weight,dummy,outer2,870,0.09770114942528736,0.5,0.09770114942528736
level_weight,dummy,outer3,870,0.09770114942528736,0.5,0.09770114942528736
level_weight,dummy,outer4,870,0.09770114942528736,0.5,0.09770114942528736
level_weight,lr_penalized,outer0,870,0.09770114942528736,0.6595878606219558,0.18700735300974836
level_weight,lr_penalized,outer1,870,0.09770114942528736,0.6768227800674409,0.22577824716237588
level_weight,lr_penalized,outer2,870,0.09770114942528736,0.664743349569127,0.20969318848098417
level_weight,lr_penalized,outer3,870,0.09770114942528736,0.7617234919445485,0.3821737116641276
level_weight,lr_penalized,outer4,870,0.09770114942528736,0.7434095166729111,0.2684116679771873
level_weight,lr_scored,outer0,870,0.09770114942528736,0.6312251779692768,0.1488627884399837
level_weight,lr_scored,outer1,870,0.09770114942528736,0.6452154364930686,0.19421344686408787
level_weight,lr_scored,outer2,870,0.09770114942528736,0.6494792056950169,0.229793927092311
level_weight,lr_scored,outer3,870,0.09770114942528736,0.7358336455601349,0.34454531061993576
level_weight,lr_scored,outer4,870,0.09770114942528736,0.7340127388535032,0.2869501668883439
level_weight,random_forest,outer0,870,0.09770114942528736,0.640539527913076,0.17509642128748965
level_weight,random_forest,outer1,870,0.09770114942528736,0.7016260771824653,0.2323677851742434
level_weight,random_forest,outer2,870,0.09770114942528736,0.6597976770325965,0.22050503071727723
level_weight,random_forest,outer3,870,0.09770114942528736,0.7698164106406895,0.3319184504483901
level_weight,random_forest,outer4,870,0.09770114942528736,0.7649306856500563,0.2905902458768229
level_weight,xgboost,outer0,870,0.09770114942528736,0.6416035968527538,0.18849038626725537
level_weight,xgboost,outer1,870,0.09770114942528736,0.7022705133008617,0.26512353777736286
level_weight,xgboost,outer2,870,0.09770114942528736,0.6554514799550393,0.2344220977928344
level_weight,xgboost,outer3,870,0.09770114942528736,0.7509928812289247,0.32037859393749557
level_weight,xgboost,outer4,870,0.09770114942528736,0.7566579243162234,0.2935605051637836
none,dummy,outer0,870,0.09770114942528736,0.5,0.09770114942528736
none,dummy,outer1,870,0.09770114942528736,0.5,0.09770114942528736
none,dummy,outer2,870,0.09770114942528736,0.5,0.09770114942528736
none,dummy,outer3,870,0.09770114942528736,0.5,0.09770114942528736
none,dummy,outer4,870,0.09770114942528736,0.5,0.09770114942528736
none,lr_penalized,outer0,870,0.09770114942528736,0.6586886474334956,0.18983217254823226
none,lr_penalized,outer1,870,0.09770114942528736,0.6783814162607719,0.23133630318313095
none,lr_penalized,outer2,870,0.09770114942528736,0.6598426376920196,0.20782824159626873
none,lr_penalized,outer3,870,0.09770114942528736,0.7621131509928812,0.3756802620081798
none,lr_penalized,outer4,870,0.09770114942528736,0.7427950543274635,0.27122717828321286
none,lr_scored,outer0,870,0.09770114942528736,0.6316897714499813,0.1491087882467343
none,lr_scored,outer1,870,0.09770114942528736,0.6432971150243537,0.19547881221545668
none,lr_scored,outer2,870,0.09770114942528736,0.6502135631322592,0.22329144582764315
none,lr_scored,outer3,870,0.09770114942528736,0.7330161109029599,0.3551481544064318
none,lr_scored,outer4,870,0.09770114942528736,0.7378194080179843,0.2907280375550259
none,random_forest,outer0,870,0.09770114942528736,0.6339003372049457,0.19192837480229286
none,random_forest,outer1,870,0.09770114942528736,0.693907830648183,0.23571871146084344
none,random_forest,outer2,870,0.09770114942528736,0.6647433495691271,0.20419618374674878
none,random_forest,outer3,870,0.09770114942528736,0.7672536530535781,0.3426106731391318
none,random_forest,outer4,870,0.09770114942528736,0.7793180966654177,0.33071228789164353
none,xgboost,outer0,870,0.09770114942528736,0.6324915698763581,0.19085656409921237
none,xgboost,outer1,870,0.09770114942528736,0.6903559385537654,0.2731974238350321
none,xgboost,outer2,870,0.09770114942528736,0.6517647058823529,0.21511542128359035
none,xgboost,outer3,870,0.09770114942528736,0.7500936680404646,0.3239803713637662
none,xgboost,outer4,870,0.09770114942528736,0.7636118396403149,0.2934372923565986
