technique,model,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high,severe_sensitivity
none,dummy,0.5,,,,0.0,0.0,0.00895775989396656,1.0,0.9990222413245844,1.0,0.0,0.0,0.000882314814865731,0.0
none,lr_scored,0.5,0.7142857142857143,0.3589344518326193,0.9177810759959432,0.011764705882352941,0.005035361294580279,0.027241039543057656,0.9994904458598726,0.9981438787343372,0.9998602507519546,0.0016091954022988506,0.0007797201150352754,0.003318145870541232,0.028169014084507043
none,lr_penalized,0.5,0.4666666666666667,0.30232388907699753,0.638577003801267,0.03294117647058824,0.01972201532979223,0.054527939206454185,0.9959235668789809,0.9933881509593665,0.9974891956588774,0.006896551724137931,0.004835176167963124,0.00982807223566308,0.07042253521126761
none,random_forest,0.5,,,,0.0,0.0,0.00895775989396656,1.0,0.9990222413245844,1.0,0.0,0.0,0.000882314814865731,0.0
none,xgboost,0.5,0.5555555555555556,0.3731302451322449,0.7241414182297701,0.03529411764705882,0.021503400325977643,0.057410282399003046,0.9969426751592356,0.9946633873527471,0.998250182942082,0.006206896551724138,0.00426933859349853,0.009015816451251626,0.11267605633802817
class_weight,dummy,0.5,,,,0.0,0.0,0.00895775989396656,1.0,0.9990222413245844,1.0,0.0,0.0,0.000882314814865731,0.0
class_weight,lr_scored,0.5,0.17258522727272727,0.15374451458491534,0.1932076561140928,0.571764705882353,0.5242846984992521,0.6179590112571433,0.7031847133757961,0.6886992244390289,0.7172728710801335,0.3236781609195402,0.30993508933647274,0.33773237524421784,0.676056338028169
class_weight,lr_penalized,0.5,0.1760299625468165,0.15653823318502014,0.19738078814411691,0.5529411764705883,0.5054078479178093,0.5995260363287119,0.7197452229299363,0.7054850150833184,0.7335757151803525,0.30689655172413793,0.29336630398090535,0.32076755553380143,0.6619718309859155
class_weight,random_forest,0.5,0.22531645569620254,0.19755233110623938,0.25573900915112546,0.4188235294117647,0.3728501479978571,0.46625122949081044,0.8440764331210191,0.8323911161958077,0.8550889026112503,0.18160919540229886,0.17043520553115044,0.19334502712107438,0.5352112676056338
class_weight,xgboost,0.5,0.18262987012987014,0.1620529894789481,0.20517976160044518,0.5294117647058824,0.48190678914538976,0.5763898132137887,0.7434394904458599,0.7295430751987191,0.7568598555455563,0.2832183908045977,0.27002490975597976,0.2967944111039827,0.676056338028169
level_weight,dummy,0.5,,,,0.0,0.0,0.00895775989396656,1.0,0.9990222413245844,1.0,0.0,0.0,0.000882314814865731,0.0
level_weight,lr_scored,0.5,0.17694566813509544,0.15759520125823986,0.19811332968662052,0.5670588235294117,0.5195590991217153,0.6133571542572115,0.7143949044585988,0.7000593881527459,0.728311167808853,0.31310344827586206,0.299492052963993,0.32704464678059825,0.647887323943662
level_weight,lr_penalized,0.5,0.18253343823760818,0.1622640763624515,0.20471603366117136,0.5458823529411765,0.4983465038701203,0.5925961958101981,0.7352866242038216,0.7212593219133717,0.7488538194182225,0.292183908045977,0.2788577399400509,0.30587679458530015,0.676056338028169
level_weight,random_forest,0.5,0.24217687074829933,0.21259795618864769,0.27443678519559606,0.4188235294117647,0.3728501479978571,0.46625122949081044,0.8580891719745223,0.8468217966797696,0.8686562976803339,0.16896551724137931,0.15812311692311373,0.18039207081638356,0.5352112676056338
level_weight,xgboost,0.5,0.19482758620689655,0.17305789076743977,0.21861182967935766,0.5317647058823529,0.4842521800521394,0.5787081504957734,0.7620382165605095,0.7484640311821624,0.7750999816597917,0.26666666666666666,0.25373541914221176,0.2800096611047256,0.7183098591549296
undersampling,dummy,0.5,0.09770114942528736,0.08922960859625503,0.10688259872605071,1.0,0.9910422401060335,1.0,0.0,0.0,0.000977758675415526,1.0,0.9991176851851342,1.0,1.0
undersampling,lr_scored,0.5,0.1728307254623044,0.15396553409586936,0.19347882268339386,0.571764705882353,0.5242846984992521,0.6179590112571433,0.7036942675159236,0.6892153696771921,0.7177748376802628,0.3232183908045977,0.3094808743351301,0.3372678613396431,0.6619718309859155
undersampling,lr_penalized,0.5,0.17547425474254744,0.15691857572483575,0.19571477949725458,0.6094117647058823,0.5622454510118883,0.6546179097642556,0.6899363057324841,0.6752868208028495,0.7042143669207059,0.3393103448275862,0.3253874015714179,0.35351684581046317,0.7323943661971831
undersampling,random_forest,0.5,0.16931890515595163,0.15158547142530632,0.18866557785933358,0.6258823529411764,0.57894246474846,0.6705669933488236,0.6675159235668789,0.6526202279678943,0.6820840388707881,0.36114942528735633,0.3470036788407308,0.37554019157222507,0.7183098591549296
undersampling,xgboost,0.5,0.16159105034182722,0.14441558420885653,0.18037855842418676,0.611764705882353,0.5646273570777762,0.6568997318871019,0.6563057324840764,0.6413011379105031,0.6710046684857427,0.3698850574712644,0.35565920490306985,0.38434051472231595,0.7183098591549296
oversampling,dummy,0.5,0.09770114942528736,0.08922960859625503,0.10688259872605071,1.0,0.9910422401060335,1.0,0.0,0.0,0.000977758675415526,1.0,0.9991176851851342,1.0,1.0
oversampling,lr_scored,0.5,0.17096999302163293,0.15236326473066958,0.19133607369600752,0.5764705882352941,0.5290145828915728,0.6225565832422911,0.6973248407643312,0.6827650743876525,0.7114987349911452,0.3294252873563218,0.31561406319393176,0.3435375127107259,0.6619718309859155
