model,technique,confirmatory,gained,lost,difference,low,high,p_value,p_holm
lr_scored,class_weight,True,0,0,0.0,-0.044098663155074824,0.044098663155074824,1.0,1.0
lr_scored,level_weight,True,1,0,0.014084507042253502,-0.03386325628491506,0.07004233325984072,1.0,1.0
lr_scored,undersampling,True,0,0,0.0,-0.044098663155074824,0.044098663155074824,1.0,1.0
lr_scored,oversampling,True,1,0,0.014084507042253502,-0.03386325628491506,0.07004233325984072,1.0,1.0
lr_scored,smote_nc,True,0,0,0.0,-0.044098663155074824,0.044098663155074824,1.0,1.0
lr_scored,smote_nc_level,True,0,1,-0.014084507042253502,-0.06843117350032435,0.03309144532900933,1.0,1.0
lr_scored,ctgan,False,4,6,-0.028169014084507005,-0.12426852892165635,0.06553790381679586,0.75390625,
lr_scored,ctgan_level,False,2,8,-0.08450704225352113,-0.1802511350860675,0.003118456801971009,0.109375,
lr_penalized,class_weight,True,1,1,0.0,-0.059330946378362705,0.059330946378362705,1.0,1.0
lr_penalized,level_weight,True,1,2,-0.014084507042253502,-0.08120124672477137,0.04773094618790356,1.0,1.0
lr_penalized,undersampling,True,2,1,0.014084507042253502,-0.04849842472966165,0.0824168423572617,1.0,1.0
lr_penalized,oversampling,True,3,2,0.014084507042253502,-0.05987633906425227,0.09164035763059221,1.0,1.0
lr_penalized,smote_nc,True,2,2,0.0,-0.07046998656531205,0.07046998656531205,1.0,1.0
lr_penalized,smote_nc_level,True,3,2,0.014084507042253502,-0.05987633906425227,0.09164035763059221,1.0,1.0
lr_penalized,ctgan,False,4,4,0.0,-0.08864386399092426,0.08864386399092426,1.0,
lr_penalized,ctgan_level,False,4,4,0.0,-0.08864386399092426,0.08864386399092426,1.0,
random_forest,class_weight,True,3,0,0.04225352112676051,-0.01223109892737241,0.11210683946706278,0.25,1.0
random_forest,level_weight,True,2,0,0.028169014084507005,-0.02253092171728837,0.09021246033031238,0.5,1.0
random_forest,undersampling,True,1,1,0.0,-0.056070226803459036,0.05607022680345902,1.0,1.0
random_forest,oversampling,True,3,0,0.04225352112676051,-0.01223109892737241,0.11210683946706278,0.25,1.0
random_forest,smote_nc,True,4,2,0.028169014084507005,-0.04716845983408044,0.10905320899918619,0.6875,1.0
random_forest,smote_nc_level,True,5,2,0.04225352112676051,-0.036725611834354285,0.12849364713069195,0.453125,1.0
random_forest,ctgan,False,3,0,0.04225352112676051,-0.01223109892737241,0.11210683946706278,0.25,
random_forest,ctgan_level,False,2,3,-0.014084507042253502,-0.08790249207378864,0.05686991689047319,1.0,
xgboost,class_weight,True,1,1,0.0,-0.058228428627499995,0.058228428627499995,1.0,1.0
xgboost,level_weight,True,1,0,0.014084507042253502,-0.03386325628491506,0.07004233325984072,1.0,1.0
xgboost,undersampling,True,2,3,-0.014084507042253502,-0.08980330760464217,0.05826003519714176,1.0,1.0
xgboost,oversampling,True,0,3,-0.04225352112676051,-0.11050319254494155,0.012158389045852813,0.25,1.0
xgboost,smote_nc,True,3,4,-0.014084507042253502,-0.09848370763300426,0.06799968112254252,1.0,1.0
xgboost,smote_nc_level,True,4,5,-0.014084507042253502,-0.10635104139848028,0.07670037661972864,1.0,1.0
xgboost,ctgan,False,2,4,-0.028169014084507005,-0.10905320899918619,0.04716845983408044,0.6875,
xgboost,ctgan_level,False,3,4,-0.014084507042253502,-0.09848370763300426,0.06799968112254252,1.0,
