technique,model,threshold,n,detected,sensitivity,low,high,alert_rate
none,lr_scored,0.0502852648657892,71,66,0.9295774647887324,0.8455098688621009,0.969546397560289,0.8016091954022988
none,lr_penalized,0.0479707257418685,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.7887356321839081
none,random_forest,0.0581256463703772,71,64,0.9014084507042254,0.8101927775940714,0.9514171762760306,0.7806896551724138
none,xgboost,0.0418949387967586,71,66,0.9295774647887324,0.8455098688621009,0.969546397560289,0.759080459770115
class_weight,lr_scored,0.3287734956170278,71,66,0.9295774647887324,0.8455098688621009,0.969546397560289,0.8137931034482758
class_weight,lr_penalized,0.328343922574786,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.748735632183908
class_weight,random_forest,0.2517546784675573,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.7866666666666666
class_weight,xgboost,0.2517598569393158,71,66,0.9295774647887324,0.8455098688621009,0.969546397560289,0.7770114942528735
level_weight,lr_scored,0.3203027335132296,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.7986206896551724
level_weight,lr_penalized,0.3279329075391393,71,66,0.9295774647887324,0.8455098688621009,0.969546397560289,0.7855172413793103
level_weight,random_forest,0.2538833662796655,71,66,0.9295774647887324,0.8455098688621009,0.969546397560289,0.7758620689655172
level_weight,xgboost,0.2721520364284515,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.7429885057471264
undersampling,lr_scored,0.3382482739197792,71,66,0.9295774647887324,0.8455098688621009,0.969546397560289,0.7887356321839081
undersampling,lr_penalized,0.3385293858418022,71,68,0.9577464788732394,0.8829758395951531,0.9855267393795247,0.7852873563218391
undersampling,random_forest,0.3747977709855539,71,64,0.9014084507042254,0.8101927775940714,0.9514171762760306,0.7698850574712643
undersampling,xgboost,0.2884023487567901,71,65,0.9154929577464789,0.8276396178569572,0.9606934922892889,0.7675862068965518
oversampling,lr_scored,0.3295180388278747,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.8117241379310345
oversampling,lr_penalized,0.3282542776097698,71,68,0.9577464788732394,0.8829758395951531,0.9855267393795247,0.7841379310344827
oversampling,random_forest,0.187836502077092,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.8050574712643678
oversampling,xgboost,0.2642433643341064,71,63,0.8873239436619719,0.7930995148918869,0.9417872827020712,0.7777011494252873
smote_nc,lr_scored,0.3278071144760455,71,66,0.9295774647887324,0.8455098688621009,0.969546397560289,0.8062068965517242
smote_nc,lr_penalized,0.3337678264889846,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.8025287356321839
smote_nc,random_forest,0.1287380679329327,71,66,0.9295774647887324,0.8455098688621009,0.969546397560289,0.7896551724137931
smote_nc,xgboost,0.0204274430871009,71,65,0.9154929577464789,0.8276396178569572,0.9606934922892889,0.7958620689655173
smote_nc_level,lr_scored,0.3269172191391758,71,65,0.9154929577464789,0.8276396178569572,0.9606934922892889,0.8066666666666666
smote_nc_level,lr_penalized,0.3526902894038139,71,68,0.9577464788732394,0.8829758395951531,0.9855267393795247,0.7797701149425287
smote_nc_level,random_forest,0.117857526528479,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.7733333333333333
smote_nc_level,xgboost,0.0238293670117855,71,65,0.9154929577464789,0.8276396178569572,0.9606934922892889,0.7898850574712644
ctgan,lr_scored,0.2633445222459407,71,64,0.9014084507042254,0.8101927775940714,0.9514171762760306,0.8770114942528736
ctgan,lr_penalized,0.101985498909271,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.8655172413793103
ctgan,random_forest,0.0739899884274392,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.7882758620689655
ctgan,xgboost,0.0165791232138872,71,64,0.9014084507042254,0.8101927775940714,0.9514171762760306,0.786896551724138
ctgan_level,lr_scored,0.245801081605465,71,60,0.8450704225352113,0.7434903714672241,0.9112269572983023,0.8728735632183908
ctgan_level,lr_penalized,0.0910580688953762,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.8788505747126437
ctgan_level,random_forest,0.0644146326904059,71,63,0.8873239436619719,0.7930995148918869,0.9417872827020712,0.8188505747126437
ctgan_level,xgboost,0.0117579186335206,71,65,0.9154929577464789,0.8276396178569572,0.9606934922892889,0.8333333333333334
