technique,model,target_sensitivity,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high
none,lr_scored,0.8,0.0618604508619553,0.12065294535131299,0.10914030764054442,0.1331984164869569,0.8,0.7593592358943103,0.8352661081693097,0.3686624203821656,0.3537047421538926,0.3838769315261975,0.647816091954023,0.6334970321561825,0.6618743110962503
none,lr_scored,0.85,0.0549084761541473,0.11277258566978193,0.10228972812077737,0.12418113802075674,0.851764705882353,0.8148357311181423,0.8823916330976317,0.2743949044585987,0.26066118422464396,0.2885697993713206,0.7379310344827587,0.72465688249858,0.7507853263136564
none,lr_scored,0.9,0.0502852648657892,0.10983653570404359,0.0998843165054395,0.12064745725227463,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.209171974522293,0.19673545442154308,0.22217721387297243,0.8016091954022988,0.789494578608944,0.8131915836728474
none,lr_scored,0.95,0.0432120969472413,0.1038560411311054,0.09465672248232886,0.11383698929467091,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.11184713375796178,0.10236399708040449,0.12208931010023018,0.8942528735632184,0.8847640767757472,0.9030459600483931
none,lr_penalized,0.8,0.0633944995017448,0.1286903860711582,0.11645884129512354,0.1420001289280947,0.8,0.7593592358943103,0.8352661081693097,0.41350318471337577,0.39818868225622345,0.4289868331936128,0.6073563218390805,0.5927557849797451,0.6217674145519596
none,lr_penalized,0.85,0.0565973936469687,0.12026578073089701,0.10912697066720009,0.13237261342356227,0.851764705882353,0.8148357311181423,0.8823916330976317,0.3253503184713376,0.3108703248716163,0.3401718425536053,0.6919540229885057,0.6780698018357629,0.7054995163847368
none,lr_penalized,0.9,0.0479707257418685,0.11162926260565433,0.10152338206472895,0.12260383546484187,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22343949044585987,0.21068192159444774,0.23673787817225975,0.7887356321839081,0.7763529521245593,0.8006088007915457
none,lr_penalized,0.95,0.0390730161283186,0.10496232787737074,0.0956699801869601,0.11504241675376128,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.12229299363057325,0.11241113033392569,0.13291346953170666,0.8848275862068965,0.8749996338902736,0.8939764603625605
none,random_forest,0.8,0.0772493284794537,0.14214046822742474,0.12871994901504633,0.15670856141623304,0.8,0.7593592358943103,0.8352661081693097,0.4771974522292994,0.46160143227154454,0.49283806296486293,0.5498850574712644,0.5350631886389264,0.5646188976531076
none,random_forest,0.85,0.0657295171119079,0.12147651006711409,0.11023220679034249,0.13369545118527912,0.851764705882353,0.8148357311181423,0.8823916330976317,0.33299363057324843,0.318419367027603,0.3478944779720071,0.6850574712643678,0.6710960266982346,0.6986923579335047
none,random_forest,0.9,0.0581256463703772,0.11277974087161366,0.1025754025361415,0.123859114527407,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23235668789808916,0.2194097290362815,0.24582702790054597,0.7806896551724138,0.7681486922092929,0.7927353048532583
none,random_forest,0.95,0.0470534844188051,0.10420428166107815,0.09497566736318186,0.11421645435451275,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.11515923566878981,0.10554688169696617,0.1255241524325702,0.891264367816092,0.8816657046694625,0.9001725942662149
none,xgboost,0.8,0.0566325932741165,0.13322884012539185,0.1205941233757092,0.14696607933585862,0.8,0.7593592358943103,0.8352661081693097,0.4364331210191083,0.42098744847023783,0.4520030997027641,0.5866666666666667,0.5719629171213853,0.601217481644038
none,xgboost,0.85,0.0482004135847091,0.12267028126058963,0.11132209731152636,0.13499956459962834,0.851764705882353,0.8148357311181423,0.8823916330976317,0.34038216560509554,0.325720917979143,0.35535554867570945,0.6783908045977012,0.6643580581372441,0.6921087573586935
none,xgboost,0.9,0.0418949387967586,0.11599030890369473,0.105511848687397,0.12736122414753642,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.25630573248407645,0.2428900552017331,0.27019795813484526,0.759080459770115,0.7461472394452056,0.7715564990392296
none,xgboost,0.95,0.032035507261753,0.10485336101738904,0.09557017168356216,0.1149236916210837,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.12127388535031847,0.11142981227319614,0.13185856391585107,0.8857471264367817,0.8759513357138095,0.8948622163508598
class_weight,lr_scored,0.8,0.3842121798195044,0.12243428159884767,0.11076177402346607,0.1351499289438434,0.8,0.7593592358943103,0.8352661081693097,0.37910828025477705,0.3640553301093801,0.3943976362557076,0.6383908045977011,0.6239965068589731,0.6525408938221536
class_weight,lr_scored,0.85,0.3522438705655115,0.11316036261331666,0.10264343043244568,0.12460523865674795,0.851764705882353,0.8148357311181423,0.8823916330976317,0.27719745222929937,0.26341707689561816,0.29141352181095553,0.7354022988505747,0.7220900573579746,0.7482991424717161
class_weight,lr_scored,0.9,0.3287734956170278,0.10819209039548022,0.09838107945229979,0.11885252644294783,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.1956687898089172,0.18355786074800906,0.20837484383175336,0.8137931034482758,0.8019500276478403,0.8250824506407611
