technique,model,level,n,mean_probability,low,high,median_probability
none,dummy,basso,3925,0.0977011494252873,0.0977011494252873,0.0977011494252873,0.0977011494252873
none,dummy,moderato,354,0.0977011494252873,0.0977011494252873,0.0977011494252873,0.0977011494252873
none,dummy,alto,50,0.0977011494252873,0.0977011494252873,0.0977011494252873,0.0977011494252873
none,dummy,molto alto,21,0.0977011494252873,0.0977011494252873,0.0977011494252873,0.0977011494252873
none,lr_scored,basso,3925,0.09219194674417727,0.09024906513851084,0.09415453624508825,0.0724534911700815
none,lr_scored,moderato,354,0.13887826081171367,0.12941404723561575,0.1490501799377104,0.10917410518846321
none,lr_scored,alto,50,0.1779409476263303,0.1435394415949399,0.2147345469304485,0.1274821676865741
none,lr_scored,molto alto,21,0.22971009085218755,0.162551484357848,0.3011700660405397,0.1929113315672653
none,lr_penalized,basso,3925,0.09125798579361512,0.0890626104458265,0.09355121042099557,0.0711318330276591
none,lr_penalized,moderato,354,0.15203664936300498,0.13891268563455741,0.16600580185031658,0.1103767110833329
none,lr_penalized,alto,50,0.20168675254523308,0.15962087353684135,0.24907505379271636,0.1422798805125408
none,lr_penalized,molto alto,21,0.24718869322041653,0.1886641150047308,0.30282932662909634,0.2662685672505216
none,random_forest,basso,3925,0.09314154770408906,0.09160778298562978,0.09472400319835837,0.079333454359554
none,random_forest,moderato,354,0.13673539451908864,0.1289613979865274,0.14442116169069605,0.11727250495084725
none,random_forest,alto,50,0.16367025508610958,0.13871781843335368,0.18853767650515368,0.15191871484377623
none,random_forest,molto alto,21,0.19472743492867983,0.150943829651771,0.2351223618225408,0.2108880174249001
none,xgboost,basso,3925,0.08909921977752046,0.08685753986498955,0.09156785640008981,0.0638361424207687
none,xgboost,moderato,354,0.15159602111763196,0.13974277819085884,0.16428210718470418,0.1078828871250152
none,xgboost,alto,50,0.213119485527277,0.16458694113790986,0.26297950626164673,0.15080615133047098
none,xgboost,molto alto,21,0.3313255026226952,0.23581128182510533,0.4246546574513471,0.330983817577362
class_weight,dummy,basso,3925,0.4999999999999909,0.4999999999999909,0.4999999999999909,0.4999999999999907
class_weight,dummy,moderato,354,0.49999999999999084,0.49999999999999084,0.49999999999999084,0.4999999999999907
class_weight,dummy,alto,50,0.4999999999999906,0.4999999999999906,0.4999999999999906,0.4999999999999907
class_weight,dummy,molto alto,21,0.4999999999999908,0.4999999999999908,0.4999999999999908,0.4999999999999907
class_weight,lr_scored,basso,3925,0.44721995077728854,0.44293346199555483,0.45139486947130003,0.4225973411162911
class_weight,lr_scored,moderato,354,0.5384266943409207,0.5216308955877923,0.5559148022927817,0.5326646220692536
class_weight,lr_scored,alto,50,0.5943305141503056,0.5431826416149964,0.6426490396728943,0.568093131797225
class_weight,lr_scored,molto alto,21,0.638491970776784,0.5493321691052232,0.7235815676442425,0.6682848490039615
class_weight,lr_penalized,basso,3925,0.42953936004272414,0.42509471873357135,0.4341858854710959,0.4064114505646509
class_weight,lr_penalized,moderato,354,0.540071057868167,0.5220147406797465,0.5590897774412804,0.5181945017588876
class_weight,lr_penalized,alto,50,0.6098381066404496,0.5603905508042425,0.6577944975755758,0.5899016970652142
class_weight,lr_penalized,molto alto,21,0.6662983599512723,0.5808982460900883,0.7395992081744504,0.7631865674427873
class_weight,random_forest,basso,3925,0.3628239779806201,0.35903865031855253,0.3668956395857861,0.3631868288090902
class_weight,random_forest,moderato,354,0.45057968242076785,0.4357717888556234,0.46493971445180354,0.4647568578620732
class_weight,random_forest,alto,50,0.491819282000019,0.45274381368690286,0.5289799091593639,0.48797014862595234
class_weight,random_forest,molto alto,21,0.5283008334095882,0.45248301725783163,0.5928096658460262,0.5697450429216179
class_weight,xgboost,basso,3925,0.38841347817972205,0.38338542217267735,0.3935841436321568,0.3626149594783783
class_weight,xgboost,moderato,354,0.5061965383126237,0.4864205833955926,0.5266379584826655,0.4992234855890274
class_weight,xgboost,alto,50,0.5820191952586174,0.5232371282801033,0.6359055274650455,0.5927139818668365
class_weight,xgboost,molto alto,21,0.6590164516653333,0.545835742354393,0.7555670777424459,0.711081326007843
level_weight,dummy,basso,3925,0.49999999999999395,0.49999999999999395,0.49999999999999395,0.4999999999999941
level_weight,dummy,moderato,354,0.49999999999999406,0.499999999999994,0.49999999999999406,0.4999999999999941
level_weight,dummy,alto,50,0.499999999999994,0.49999999999999395,0.499999999999994,0.4999999999999941
level_weight,dummy,molto alto,21,0.49999999999999406,0.4999999999999939,0.4999999999999942,0.4999999999999941
level_weight,lr_scored,basso,3925,0.43884238523989655,0.43439433808557354,0.44325387405211664,0.4111698732854646
level_weight,lr_scored,moderato,354,0.5345724985602934,0.5169321191128202,0.5525967183503414,0.5221368305085083
level_weight,lr_scored,alto,50,0.5883487031005432,0.53483518984497,0.6398255490111048,0.5595291906996352
level_weight,lr_scored,molto alto,21,0.6433080133039503,0.5503816359483545,0.7311117314641716,0.6994318014628026
level_weight,lr_penalized,basso,3925,0.42845068617640675,0.4243484877143945,0.4326920614749388,0.4078965161420232
level_weight,lr_penalized,moderato,354,0.531951535950902,0.515265573188482,0.549915037801044,0.5158423176178228
level_weight,lr_penalized,alto,50,0.5847266449165359,0.538739744109368,0.6298455599238045,0.5457960343283428
level_weight,lr_penalized,molto alto,21,0.6390947343787734,0.5533089753405137,0.7145698996978077,0.6658973114237112
level_weight,random_forest,basso,3925,0.36059396432543217,0.3568456777396733,0.3645430021616107,0.3624461572026892
level_weight,random_forest,moderato,354,0.4474470244692279,0.433113002491053,0.4618023147093423,0.45330446751269526
level_weight,random_forest,alto,50,0.4910750969384657,0.4515261618466497,0.5300353751932209,0.47942025380012243
level_weight,random_forest,molto alto,21,0.5468603416946829,0.4710879400470683,0.6110205334703269,0.604403288783975
level_weight,xgboost,basso,3925,0.386694931417324,0.3819164078599613,0.3914967540860841,0.3595820665359497
level_weight,xgboost,moderato,354,0.5024505472915658,0.4840477744722476,0.5207996421288383,0.49445322155952454
level_weight,xgboost,alto,50,0.5851190134882926,0.5305858340412378,0.6371118098720907,0.5633524358272552
level_weight,xgboost,molto alto,21,0.6712814328216371,0.5590862716592494,0.7683558054090965,0.742870032787323
undersampling,dummy,basso,3925,0.5,0.5,0.5,0.5
undersampling,dummy,moderato,354,0.5,0.5,0.5,0.5
undersampling,dummy,alto,50,0.5,0.5,0.5,0.5
undersampling,dummy,molto alto,21,0.5,0.5,0.5,0.5
undersampling,lr_scored,basso,3925,0.4479197614137449,0.4436041262005448,0.4520447771151607,0.4212356588242222
undersampling,lr_scored,moderato,354,0.5404047694837687,0.5235163711450826,0.5579760102771237,0.5319114070297859
undersampling,lr_scored,alto,50,0.5886990178185103,0.5375843051166466,0.637769115713203,0.564254336010904
undersampling,lr_scored,molto alto,21,0.655110986305228,0.5608036293671359,0.7448404608144925,0.6772187031627787
undersampling,lr_penalized,basso,3925,0.444978437931453,0.4407850098127398,0.4494384423588215,0.4266000297096529
undersampling,lr_penalized,moderato,354,0.5482263538255466,0.5310221448609164,0.5655128892310097,0.5390571735109164
undersampling,lr_penalized,alto,50,0.5949059001835306,0.5489032030415728,0.6406416049014914,0.5490303405993389
undersampling,lr_penalized,molto alto,21,0.6137593197878837,0.5468005087198817,0.6748989703777155,0.6271740364317491
undersampling,random_forest,basso,3925,0.4571792108362674,0.45371006826678517,0.4606427715148443,0.4461503863074623
undersampling,random_forest,moderato,354,0.5382768656543899,0.5255532904362608,0.5508496420572242,0.5465168901415971
undersampling,random_forest,alto,50,0.564825172276092,0.5302623083887695,0.5974841681572708,0.5699115869957679
undersampling,random_forest,molto alto,21,0.6040859548123361,0.5491897292987061,0.6533669313413326,0.6363517722924884
undersampling,xgboost,basso,3925,0.4350191047113792,0.4294870682339522,0.44084331426771867,0.4073728919029236
undersampling,xgboost,moderato,354,0.5516560957845995,0.5306338333919391,0.5728047419949777,0.5632818937301636
undersampling,xgboost,alto,50,0.6098964074254036,0.5535190570950508,0.664346607901156,0.6350403428077698
undersampling,xgboost,molto alto,21,0.6867871880531311,0.5850144410062404,0.7691167022145928,0.7510424852371216
oversampling,dummy,basso,3925,0.5,0.5,0.5,0.5
oversampling,dummy,moderato,354,0.5,0.5,0.5,0.5
oversampling,dummy,alto,50,0.5,0.5,0.5,0.5
oversampling,dummy,molto alto,21,0.5,0.5,0.5,0.5
oversampling,lr_scored,basso,3925,0.4479320462052124,0.4436059332622933,0.452123807263625,0.4241915326631713
oversampling,lr_scored,moderato,354,0.5374616676184263,0.5208694286437061,0.5547266858407591,0.5306962418309072
oversampling,lr_scored,alto,50,0.5927804208045659,0.542482330133382,0.6403818530230037,0.571690214181886
oversampling,lr_scored,molto alto,21,0.6367530283525668,0.5485363932408146,0.7212025385008226,0.6564451513872964
oversampling,lr_penalized,basso,3925,0.4325707490069702,0.42820331290959474,0.4370169145248118,0.4182620006438515
oversampling,lr_penalized,moderato,354,0.5331827952456835,0.5153434261840121,0.551356282810048,0.5099542068332783
oversampling,lr_penalized,alto,50,0.5968279572364447,0.5479075114720254,0.6466943813461538,0.5431149576917877
oversampling,lr_penalized,molto alto,21,0.6272622135455933,0.5390552426572048,0.7079649579043322,0.6638642882241168
oversampling,random_forest,basso,3925,0.31049179193472787,0.30670798586970066,0.3145198949480665,0.3000410605985719
oversampling,random_forest,moderato,354,0.3896986944543141,0.37462812459906264,0.40458288994818475,0.40195425514712757
oversampling,random_forest,alto,50,0.4344612309261335,0.39195688028383185,0.4746444888332359,0.4270418756886762
oversampling,random_forest,molto alto,21,0.47706095415374367,0.40039466258572526,0.5447671635872544,0.5403030648642212
oversampling,xgboost,basso,3925,0.38864056429950294,0.3837643989686421,0.3936238835607507,0.361936867237091
oversampling,xgboost,moderato,354,0.5003749947300402,0.4806549040842696,0.5203584645922154,0.4993261992931366
oversampling,xgboost,alto,50,0.5562179347872734,0.4981747294440866,0.6104557057991623,0.5571187436580658
oversampling,xgboost,molto alto,21,0.6355289128564653,0.5187407364004424,0.7351009917223736,0.6929644346237183
smote_nc,dummy,basso,3925,0.5,0.5,0.5,0.5
smote_nc,dummy,moderato,354,0.5,0.5,0.5,0.5
smote_nc,dummy,alto,50,0.5,0.5,0.5,0.5
smote_nc,dummy,molto alto,21,0.5,0.5,0.5,0.5
smote_nc,lr_scored,basso,3925,0.45270767300022735,0.4482719617064342,0.4570894002797124,0.4342882304650832
smote_nc,lr_scored,moderato,354,0.5374633838610905,0.5207665203956566,0.5543369366385932,0.5356647727320742
smote_nc,lr_scored,alto,50,0.5893941198116955,0.5437816992862653,0.6345982090376374,0.5747050410001123
smote_nc,lr_scored,molto alto,21,0.6369675924487308,0.5501113693874194,0.7198067406238304,0.7032062451953085
smote_nc,lr_penalized,basso,3925,0.4428392174352547,0.439022458542058,0.4468933836756788,0.4296108959240077
smote_nc,lr_penalized,moderato,354,0.5303723577728762,0.5152260621559138,0.5460603167197361,0.5292212824672569
smote_nc,lr_penalized,alto,50,0.5806844691930713,0.5336227984875381,0.6233527889896393,0.5766742351777812
smote_nc,lr_penalized,molto alto,21,0.5957894833635426,0.5225557596473652,0.6615270545224932,0.6713055392023349
smote_nc,random_forest,basso,3925,0.22629045867025582,0.22208560323675858,0.23054549481556136,0.1982894786964876
smote_nc,random_forest,moderato,354,0.316627690979276,0.2972080779723697,0.3357785806024804,0.2675595293850691
smote_nc,random_forest,alto,50,0.37176431047782527,0.310078144425248,0.43290656407810163,0.2786847232321006
smote_nc,random_forest,molto alto,21,0.4079505661192365,0.31583523359743687,0.5067462847378099,0.3836661613954916
smote_nc,xgboost,basso,3925,0.09310665643481819,0.08931472036920732,0.09697736196186217,0.0525631196796894
smote_nc,xgboost,moderato,354,0.17015371529522252,0.1515940973546361,0.18889610923732642,0.1049001701176166
smote_nc,xgboost,alto,50,0.24601131984964014,0.18104434828646482,0.31420741563243787,0.10767889022827146
smote_nc,xgboost,molto alto,21,0.355819248871523,0.25209879099579885,0.4712199713012004,0.3600803315639496
smote_nc_level,dummy,basso,3925,0.5,0.5,0.5,0.5
smote_nc_level,dummy,moderato,354,0.5,0.5,0.5,0.5
smote_nc_level,dummy,alto,50,0.5,0.5,0.5,0.5
smote_nc_level,dummy,molto alto,21,0.5,0.5,0.5,0.5
smote_nc_level,lr_scored,basso,3925,0.4529346940603039,0.4485807224060211,0.45730950208246807,0.4346321415212729
smote_nc_level,lr_scored,moderato,354,0.5361039369831706,0.5196176979660982,0.5529782874654225,0.5298833901727864
smote_nc_level,lr_scored,alto,50,0.5872831177246318,0.5414130690877607,0.6325110787960802,0.5788113710274452
smote_nc_level,lr_scored,molto alto,21,0.631524380496567,0.5459029099881565,0.7128907453583537,0.6557623281091072
smote_nc_level,lr_penalized,basso,3925,0.44505457736670784,0.44121858078734283,0.4489947372800647,0.431134127175399
smote_nc_level,lr_penalized,moderato,354,0.534777265910833,0.5186394207190119,0.5505962715993145,0.5201271011451398
smote_nc_level,lr_penalized,alto,50,0.5672024380994967,0.5248070671582709,0.605295109616374,0.5643092783260937
smote_nc_level,lr_penalized,molto alto,21,0.6146597068919802,0.5415904020037053,0.6847306123536597,0.6144472639431943
smote_nc_level,random_forest,basso,3925,0.20830120901296634,0.2042913690877629,0.21259767655828316,0.1809594748595943
smote_nc_level,random_forest,moderato,354,0.29464301128216974,0.2758701976150615,0.3141635109050415,0.2541818600995992
smote_nc_level,random_forest,alto,50,0.3532671806636564,0.2946826218695152,0.4115682616508319,0.270721768730656
smote_nc_level,random_forest,molto alto,21,0.40840771714834584,0.31409984084367043,0.5068616703143556,0.3624871062213851
smote_nc_level,xgboost,basso,3925,0.10090568562967338,0.09714488128957834,0.10485846855374295,0.0605619624257087
smote_nc_level,xgboost,moderato,354,0.18166233814258317,0.16322583726156398,0.1998012450669522,0.1193292364478111
smote_nc_level,xgboost,alto,50,0.25066988152451813,0.18501082008541558,0.3219488844471052,0.14203054457902906
smote_nc_level,xgboost,molto alto,21,0.39017970032901284,0.28114495822339364,0.5054618681426203,0.3777888715267181
ctgan,dummy,basso,3925,0.5,0.5,0.5,0.5
ctgan,dummy,moderato,354,0.5,0.5,0.5,0.5
ctgan,dummy,alto,50,0.5,0.5,0.5,0.5
ctgan,dummy,molto alto,21,0.5,0.5,0.5,0.5
ctgan,lr_scored,basso,3925,0.4332875263089401,0.4284654421523798,0.43772987039616046,0.4251090668841311
ctgan,lr_scored,moderato,354,0.47405942322145883,0.4571622229867105,0.4900850879158755,0.4647461627994577
ctgan,lr_scored,alto,50,0.48275084032436455,0.4336085976329287,0.5311490625820214,0.4743852347779842
ctgan,lr_scored,molto alto,21,0.4679793638290883,0.37832073771747887,0.5653445315109246,0.4272699213249805
ctgan,lr_penalized,basso,3925,0.24701711629756617,0.2427793307432831,0.2515758765900104,0.2279421854032669
ctgan,lr_penalized,moderato,354,0.28389800911748675,0.266931938191014,0.3012835321018901,0.2532650439864369
ctgan,lr_penalized,alto,50,0.3353481307905405,0.28313538771080776,0.39305389713910094,0.30982155869309513
ctgan,lr_penalized,molto alto,21,0.359474970353249,0.28161478988771355,0.43214631733142567,0.3914765707514603
ctgan,random_forest,basso,3925,0.174026503547913,0.16956536411523498,0.17821341881948483,0.1229504205178273
ctgan,random_forest,moderato,354,0.23224144812995248,0.21665176954139748,0.24822697770447483,0.193257670983203
ctgan,random_forest,alto,50,0.2825757604495778,0.23468069061512498,0.3330625581731074,0.25470664545296795
ctgan,random_forest,molto alto,21,0.31811301583352297,0.24451418599581148,0.38964030435650865,0.3491966095328304
ctgan,xgboost,basso,3925,0.08331304624621089,0.08010527158800211,0.08677625749574357,0.0437128208577632
ctgan,xgboost,moderato,354,0.14869295971831145,0.1338999282062911,0.16487833690611872,0.08700672164559359
ctgan,xgboost,alto,50,0.22931950992904604,0.17230352564179338,0.2898737478277181,0.13325134664773935
ctgan,xgboost,molto alto,21,0.37356774349297794,0.2604122400705126,0.48163388363152204,0.4379369914531708
ctgan_level,dummy,basso,3925,0.5,0.5,0.5,0.5
ctgan_level,dummy,moderato,354,0.5,0.5,0.5,0.5
ctgan_level,dummy,alto,50,0.5,0.5,0.5,0.5
ctgan_level,dummy,molto alto,21,0.5,0.5,0.5,0.5
ctgan_level,lr_scored,basso,3925,0.42318590834327263,0.4183985858115542,0.42821990848736796,0.4113244894631547
ctgan_level,lr_scored,moderato,354,0.46699459680225774,0.44913482839189683,0.4845770915459346,0.4581114460092924
ctgan_level,lr_scored,alto,50,0.5004175294884127,0.451126662770869,0.5505264770157793,0.4787913745233102
ctgan_level,lr_scored,molto alto,21,0.4196631794802707,0.328027391090351,0.5101687512795233,0.4379040144732872
ctgan_level,lr_penalized,basso,3925,0.22678236547734246,0.22279000614901365,0.23072632247351896,0.2075522916349923
ctgan_level,lr_penalized,moderato,354,0.27821432220701175,0.2598167111304854,0.2970535359359485,0.2447818283643715
ctgan_level,lr_penalized,alto,50,0.31420941332593194,0.26474575576329507,0.3657652921710172,0.2745283288111695
ctgan_level,lr_penalized,molto alto,21,0.293652090977627,0.21551392548427248,0.38233564074097537,0.2143869308721306
ctgan_level,random_forest,basso,3925,0.16474747521729385,0.16061083278020646,0.16899910794232517,0.1146978263852063
ctgan_level,random_forest,moderato,354,0.23485546696050535,0.21867014081024946,0.25097685436342787,0.1965977305447492
ctgan_level,random_forest,alto,50,0.2460869785960223,0.20836890199534297,0.2840791542407975,0.2332408841314608
ctgan_level,random_forest,molto alto,21,0.33621874979801786,0.25008230402487225,0.42816002773730044,0.3220206513345483
