technique,model,jt,z,p_value,concordance,concordance_low,concordance_high
none,dummy,847154.5,,,0.5,0.5,0.5
none,lr_scored,1141941.5,11.977543437288274,2.3296303408314195e-33,0.6739865632538102,0.6457754680521677,0.7016508131043393
none,lr_penalized,1179140.0,13.488962317705747,9.081950792248256e-42,0.6959415313263401,0.6682424663978058,0.7234664987319315
none,random_forest,1188968.0,13.888285546155219,3.7299813085140076e-44,0.7017421261410994,0.6737339824081675,0.7280993165945527
none,xgboost,1177592.0,13.426065252418834,2.127112782894741e-41,0.6950278845240154,0.6670534123350581,0.7206553969789454
class_weight,dummy,847154.5,,,0.5,0.5,0.5
class_weight,lr_scored,1142432.5,11.997493346299555,1.831101820562355e-33,0.6742763569101031,0.6462426570359953,0.7022620283549222
class_weight,lr_penalized,1181835.0,13.598463345450082,2.0446759809822797e-42,0.6975321502748318,0.6706699161723156,0.7242010164615782
class_weight,random_forest,1169595.0,13.101137712948908,1.621793596938124e-39,0.6903079662564503,0.6621826803729426,0.7167878320896601
class_weight,xgboost,1172295.0,13.210841898542148,3.798497358921981e-40,0.691901536260505,0.6640013864059036,0.7174251272937817
level_weight,dummy,846964.5,-0.008809129221854792,0.5035142886481486,0.49988785988860357,0.47532784014013973,0.5250679111661449
level_weight,lr_scored,1142951.5,12.01858092832981,1.4190176501256501e-33,0.6745826764775492,0.6465117933033466,0.7030505282684563
level_weight,lr_penalized,1186119.0,13.772527316825492,1.864673666370367e-43,0.7000606146812653,0.6733760783894791,0.725966190346625
level_weight,random_forest,1172532.0,13.220471486041715,3.3421813709579274e-40,0.6920414162941942,0.663809036604303,0.7179700397035016
level_weight,xgboost,1183493.0,13.66582984145112,8.122065846220573e-43,0.698510720299544,0.67085764757196,0.7234308204701739
undersampling,dummy,847154.5,,,0.5,0.5,0.5
undersampling,lr_scored,1141497.5,11.959503193701698,2.895366326028322e-33,0.6737245095198101,0.6462193141864914,0.7024776177190819
undersampling,lr_penalized,1180255.0,13.53426608243114,4.907893540158189e-42,0.6965996167169035,0.6686256609626697,0.7224590526285346
undersampling,random_forest,1184505.0,13.70694859371627,4.612842155672792e-43,0.6991080139455081,0.6710732812019531,0.7246083506609479
undersampling,xgboost,1152343.5,12.400188927174932,1.303540922065582e-35,0.6801259392472093,0.6526788797084829,0.7063082058821619
oversampling,dummy,847154.5,,,0.5,0.5,0.5
oversampling,lr_scored,1140496.5,11.918831383273403,4.721183817242435e-33,0.6731337081960846,0.6446158360133836,0.7011456366577762
oversampling,lr_penalized,1163520.0,12.854303299758987,4.067776713143471e-38,0.6867224337473271,0.6589833525053576,0.714189663750827
oversampling,random_forest,1138717.0,11.846528163898972,1.1214606362745934e-32,0.6720834275211901,0.6438047162589586,0.699385029531213
oversampling,xgboost,1160667.0,12.738382545712758,1.8090914524910052e-37,0.6850385614430425,0.6560806647429719,0.7113593653814032
smote_nc,dummy,847154.5,,,0.5,0.5,0.5
smote_nc,lr_scored,1127973.5,11.41000712553761,1.8634939269825167e-30,0.6657424944328337,0.6377523373835587,0.6937189216961015
smote_nc,lr_penalized,1149146.0,12.270270731003116,6.540760460505947e-35,0.6782387392146296,0.6495454784221768,0.7061523458825988
smote_nc,random_forest,1131372.0,11.548092153219141,3.773866085216727e-31,0.6677483268990485,0.6419081171144106,0.6944621081514647
smote_nc,xgboost,1135294.0,11.70744763775097,5.837057584701857e-32,0.6700631348827162,0.642788476009984,0.6968634558395193
smote_nc_level,dummy,847154.5,,,0.5,0.5,0.5
smote_nc_level,lr_scored,1124780.5,11.28027177019541,8.211890475932146e-30,0.6638579503502607,0.636134391660553,0.6914068803270242
smote_nc_level,lr_penalized,1156914.0,12.585893730453208,1.2623453699038162e-36,0.6828234991374065,0.654000052528789,0.7107901362738438
smote_nc_level,random_forest,1129769.0,11.482960373929204,8.034143784748372e-31,0.6668022184855301,0.639818297606871,0.6934330455660686
smote_nc_level,xgboost,1138674.0,11.844781023196557,1.14507880683503e-32,0.6720580484433477,0.6448731459255661,0.6984515663907823
ctgan,dummy,847154.5,,,0.5,0.5,0.5
ctgan,lr_scored,962683.5,4.694079507462938,1.3390493322376114e-06,0.5681864996290523,0.5377516660184182,0.5966567565302433
ctgan,lr_penalized,973493.0,5.133282223999143,1.4236622544097521e-07,0.5745663866508411,0.5439598089840755,0.6031452497743918
ctgan,random_forest,1100658.0,10.300146117545854,3.517717774948717e-25,0.6496205827862568,0.6246504917343885,0.6740647809815093
ctgan,xgboost,1132459.0,11.592258244929008,2.2554021922339915e-31,0.6683898863784588,0.6404303612859283,0.6945909217267925
ctgan_level,dummy,847154.5,,,0.5,0.5,0.5
ctgan_level,lr_scored,980754.5,5.428325547672433,2.844260503260622e-08,0.5788522046450795,0.549115384206777,0.6071406986565024
ctgan_level,lr_penalized,989562.0,5.786184641373437,3.600153409087417e-09,0.5840504890194174,0.5547734061496457,0.6142803939541134
ctgan_level,random_forest,1113535.0,10.823353811550303,1.3341540658260189e-27,0.6572207312833728,0.6301799583192912,0.6835927212804748
ctgan_level,xgboost,1128998.0,11.45163373482081,1.1537747861809632e-30,0.6663471657177056,0.6388352862435365,0.6921521694094761
