technique,model,level,n,detected,missed,sensitivity,low,high
none,lr_scored,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
none,lr_scored,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
none,lr_scored,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
none,lr_penalized,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
none,lr_penalized,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
none,lr_penalized,molto alto,21,20,1,0.9523809523809523,0.7733063992587744,0.9915440121901736
none,random_forest,moderato,354,319,35,0.9011299435028248,0.8655990605085782,0.9280484976473529
none,random_forest,alto,50,46,4,0.92,0.8116175308165716,0.9684504859114069
none,random_forest,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
none,xgboost,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
none,xgboost,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
none,xgboost,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
class_weight,lr_scored,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
class_weight,lr_scored,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
class_weight,lr_scored,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
class_weight,lr_penalized,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
class_weight,lr_penalized,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
class_weight,lr_penalized,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
class_weight,random_forest,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
class_weight,random_forest,alto,50,49,1,0.98,0.8950455641036218,0.9964607407283538
class_weight,random_forest,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
class_weight,xgboost,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
class_weight,xgboost,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
class_weight,xgboost,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
level_weight,lr_scored,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
level_weight,lr_scored,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
level_weight,lr_scored,molto alto,21,20,1,0.9523809523809523,0.7733063992587744,0.9915440121901736
level_weight,lr_penalized,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
level_weight,lr_penalized,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
level_weight,lr_penalized,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
level_weight,random_forest,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
level_weight,random_forest,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
level_weight,random_forest,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
level_weight,xgboost,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
level_weight,xgboost,alto,50,49,1,0.98,0.8950455641036218,0.9964607407283538
level_weight,xgboost,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
undersampling,lr_scored,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
undersampling,lr_scored,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
undersampling,lr_scored,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
undersampling,lr_penalized,moderato,354,315,39,0.8898305084745762,0.8529363658220593,0.9183549230900426
undersampling,lr_penalized,alto,50,49,1,0.98,0.8950455641036218,0.9964607407283538
undersampling,lr_penalized,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
undersampling,random_forest,moderato,354,319,35,0.9011299435028248,0.8655990605085782,0.9280484976473529
undersampling,random_forest,alto,50,45,5,0.9,0.7863976856252034,0.9565242350681095
undersampling,random_forest,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
undersampling,xgboost,moderato,354,318,36,0.8983050847457628,0.8624228260105533,0.9256356648344204
undersampling,xgboost,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
undersampling,xgboost,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
oversampling,lr_scored,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
oversampling,lr_scored,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
oversampling,lr_scored,molto alto,21,20,1,0.9523809523809523,0.7733063992587744,0.9915440121901736
oversampling,lr_penalized,moderato,354,315,39,0.8898305084745762,0.8529363658220593,0.9183549230900426
oversampling,lr_penalized,alto,50,50,0,1.0,0.9286524008666412,1.0
oversampling,lr_penalized,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
oversampling,random_forest,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
oversampling,random_forest,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
oversampling,random_forest,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
oversampling,xgboost,moderato,354,320,34,0.903954802259887,0.8687827672964346,0.9304538581704536
oversampling,xgboost,alto,50,45,5,0.9,0.7863976856252034,0.9565242350681095
oversampling,xgboost,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
smote_nc,lr_scored,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
smote_nc,lr_scored,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
smote_nc,lr_scored,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
smote_nc,lr_penalized,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
smote_nc,lr_penalized,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
smote_nc,lr_penalized,molto alto,21,20,1,0.9523809523809523,0.7733063992587744,0.9915440121901736
smote_nc,random_forest,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
smote_nc,random_forest,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
smote_nc,random_forest,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
smote_nc,xgboost,moderato,354,318,36,0.8983050847457628,0.8624228260105533,0.9256356648344204
smote_nc,xgboost,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
smote_nc,xgboost,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
smote_nc_level,lr_scored,moderato,354,318,36,0.8983050847457628,0.8624228260105533,0.9256356648344204
smote_nc_level,lr_scored,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
smote_nc_level,lr_scored,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
smote_nc_level,lr_penalized,moderato,354,315,39,0.8898305084745762,0.8529363658220593,0.9183549230900426
smote_nc_level,lr_penalized,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
smote_nc_level,lr_penalized,molto alto,21,20,1,0.9523809523809523,0.7733063992587744,0.9915440121901736
smote_nc_level,random_forest,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
smote_nc_level,random_forest,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
smote_nc_level,random_forest,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
smote_nc_level,xgboost,moderato,354,318,36,0.8983050847457628,0.8624228260105533,0.9256356648344204
smote_nc_level,xgboost,alto,50,46,4,0.92,0.8116175308165716,0.9684504859114069
smote_nc_level,xgboost,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
ctgan,lr_scored,moderato,354,319,35,0.9011299435028248,0.8655990605085782,0.9280484976473529
ctgan,lr_scored,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
ctgan,lr_scored,molto alto,21,17,4,0.8095238095238095,0.5999943530979508,0.9233243494723822
ctgan,lr_penalized,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
ctgan,lr_penalized,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
ctgan,lr_penalized,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
ctgan,random_forest,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
ctgan,random_forest,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
ctgan,random_forest,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
ctgan,xgboost,moderato,354,319,35,0.9011299435028248,0.8655990605085782,0.9280484976473529
ctgan,xgboost,alto,50,46,4,0.92,0.8116175308165716,0.9684504859114069
ctgan,xgboost,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
ctgan_level,lr_scored,moderato,354,323,31,0.9124293785310734,0.8783816948253443,0.9376221325744155
ctgan_level,lr_scored,alto,50,45,5,0.9,0.7863976856252034,0.9565242350681095
ctgan_level,lr_scored,molto alto,21,15,6,0.7142857142857143,0.5004361928391441,0.8618613704787788
ctgan_level,lr_penalized,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
ctgan_level,lr_penalized,alto,50,48,2,0.96,0.8653990931249297,0.9889611156723802
ctgan_level,lr_penalized,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
ctgan_level,random_forest,moderato,354,320,34,0.903954802259887,0.8687827672964346,0.9304538581704536
ctgan_level,random_forest,alto,50,45,5,0.9,0.7863976856252034,0.9565242350681095
ctgan_level,random_forest,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
ctgan_level,xgboost,moderato,354,318,36,0.8983050847457628,0.8624228260105533,0.9256356648344204
ctgan_level,xgboost,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
ctgan_level,xgboost,molto alto,21,18,3,0.8571428571428571,0.6536393971937906,0.9501898750027473
