technique,model,level,band,n
none,lr_scored,basso,1,3618
none,lr_scored,basso,2,265
none,lr_scored,basso,3,31
none,lr_scored,basso,4,11
none,lr_scored,moderato,1,265
none,lr_scored,moderato,2,75
none,lr_scored,moderato,3,10
none,lr_scored,moderato,4,4
none,lr_scored,alto,1,32
none,lr_scored,alto,2,9
none,lr_scored,alto,3,6
none,lr_scored,alto,4,3
none,lr_scored,molto alto,1,10
none,lr_scored,molto alto,2,5
none,lr_scored,molto alto,3,3
none,lr_scored,molto alto,4,3
none,lr_penalized,basso,1,3632
none,lr_penalized,basso,2,249
none,lr_penalized,basso,3,34
none,lr_penalized,basso,4,10
none,lr_penalized,moderato,1,254
none,lr_penalized,moderato,2,82
none,lr_penalized,moderato,3,10
none,lr_penalized,moderato,4,8
none,lr_penalized,alto,1,31
none,lr_penalized,alto,2,14
none,lr_penalized,alto,3,2
none,lr_penalized,alto,4,3
none,lr_penalized,molto alto,1,8
none,lr_penalized,molto alto,2,9
none,lr_penalized,molto alto,3,4
none,lr_penalized,molto alto,4,0
none,random_forest,basso,1,3625
none,random_forest,basso,2,262
none,random_forest,basso,3,30
none,random_forest,basso,4,8
none,random_forest,moderato,1,256
none,random_forest,moderato,2,79
none,random_forest,moderato,3,12
none,random_forest,moderato,4,7
none,random_forest,alto,1,35
none,random_forest,alto,2,6
none,random_forest,alto,3,6
none,random_forest,alto,4,3
none,random_forest,molto alto,1,9
none,random_forest,molto alto,2,7
none,random_forest,molto alto,3,2
none,random_forest,molto alto,4,3
none,xgboost,basso,1,3631
none,xgboost,basso,2,258
none,xgboost,basso,3,28
none,xgboost,basso,4,8
none,xgboost,moderato,1,255
none,xgboost,moderato,2,82
none,xgboost,moderato,3,12
none,xgboost,moderato,4,5
none,xgboost,alto,1,32
none,xgboost,alto,2,9
none,xgboost,alto,3,6
none,xgboost,alto,4,3
none,xgboost,molto alto,1,7
none,xgboost,molto alto,2,5
none,xgboost,molto alto,3,4
none,xgboost,molto alto,4,5
class_weight,lr_scored,basso,1,3618
class_weight,lr_scored,basso,2,267
class_weight,lr_scored,basso,3,31
class_weight,lr_scored,basso,4,9
class_weight,lr_scored,moderato,1,264
class_weight,lr_scored,moderato,2,75
class_weight,lr_scored,moderato,3,10
class_weight,lr_scored,moderato,4,5
class_weight,lr_scored,alto,1,32
class_weight,lr_scored,alto,2,9
class_weight,lr_scored,alto,3,6
class_weight,lr_scored,alto,4,3
class_weight,lr_scored,molto alto,1,11
class_weight,lr_scored,molto alto,2,3
class_weight,lr_scored,molto alto,3,3
class_weight,lr_scored,molto alto,4,4
class_weight,lr_penalized,basso,1,3626
class_weight,lr_penalized,basso,2,259
class_weight,lr_penalized,basso,3,27
class_weight,lr_penalized,basso,4,13
class_weight,lr_penalized,moderato,1,261
class_weight,lr_penalized,moderato,2,72
class_weight,lr_penalized,moderato,3,14
class_weight,lr_penalized,moderato,4,7
class_weight,lr_penalized,alto,1,30
class_weight,lr_penalized,alto,2,14
class_weight,lr_penalized,alto,3,5
class_weight,lr_penalized,alto,4,1
class_weight,lr_penalized,molto alto,1,8
class_weight,lr_penalized,molto alto,2,9
class_weight,lr_penalized,molto alto,3,4
class_weight,lr_penalized,molto alto,4,0
class_weight,random_forest,basso,1,3627
class_weight,random_forest,basso,2,255
class_weight,random_forest,basso,3,32
class_weight,random_forest,basso,4,11
class_weight,random_forest,moderato,1,255
class_weight,random_forest,moderato,2,82
class_weight,random_forest,moderato,3,11
class_weight,random_forest,moderato,4,6
class_weight,random_forest,alto,1,34
class_weight,random_forest,alto,2,8
class_weight,random_forest,alto,3,5
class_weight,random_forest,alto,4,3
class_weight,random_forest,molto alto,1,9
class_weight,random_forest,molto alto,2,9
class_weight,random_forest,molto alto,3,2
class_weight,random_forest,molto alto,4,1
class_weight,xgboost,basso,1,3620
class_weight,xgboost,basso,2,265
class_weight,xgboost,basso,3,31
class_weight,xgboost,basso,4,9
class_weight,xgboost,moderato,1,267
class_weight,xgboost,moderato,2,71
class_weight,xgboost,moderato,3,13
class_weight,xgboost,moderato,4,3
class_weight,xgboost,alto,1,30
class_weight,xgboost,alto,2,12
class_weight,xgboost,alto,3,5
class_weight,xgboost,alto,4,3
class_weight,xgboost,molto alto,1,8
class_weight,xgboost,molto alto,2,6
class_weight,xgboost,molto alto,3,1
class_weight,xgboost,molto alto,4,6
level_weight,lr_scored,basso,1,3619
level_weight,lr_scored,basso,2,263
level_weight,lr_scored,basso,3,34
level_weight,lr_scored,basso,4,9
level_weight,lr_scored,moderato,1,264
level_weight,lr_scored,moderato,2,76
level_weight,lr_scored,moderato,3,8
