number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.26443570007642975,2026-09-19 17:39:41.380263,2026-09-19 17:40:12.237178,0 days 00:00:30.856915,1.5323754268166232,0.8540232558422999,"{'C': 1.5323754268166232, 'l1_ratio': 0.8540232558422999}",,COMPLETE
1,0.25733447614992966,2026-09-19 17:40:12.238174,2026-09-19 17:40:25.958930,0 days 00:00:13.720756,0.0074593432857265485,0.9507143064099162,,,COMPLETE
2,0.26471880126453534,2026-09-19 17:40:25.958930,2026-09-19 17:40:40.302089,0 days 00:00:14.343159,0.4570563099801455,0.5986584841970366,,,COMPLETE
3,0.24896947463634675,2026-09-19 17:40:40.302089,2026-09-19 17:40:40.587438,0 days 00:00:00.285349,0.0006026889128682511,0.15599452033620265,,,COMPLETE
4,0.09770114942528736,2026-09-19 17:40:40.587438,2026-09-19 17:40:40.654868,0 days 00:00:00.067430,0.00019517224641449495,0.8661761457749352,,,COMPLETE
5,0.26751155787078434,2026-09-19 17:40:40.654868,2026-09-19 17:40:45.223669,0 days 00:00:04.568801,0.10129197956845731,0.7080725777960455,,,COMPLETE
6,0.09770114942528736,2026-09-19 17:40:45.223669,2026-09-19 17:40:45.232703,0 days 00:00:00.009034,0.00012674255898937226,0.9699098521619943,,,PRUNED
7,0.26397686368756224,2026-09-19 17:40:45.232703,2026-09-19 17:41:11.569898,0 days 00:00:26.337195,1.452824663751602,0.21233911067827616,,,COMPLETE
8,0.16719169437437306,2026-09-19 17:41:11.569898,2026-09-19 17:41:11.624565,0 days 00:00:00.054667,0.0008111941985431928,0.18340450985343382,,,PRUNED
9,0.17607137092123826,2026-09-19 17:41:11.624565,2026-09-19 17:41:11.680506,0 days 00:00:00.055941,0.0033205591037519565,0.5247564316322378,,,PRUNED
10,0.2659992283455718,2026-09-19 17:41:11.680506,2026-09-19 17:41:14.699103,0 days 00:00:03.018597,0.05456248170220447,0.2487484494848381,,"{""C"": 0.05456248170220447, ""l1_ratio"": 0.2487484494848381}",COMPLETE
