number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.23789520802386507,2026-09-19 17:34:18.563758,2026-09-19 17:34:19.326618,0 days 00:00:00.762860,0.005075359418213231,0.01043954168087604,"{'C': 0.005075359418213231, 'l1_ratio': 0.01043954168087604}",,COMPLETE
1,0.22050256806227148,2026-09-19 17:34:19.326618,2026-09-19 17:34:28.402456,0 days 00:00:09.075838,0.0074593432857265485,0.9507143064099162,,,COMPLETE
2,0.22546223291915166,2026-09-19 17:34:28.402456,2026-09-19 17:34:37.426472,0 days 00:00:09.024016,0.4570563099801455,0.5986584841970366,,,COMPLETE
3,0.20656839271108632,2026-09-19 17:34:37.426472,2026-09-19 17:34:37.626780,0 days 00:00:00.200308,0.0006026889128682511,0.15599452033620265,,,COMPLETE
4,0.09770114942528736,2026-09-19 17:34:37.626780,2026-09-19 17:34:37.666187,0 days 00:00:00.039407,0.00019517224641449495,0.8661761457749352,,,COMPLETE
5,0.2254644588833717,2026-09-19 17:34:37.666187,2026-09-19 17:34:40.184307,0 days 00:00:02.518120,0.10129197956845731,0.7080725777960455,,,COMPLETE
6,0.09770114942528736,2026-09-19 17:34:40.184307,2026-09-19 17:34:40.192822,0 days 00:00:00.008515,0.00012674255898937226,0.9699098521619943,,,PRUNED
7,0.22191085517111336,2026-09-19 17:34:40.193685,2026-09-19 17:35:01.682922,0 days 00:00:21.489237,1.452824663751602,0.21233911067827616,,,COMPLETE
8,0.2252415167605732,2026-09-19 17:35:01.682922,2026-09-19 17:35:01.722076,0 days 00:00:00.039154,0.0008111941985431928,0.18340450985343382,,,PRUNED
9,0.2268731022514503,2026-09-19 17:35:01.722076,2026-09-19 17:35:01.763589,0 days 00:00:00.041513,0.0033205591037519565,0.5247564316322378,,,PRUNED
10,0.23200938350244735,2026-09-19 17:35:01.763589,2026-09-19 17:35:03.041655,0 days 00:00:01.278066,0.024720782997502744,0.17102773421218476,,"{""C"": 0.024720782997502744, ""l1_ratio"": 0.17102773421218476}",COMPLETE
11,0.23912744901483912,2026-09-19 17:35:03.041655,2026-09-19 17:35:03.361230,0 days 00:00:00.319575,0.0439858802588136,0.07254133181697826,,"{""C"": 0.0439858802588136, ""l1_ratio"": 0.07254133181697826}",PRUNED
12,0.23172404829467846,2026-09-19 17:35:03.361230,2026-09-19 17:35:04.948018,0 days 00:00:01.586788,0.037425032486462076,0.3538235887368425,,"{""C"": 0.037425032486462076, ""l1_ratio"": 0.3538235887368425}",COMPLETE
13,0.23655900913964878,2026-09-19 17:35:04.948018,2026-09-19 17:35:17.267568,0 days 00:00:12.319550,0.011490645053383822,0.2502848833064473,,"{""C"": 0.011490645053383822, ""l1_ratio"": 0.2502848833064473}",COMPLETE
14,0.24305840041469162,2026-09-19 17:35:17.267568,2026-09-19 17:35:29.547270,0 days 00:00:12.279702,0.0015587380260737027,0.014670017969031213,,"{""C"": 0.0015587380260737027, ""l1_ratio"": 0.014670017969031213}",COMPLETE
15,0.24141758321314022,2026-09-19 17:35:29.547270,2026-09-19 17:35:42.044013,0 days 00:00:12.496743,0.0014774578632526575,0.04699448652994931,,"{""C"": 0.0014774578632526575, ""l1_ratio"": 0.04699448652994931}",COMPLETE
16,0.09770114942528736,2026-09-19 17:35:42.044013,2026-09-19 17:35:42.052997,0 days 00:00:00.008984,0.00011638142281027642,0.4651488443162874,,"{""C"": 0.00011638142281027642, ""l1_ratio"": 0.4651488443162874}",PRUNED
17,0.24547901152045742,2026-09-19 17:35:42.052997,2026-09-19 17:35:42.112499,0 days 00:00:00.059502,0.0002839252137254146,0.0047759700626185,,"{""C"": 0.0002839252137254146, ""l1_ratio"": 0.0047759700626185}",PRUNED
18,0.22476294827346444,2026-09-19 17:35:42.112499,2026-09-19 17:35:42.155112,0 days 00:00:00.042613,0.002687023979812983,0.373842851939287,,"{""C"": 0.002687023979812983, ""l1_ratio"": 0.373842851939287}",PRUNED
19,0.24105836862603774,2026-09-19 17:35:42.155112,2026-09-19 17:36:03.763392,0 days 00:00:21.608280,0.0016771209241838812,0.0507588924671183,,"{""C"": 0.0016771209241838812, ""l1_ratio"": 0.0507588924671183}",COMPLETE
20,0.09770114942528736,2026-09-19 17:36:03.763392,2026-09-19 17:36:03.780514,0 days 00:00:00.017122,0.00013429080273816285,0.17156825765697947,,"{""C"": 0.00013429080273816285, ""l1_ratio"": 0.17156825765697947}",PRUNED
21,0.2426460018482271,2026-09-19 17:36:03.780514,2026-09-19 17:36:15.742593,0 days 00:00:11.962079,0.0010440819116961351,0.020607939438487294,,"{""C"": 0.0010440819116961351, ""l1_ratio"": 0.020607939438487294}",COMPLETE
22,0.09770114942528736,2026-09-19 17:36:15.742593,2026-09-19 17:36:15.761646,0 days 00:00:00.019053,0.0005899879581518852,0.3140436350787891,,"{""C"": 0.0005899879581518852, ""l1_ratio"": 0.3140436350787891}",PRUNED
23,0.24651601278255106,2026-09-19 17:36:15.761646,2026-09-19 17:36:27.239320,0 days 00:00:11.477674,0.005311819946725773,0.09814838180767178,,"{""C"": 0.005311819946725773, ""l1_ratio"": 0.09814838180767178}",PRUNED
