number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.23338752709745555,2026-09-19 20:40:19.914588,2026-09-19 20:40:21.970592,0 days 00:00:02.056004,0.005075359418213231,0.01043954168087604,"{'C': 0.005075359418213231, 'l1_ratio': 0.01043954168087604}",,COMPLETE
1,0.23147093529334742,2026-09-19 20:40:21.970592,2026-09-19 20:40:22.710706,0 days 00:00:00.740114,0.0074593432857265485,0.9507143064099162,,,COMPLETE
2,0.22445007567875624,2026-09-19 20:40:22.710706,2026-09-19 20:41:18.477306,0 days 00:00:55.766600,0.4570563099801455,0.5986584841970366,,,COMPLETE
3,0.2297502189026336,2026-09-19 20:41:18.477306,2026-09-19 20:41:18.932052,0 days 00:00:00.454746,0.0006026889128682511,0.15599452033620265,,,COMPLETE
4,0.09770114942528736,2026-09-19 20:41:18.932052,2026-09-19 20:41:19.117861,0 days 00:00:00.185809,0.00019517224641449495,0.8661761457749352,,,COMPLETE
5,0.22899494306010756,2026-09-19 20:41:19.117861,2026-09-19 20:41:36.203814,0 days 00:00:17.085953,0.10129197956845731,0.7080725777960455,,,COMPLETE
6,0.09770114942528736,2026-09-19 20:41:36.203814,2026-09-19 20:41:36.230264,0 days 00:00:00.026450,0.00012674255898937226,0.9699098521619943,,,PRUNED
7,0.22132062741198463,2026-09-19 20:41:36.230264,2026-09-19 20:43:19.749526,0 days 00:01:43.519262,1.452824663751602,0.21233911067827616,,,COMPLETE
8,0.23040033403745253,2026-09-19 20:43:19.749526,2026-09-19 20:43:19.979646,0 days 00:00:00.230120,0.0008111941985431928,0.18340450985343382,,,PRUNED
9,0.2366638696177923,2026-09-19 20:43:19.979646,2026-09-19 20:43:20.196626,0 days 00:00:00.216980,0.0033205591037519565,0.5247564316322378,,,PRUNED
10,0.2615416241083615,2026-09-19 20:43:20.196626,2026-09-19 20:43:21.598047,0 days 00:00:01.401421,0.024720782997502744,0.17102773421218476,,"{""C"": 0.024720782997502744, ""l1_ratio"": 0.17102773421218476}",PRUNED
11,0.22296185818245204,2026-09-19 20:43:21.598047,2026-09-19 20:43:21.776585,0 days 00:00:00.178538,0.003048005883436642,0.938812127860837,,"{""C"": 0.003048005883436642, ""l1_ratio"": 0.938812127860837}",PRUNED
12,0.09770114942528736,2026-09-19 20:43:21.776585,2026-09-19 20:43:21.848066,0 days 00:00:00.071481,0.00013692165228913197,0.41219822417980856,,"{""C"": 0.00013692165228913197, ""l1_ratio"": 0.41219822417980856}",PRUNED
13,0.23400529592654987,2026-09-19 20:43:21.848066,2026-09-19 20:43:22.045334,0 days 00:00:00.197268,0.004258459949606954,0.7538591020390893,,"{""C"": 0.004258459949606954, ""l1_ratio"": 0.7538591020390893}",PRUNED
14,0.26148775932756063,2026-09-19 20:43:22.045334,2026-09-19 20:43:23.751203,0 days 00:00:01.705869,0.05449280398972806,0.4024251129518318,,"{""C"": 0.05449280398972806, ""l1_ratio"": 0.4024251129518318}",PRUNED
15,0.22499593926387412,2026-09-19 20:43:23.751203,2026-09-19 20:45:05.097161,0 days 00:01:41.345958,0.5183273603525624,0.9469618763901493,,"{""C"": 0.5183273603525624, ""l1_ratio"": 0.9469618763901493}",COMPLETE
16,0.22459241353032736,2026-09-19 20:45:05.097161,2026-09-19 20:45:21.741614,0 days 00:00:16.644453,0.19265780934474408,0.06564551042267312,,"{""C"": 0.19265780934474408, ""l1_ratio"": 0.06564551042267312}",COMPLETE
17,0.23548704231056705,2026-09-19 20:45:21.741614,2026-09-19 20:45:24.601555,0 days 00:00:02.859941,0.02243253494518501,0.3784433457674397,,"{""C"": 0.02243253494518501, ""l1_ratio"": 0.3784433457674397}",COMPLETE
18,0.2468981293935945,2026-09-19 20:45:24.601555,2026-09-19 20:45:24.990337,0 days 00:00:00.388782,0.004711931571481054,0.295044194219504,,"{""C"": 0.004711931571481054, ""l1_ratio"": 0.295044194219504}",PRUNED
19,0.23303801878259695,2026-09-19 20:45:24.990337,2026-09-19 20:45:28.793723,0 days 00:00:03.803386,0.010209282912782676,0.05561481834941656,,"{""C"": 0.010209282912782676, ""l1_ratio"": 0.05561481834941656}",COMPLETE
20,0.09770114942528736,2026-09-19 20:45:28.793723,2026-09-19 20:45:28.864310,0 days 00:00:00.070587,0.0005128412740794857,0.3986558641574963,,"{""C"": 0.0005128412740794857, ""l1_ratio"": 0.3986558641574963}",PRUNED
21,0.26094777307609707,2026-09-19 20:45:28.864310,2026-09-19 20:45:29.741646,0 days 00:00:00.877336,0.0182469880734201,0.006084757868949894,,"{""C"": 0.0182469880734201, ""l1_ratio"": 0.006084757868949894}",PRUNED
22,0.24189295238648076,2026-09-19 20:45:29.741646,2026-09-19 20:45:29.915683,0 days 00:00:00.174037,0.0002219043596966656,0.010430173634464357,,"{""C"": 0.0002219043596966656, ""l1_ratio"": 0.010430173634464357}",PRUNED
23,0.2636640138990023,2026-09-19 20:45:29.915683,2026-09-19 20:45:30.142625,0 days 00:00:00.226942,0.0018928885032755425,0.06301329880999552,,"{""C"": 0.0018928885032755425, ""l1_ratio"": 0.06301329880999552}",PRUNED
24,0.26088784894774575,2026-09-19 20:45:30.143633,2026-09-19 20:45:31.657735,0 days 00:00:01.514102,0.04450666501999691,0.2673495221365913,,"{""C"": 0.04450666501999691, ""l1_ratio"": 0.2673495221365913}",PRUNED
25,0.2645493736906524,2026-09-19 20:45:31.657735,2026-09-19 20:45:32.250474,0 days 00:00:00.592739,0.01254007605654503,0.5833153495539658,,"{""C"": 0.01254007605654503, ""l1_ratio"": 0.5833153495539658}",PRUNED
26,0.09770114942528736,2026-09-19 20:45:32.250474,2026-09-19 20:45:32.356883,0 days 00:00:00.106409,0.0009320890191162919,0.6461904739704569,,"{""C"": 0.0009320890191162919, ""l1_ratio"": 0.6461904739704569}",PRUNED
27,0.2641647047065109,2026-09-19 20:45:32.356883,2026-09-19 20:45:32.870969,0 days 00:00:00.514086,0.009619010075053431,0.4008997921309635,,"{""C"": 0.009619010075053431, ""l1_ratio"": 0.4008997921309635}",PRUNED
28,0.2647634273457206,2026-09-19 20:45:32.870969,2026-09-19 20:46:04.216638,0 days 00:00:31.345669,9.551743658898701,0.4247929610827382,,"{""C"": 9.551743658898701, ""l1_ratio"": 0.4247929610827382}",PRUNED
29,0.23455531752477646,2026-09-19 20:46:04.216638,2026-09-19 20:46:06.868241,0 days 00:00:02.651603,0.006840282752845791,0.05302783580619612,,"{""C"": 0.006840282752845791, ""l1_ratio"": 0.05302783580619612}",COMPLETE
