number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.2543034088452716,2026-09-19 21:50:13.974387,2026-09-19 21:50:17.414652,0 days 00:00:03.440265,0.5390090454315083,0.023902178662731973,1,997,0.9202492176282521,2.942080144851797,0.7932307973020875,"{'n_estimators': 997, 'learning_rate': 0.023902178662731973, 'max_depth': 1, 'subsample': 0.7932307973020875, 'colsample_bytree': 0.5390090454315083, 'reg_alpha': 0.9202492176282521, 'reg_lambda': 2.942080144851797}",,COMPLETE
1,0.19697313122385127,2026-09-19 21:50:17.414652,2026-09-19 21:50:22.618832,0 days 00:00:05.204180,0.5780093202212182,0.2536999076681772,9,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,,COMPLETE
2,0.22642812735024145,2026-09-19 21:50:22.618832,2026-09-19 21:50:36.181936,0 days 00:00:13.563104,0.9849549260809971,0.07725378389307355,9,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,,COMPLETE
3,0.21950402938751018,2026-09-19 21:50:36.181936,2026-09-19 21:50:39.580529,0 days 00:00:03.398593,0.7159725093210578,0.018659959624904916,4,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,,COMPLETE
4,0.21733244134407625,2026-09-19 21:50:39.580529,2026-09-19 21:50:44.769937,0 days 00:00:05.189408,0.8925879806965068,0.027010527749605478,5,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,,COMPLETE
5,0.23713411669201542,2026-09-19 21:50:44.769937,2026-09-19 21:51:10.407615,0 days 00:00:25.637678,0.5325257964926398,0.011711509955524094,8,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,,COMPLETE
6,0.1724221631586989,2026-09-19 21:51:10.407615,2026-09-19 21:51:11.368082,0 days 00:00:00.960467,0.7200762468698007,0.028180680291847244,2,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,,PRUNED
7,0.172175627082085,2026-09-19 21:51:11.368082,2026-09-19 21:51:11.793685,0 days 00:00:00.425603,0.6558555380447055,0.22038218939289875,4,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,,PRUNED
8,0.16170335669281205,2026-09-19 21:51:11.793685,2026-09-19 21:51:12.738572,0 days 00:00:00.944887,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,,PRUNED
9,0.19072236287949218,2026-09-19 21:51:12.738572,2026-09-19 21:51:13.168130,0 days 00:00:00.429558,0.6943386448447411,0.01947558230629543,1,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,,PRUNED
10,0.1708119730624573,2026-09-19 21:51:13.168130,2026-09-19 21:51:20.694775,0 days 00:00:07.526645,0.5347932177377854,0.013773977335445541,11,1102,0.03773659658146622,0.7613488583538435,0.8737239523738184,,"{""colsample_bytree"": 0.5347932177377854, ""learning_rate"": 0.013773977335445541, ""max_depth"": 11, ""n_estimators"": 1102, ""reg_alpha"": 0.03773659658146622, ""reg_lambda"": 0.7613488583538435, ""subsample"": 0.8737239523738184}",PRUNED
11,0.2358071526093834,2026-09-19 21:51:20.694775,2026-09-19 21:51:51.551312,0 days 00:00:30.856537,0.5981546428119182,0.0205453252867175,10,861,3.412869184899316,4.639135285755491,0.6735468362386879,,"{""colsample_bytree"": 0.5981546428119182, ""learning_rate"": 0.0205453252867175, ""max_depth"": 10, ""n_estimators"": 861, ""reg_alpha"": 3.412869184899316, ""reg_lambda"": 4.639135285755491, ""subsample"": 0.6735468362386879}",COMPLETE
