number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.2758442532900366,2026-09-19 21:44:24.781894,2026-09-19 21:44:28.219595,0 days 00:00:03.437701,0.6920285727592352,0.012425083583976959,1,1175,0.44057595077798617,0.5076939190448184,0.7850939703923308,"{'n_estimators': 1175, 'learning_rate': 0.012425083583976959, 'max_depth': 1, 'subsample': 0.7850939703923308, 'colsample_bytree': 0.6920285727592352, 'reg_alpha': 0.44057595077798617, 'reg_lambda': 0.5076939190448184}",,COMPLETE
1,0.24048236830643166,2026-09-19 21:44:28.219595,2026-09-19 21:44:32.473870,0 days 00:00:04.254275,0.5780093202212182,0.2536999076681772,9,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,,COMPLETE
2,0.2467492754104761,2026-09-19 21:44:32.473870,2026-09-19 21:44:43.314758,0 days 00:00:10.840888,0.9849549260809971,0.07725378389307355,9,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,,COMPLETE
3,0.24611755401355087,2026-09-19 21:44:43.314758,2026-09-19 21:44:46.376764,0 days 00:00:03.062006,0.7159725093210578,0.018659959624904916,4,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,,COMPLETE
4,0.24362587092362425,2026-09-19 21:44:46.376764,2026-09-19 21:44:51.316860,0 days 00:00:04.940096,0.8925879806965068,0.027010527749605478,5,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,,COMPLETE
5,0.2522841631784526,2026-09-19 21:44:51.316860,2026-09-19 21:45:13.274662,0 days 00:00:21.957802,0.5325257964926398,0.011711509955524094,8,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,,COMPLETE
6,0.24983783765693396,2026-09-19 21:45:13.274662,2026-09-19 21:45:17.475644,0 days 00:00:04.200982,0.7200762468698007,0.028180680291847244,2,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,,COMPLETE
7,0.18829872659357572,2026-09-19 21:45:17.475644,2026-09-19 21:45:17.871088,0 days 00:00:00.395444,0.6558555380447055,0.22038218939289875,4,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,,PRUNED
8,0.21155533843760196,2026-09-19 21:45:17.871088,2026-09-19 21:45:18.670840,0 days 00:00:00.799752,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,,PRUNED
9,0.2520236528875853,2026-09-19 21:45:18.670840,2026-09-19 21:45:19.596634,0 days 00:00:00.925794,0.6943386448447411,0.01947558230629543,1,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,,COMPLETE
10,0.25014279204177686,2026-09-19 21:45:19.596634,2026-09-19 21:45:45.183685,0 days 00:00:25.587051,0.5347932177377854,0.013773977335445541,11,1102,0.03773659658146622,0.7613488583538435,0.8737239523738184,,"{""colsample_bytree"": 0.5347932177377854, ""learning_rate"": 0.013773977335445541, ""max_depth"": 11, ""n_estimators"": 1102, ""reg_alpha"": 0.03773659658146622, ""reg_lambda"": 0.7613488583538435, ""subsample"": 0.8737239523738184}",PRUNED
11,0.24927643548904255,2026-09-19 21:45:45.183685,2026-09-19 21:46:06.575960,0 days 00:00:21.392275,0.6209254904616704,0.0205453252867175,10,858,3.348283822728499,4.402498604206688,0.6707804850696746,,"{""colsample_bytree"": 0.6209254904616704, ""learning_rate"": 0.0205453252867175, ""max_depth"": 10, ""n_estimators"": 858, ""reg_alpha"": 3.348283822728499, ""reg_lambda"": 4.402498604206688, ""subsample"": 0.6707804850696746}",PRUNED
12,0.2727710794524597,2026-09-19 21:46:06.575960,2026-09-19 21:46:09.483463,0 days 00:00:02.907503,0.6580793206706956,0.017403406177549582,1,1047,3.9300896311442273,2.290625278318012,0.7607915505601177,,"{""colsample_bytree"": 0.6580793206706956, ""learning_rate"": 0.017403406177549582, ""max_depth"": 1, ""n_estimators"": 1047, ""reg_alpha"": 3.9300896311442273, ""reg_lambda"": 2.290625278318012, ""subsample"": 0.7607915505601177}",COMPLETE
13,0.2678672882583014,2026-09-19 21:46:09.483463,2026-09-19 21:46:12.677244,0 days 00:00:03.193781,0.5445898986182511,0.01026800517206915,1,1122,1.9192500786782034,1.0796660747790712,0.692214664735927,,"{""colsample_bytree"": 0.5445898986182511, ""learning_rate"": 0.01026800517206915, ""max_depth"": 1, ""n_estimators"": 1122, ""reg_alpha"": 1.9192500786782034, ""reg_lambda"": 1.0796660747790712, ""subsample"": 0.692214664735927}",COMPLETE
14,0.26597343505310855,2026-09-19 21:46:12.677244,2026-09-19 21:46:15.388831,0 days 00:00:02.711587,0.6863618447341422,0.01200413413315239,1,887,1.703818321387979,1.8364082016513081,0.7005954034558004,,"{""colsample_bytree"": 0.6863618447341422, ""learning_rate"": 0.01200413413315239, ""max_depth"": 1, ""n_estimators"": 887, ""reg_alpha"": 1.703818321387979, ""reg_lambda"": 1.8364082016513081, ""subsample"": 0.7005954034558004}",COMPLETE
15,0.23297133056911556,2026-09-19 21:46:15.388831,2026-09-19 21:46:17.449142,0 days 00:00:02.060311,0.779935757630961,0.010779189926051914,4,1192,2.6721727604963337,0.962342000570674,0.6965777827357089,,"{""colsample_bytree"": 0.779935757630961, ""learning_rate"": 0.010779189926051914, ""max_depth"": 4, ""n_estimators"": 1192, ""reg_alpha"": 2.6721727604963337, ""reg_lambda"": 0.962342000570674, ""subsample"": 0.6965777827357089}",PRUNED
16,0.2742518274817313,2026-09-19 21:46:17.449142,2026-09-19 21:46:20.570443,0 days 00:00:03.121301,0.751717183892721,0.020583476775675902,1,1052,4.128195237814239,0.5731599893100019,0.8725384499358334,,"{""colsample_bytree"": 0.751717183892721, ""learning_rate"": 0.020583476775675902, ""max_depth"": 1, ""n_estimators"": 1052, ""reg_alpha"": 4.128195237814239, ""reg_lambda"": 0.5731599893100019, ""subsample"": 0.8725384499358334}",COMPLETE
17,0.2724539029777847,2026-09-19 21:46:20.570443,2026-09-19 21:46:23.544534,0 days 00:00:02.974091,0.6205083408560332,0.012781673439310965,1,1037,0.04569885864394241,1.172773694783136,0.8850554475782619,,"{""colsample_bytree"": 0.6205083408560332, ""learning_rate"": 0.012781673439310965, ""max_depth"": 1, ""n_estimators"": 1037, ""reg_alpha"": 0.04569885864394241, ""reg_lambda"": 1.172773694783136, ""subsample"": 0.8850554475782619}",COMPLETE
18,0.272101633966962,2026-09-19 21:46:23.544534,2026-09-19 21:46:26.868978,0 days 00:00:03.324444,0.8789038259777723,0.011960092416416587,1,1081,4.212415741919312,0.3281779379453812,0.9045768148655549,,"{""colsample_bytree"": 0.8789038259777723, ""learning_rate"": 0.011960092416416587, ""max_depth"": 1, ""n_estimators"": 1081, ""reg_alpha"": 4.212415741919312, ""reg_lambda"": 0.3281779379453812, ""subsample"": 0.9045768148655549}",COMPLETE
19,0.2558481074234002,2026-09-19 21:46:26.869975,2026-09-19 21:46:27.946565,0 days 00:00:01.076590,0.6888739932329557,0.010562322839135194,3,996,0.176172681041725,0.21530237031107347,0.7748514363257916,,"{""colsample_bytree"": 0.6888739932329557, ""learning_rate"": 0.010562322839135194, ""max_depth"": 3, ""n_estimators"": 996, ""reg_alpha"": 0.176172681041725, ""reg_lambda"": 0.21530237031107347, ""subsample"": 0.7748514363257916}",PRUNED
20,0.2710916707604175,2026-09-19 21:46:27.946565,2026-09-19 21:46:30.816092,0 days 00:00:02.869527,0.5739373908487756,0.011891171295107254,1,1007,1.9172231014174503,0.06021346082193091,0.8648200240567799,,"{""colsample_bytree"": 0.5739373908487756, ""learning_rate"": 0.011891171295107254, ""max_depth"": 1, ""n_estimators"": 1007, ""reg_alpha"": 1.9172231014174503, ""reg_lambda"": 0.06021346082193091, ""subsample"": 0.8648200240567799}",COMPLETE
