number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.1878700828659937,2026-09-19 20:22:30.151554,2026-09-19 20:22:36.497188,0 days 00:00:06.345634,0.5390090454315083,0.023902178662731973,1,997,0.9202492176282521,2.942080144851797,0.7932307973020875,"{'n_estimators': 997, 'learning_rate': 0.023902178662731973, 'max_depth': 1, 'subsample': 0.7932307973020875, 'colsample_bytree': 0.5390090454315083, 'reg_alpha': 0.9202492176282521, 'reg_lambda': 2.942080144851797}",,COMPLETE
1,0.2145360749762712,2026-09-19 20:22:36.497188,2026-09-19 20:22:50.484688,0 days 00:00:13.987500,0.5780093202212182,0.2536999076681772,9,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,,COMPLETE
2,0.22428754619517663,2026-09-19 20:22:50.484688,2026-09-19 20:23:37.770977,0 days 00:00:47.286289,0.9849549260809971,0.07725378389307355,9,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,,COMPLETE
3,0.20219595002382604,2026-09-19 20:23:37.770977,2026-09-19 20:23:49.212910,0 days 00:00:11.441933,0.7159725093210578,0.018659959624904916,4,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,,COMPLETE
4,0.20998218036002578,2026-09-19 20:23:49.212910,2026-09-19 20:24:04.281598,0 days 00:00:15.068688,0.8925879806965068,0.027010527749605478,5,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,,COMPLETE
5,0.22032678951408463,2026-09-19 20:24:04.281598,2026-09-19 20:24:57.938540,0 days 00:00:53.656942,0.5325257964926398,0.011711509955524094,8,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,,COMPLETE
6,0.1994307250001646,2026-09-19 20:24:57.938540,2026-09-19 20:25:12.447458,0 days 00:00:14.508918,0.7200762468698007,0.028180680291847244,2,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,,COMPLETE
7,0.16956294736991462,2026-09-19 20:25:12.447458,2026-09-19 20:25:14.073863,0 days 00:00:01.626405,0.6558555380447055,0.22038218939289875,4,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,,PRUNED
8,0.16940533274565756,2026-09-19 20:25:14.073863,2026-09-19 20:25:17.495659,0 days 00:00:03.421796,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,,PRUNED
9,0.1884367565612381,2026-09-19 20:25:17.495659,2026-09-19 20:25:18.317582,0 days 00:00:00.821923,0.6943386448447411,0.01947558230629543,1,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,,PRUNED
10,0.1604383015523436,2026-09-19 20:25:18.317582,2026-09-19 20:25:25.347858,0 days 00:00:07.030276,0.9609972575302882,0.15245367148015904,9,1087,4.873854971006914,2.4057825076225834,0.7978250331314947,,"{""colsample_bytree"": 0.9609972575302882, ""learning_rate"": 0.15245367148015904, ""max_depth"": 9, ""n_estimators"": 1087, ""reg_alpha"": 4.873854971006914, ""reg_lambda"": 2.4057825076225834, ""subsample"": 0.7978250331314947}",PRUNED
11,0.17699672166027972,2026-09-19 20:25:25.347858,2026-09-19 20:25:42.583830,0 days 00:00:17.235972,0.9886300947019407,0.0325108305146517,9,1017,4.1446682051786485,2.8563946030888117,0.6134700550461601,,"{""colsample_bytree"": 0.9886300947019407, ""learning_rate"": 0.0325108305146517, ""max_depth"": 9, ""n_estimators"": 1017, ""reg_alpha"": 4.1446682051786485, ""reg_lambda"": 2.8563946030888117, ""subsample"": 0.6134700550461601}",PRUNED
12,0.1843622001169446,2026-09-19 20:25:42.583830,2026-09-19 20:25:49.926011,0 days 00:00:07.342181,0.7852739324408416,0.15937153885689037,8,1095,3.591901910708762,2.7661563764745725,0.6124272242835047,,"{""colsample_bytree"": 0.7852739324408416, ""learning_rate"": 0.15937153885689037, ""max_depth"": 8, ""n_estimators"": 1095, ""reg_alpha"": 3.591901910708762, ""reg_lambda"": 2.7661563764745725, ""subsample"": 0.6124272242835047}",PRUNED
13,0.18336373220804184,2026-09-19 20:25:49.926011,2026-09-19 20:25:59.143906,0 days 00:00:09.217895,0.8683213987583671,0.06755972667306288,8,814,4.970763702311529,0.7290196016820998,0.6455847601993863,,"{""colsample_bytree"": 0.8683213987583671, ""learning_rate"": 0.06755972667306288, ""max_depth"": 8, ""n_estimators"": 814, ""reg_alpha"": 4.970763702311529, ""reg_lambda"": 0.7290196016820998, ""subsample"": 0.6455847601993863}",PRUNED
14,0.1926556813823657,2026-09-19 20:25:59.143906,2026-09-19 20:26:15.212754,0 days 00:00:16.068848,0.5133369627544255,0.013099823799710617,6,727,4.290406165290001,2.4590291992853945,0.6157413750940751,,"{""colsample_bytree"": 0.5133369627544255, ""learning_rate"": 0.013099823799710617, ""max_depth"": 6, ""n_estimators"": 727, ""reg_alpha"": 4.290406165290001, ""reg_lambda"": 2.4590291992853945, ""subsample"": 0.6157413750940751}",PRUNED
15,0.17731666894358963,2026-09-19 20:26:15.212754,2026-09-19 20:26:28.460771,0 days 00:00:13.248017,0.5922445750862725,0.03282140452036606,9,834,3.793581458954943,4.169939609800967,0.6474389718676329,,"{""colsample_bytree"": 0.5922445750862725, ""learning_rate"": 0.03282140452036606, ""max_depth"": 9, ""n_estimators"": 834, ""reg_alpha"": 3.793581458954943, ""reg_lambda"": 4.169939609800967, ""subsample"": 0.6474389718676329}",PRUNED
16,0.17899369248394778,2026-09-19 20:26:28.460771,2026-09-19 20:26:45.717775,0 days 00:00:17.257004,0.6849814696562426,0.020562891690840027,11,822,3.2981183261250893,1.499063074982494,0.6307059316811736,,"{""colsample_bytree"": 0.6849814696562426, ""learning_rate"": 0.020562891690840027, ""max_depth"": 11, ""n_estimators"": 822, ""reg_alpha"": 3.2981183261250893, ""reg_lambda"": 1.499063074982494, ""subsample"": 0.6307059316811736}",PRUNED
17,0.17865657483827835,2026-09-19 20:26:45.717775,2026-09-19 20:27:12.295816,0 days 00:00:26.578041,0.6942567531543506,0.014744225632002075,12,1116,4.777106457776439,3.4684257735651047,0.6137185851070082,,"{""colsample_bytree"": 0.6942567531543506, ""learning_rate"": 0.014744225632002075, ""max_depth"": 12, ""n_estimators"": 1116, ""reg_alpha"": 4.777106457776439, ""reg_lambda"": 3.4684257735651047, ""subsample"": 0.6137185851070082}",PRUNED
18,0.1650287659252671,2026-09-19 20:27:12.295816,2026-09-19 20:27:23.381396,0 days 00:00:11.085580,0.8011012369010718,0.05981932114386864,7,1187,4.8516378787072645,4.694897978626128,0.6328725609491931,,"{""colsample_bytree"": 0.8011012369010718, ""learning_rate"": 0.05981932114386864, ""max_depth"": 7, ""n_estimators"": 1187, ""reg_alpha"": 4.8516378787072645, ""reg_lambda"": 4.694897978626128, ""subsample"": 0.6328725609491931}",PRUNED
19,0.1775049676516161,2026-09-19 20:27:23.381396,2026-09-19 20:27:43.499204,0 days 00:00:20.117808,0.9713896668134925,0.01093422287232613,7,975,4.74589412706914,3.3448482566435653,0.7106443947649822,,"{""colsample_bytree"": 0.9713896668134925, ""learning_rate"": 0.01093422287232613, ""max_depth"": 7, ""n_estimators"": 975, ""reg_alpha"": 4.74589412706914, ""reg_lambda"": 3.3448482566435653, ""subsample"": 0.7106443947649822}",PRUNED
20,0.17158005802364723,2026-09-19 20:27:43.499204,2026-09-19 20:27:50.091985,0 days 00:00:06.592781,0.6833124107959538,0.09018907267978876,10,873,4.899788533322955,2.729252899505606,0.7063111791165155,,"{""colsample_bytree"": 0.6833124107959538, ""learning_rate"": 0.09018907267978876, ""max_depth"": 10, ""n_estimators"": 873, ""reg_alpha"": 4.899788533322955, ""reg_lambda"": 2.729252899505606, ""subsample"": 0.7063111791165155}",PRUNED
21,0.18488045065392666,2026-09-19 20:27:50.091985,2026-09-19 20:27:59.327713,0 days 00:00:09.235728,0.5724359177281075,0.01080208320100092,7,934,4.8150301005595715,3.529839199582491,0.7423143851266534,,"{""colsample_bytree"": 0.5724359177281075, ""learning_rate"": 0.01080208320100092, ""max_depth"": 7, ""n_estimators"": 934, ""reg_alpha"": 4.8150301005595715, ""reg_lambda"": 3.529839199582491, ""subsample"": 0.7423143851266534}",PRUNED
22,0.17274104074055008,2026-09-19 20:27:59.327713,2026-09-19 20:28:02.336665,0 days 00:00:03.008952,0.6124939578538178,0.18972633359474342,8,538,0.48414482579348045,0.42049698120886925,0.8301152472053938,,"{""colsample_bytree"": 0.6124939578538178, ""learning_rate"": 0.18972633359474342, ""max_depth"": 8, ""n_estimators"": 538, ""reg_alpha"": 0.48414482579348045, ""reg_lambda"": 0.42049698120886925, ""subsample"": 0.8301152472053938}",PRUNED
