number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.227403443337864,2026-09-19 16:25:28.569032,2026-09-19 16:25:36.342324,0 days 00:00:07.773292,1.5323754268166232,0.8540232558422999,"{'C': 1.5323754268166232, 'l1_ratio': 0.8540232558422999}",,COMPLETE
1,0.09770114942528736,2026-09-19 16:25:36.342324,2026-09-19 16:25:36.380229,0 days 00:00:00.037905,0.0074593432857265485,0.9507143064099162,,,COMPLETE
2,0.2297258653491941,2026-09-19 16:25:36.380229,2026-09-19 16:25:38.880209,0 days 00:00:02.499980,0.4570563099801455,0.5986584841970366,,,COMPLETE
3,0.09770114942528736,2026-09-19 16:25:38.880209,2026-09-19 16:25:38.911738,0 days 00:00:00.031529,0.0006026889128682511,0.15599452033620265,,,COMPLETE
4,0.09770114942528736,2026-09-19 16:25:38.911738,2026-09-19 16:25:38.936566,0 days 00:00:00.024828,0.00019517224641449495,0.8661761457749352,,,COMPLETE
5,0.2412243538631869,2026-09-19 16:25:38.936566,2026-09-19 16:25:39.678010,0 days 00:00:00.741444,0.10129197956845731,0.7080725777960455,,,COMPLETE
6,0.09770114942528736,2026-09-19 16:25:39.678010,2026-09-19 16:25:39.683526,0 days 00:00:00.005516,0.00012674255898937226,0.9699098521619943,,,PRUNED
7,0.22777393662763062,2026-09-19 16:25:39.683526,2026-09-19 16:25:45.611515,0 days 00:00:05.927989,1.452824663751602,0.21233911067827616,,,COMPLETE
8,0.09770114942528736,2026-09-19 16:25:45.611515,2026-09-19 16:25:45.618027,0 days 00:00:00.006512,0.0008111941985431928,0.18340450985343382,,,PRUNED
9,0.09770114942528736,2026-09-19 16:25:45.618027,2026-09-19 16:25:45.625783,0 days 00:00:00.007756,0.0033205591037519565,0.5247564316322378,,,PRUNED
10,0.19183079886741183,2026-09-19 16:25:45.625783,2026-09-19 16:25:45.694384,0 days 00:00:00.068601,0.05456248170220447,0.2487484494848381,,"{""C"": 0.05456248170220447, ""l1_ratio"": 0.2487484494848381}",PRUNED
11,0.19167808685531618,2026-09-19 16:25:45.694384,2026-09-19 16:25:45.818758,0 days 00:00:00.124374,0.11145429575872412,0.5517944215845071,,"{""C"": 0.11145429575872412, ""l1_ratio"": 0.5517944215845071}",PRUNED
12,0.2395181471289587,2026-09-19 16:25:45.818758,2026-09-19 16:25:46.946453,0 days 00:00:01.127695,0.1240799306137886,0.7769698983442714,,"{""C"": 0.1240799306137886, ""l1_ratio"": 0.7769698983442714}",COMPLETE
13,0.24785133099526555,2026-09-19 16:25:46.946453,2026-09-19 16:25:47.266742,0 days 00:00:00.320289,0.04584298380389323,0.7191968396637983,,"{""C"": 0.04584298380389323, ""l1_ratio"": 0.7191968396637983}",COMPLETE
14,0.22762610934016286,2026-09-19 16:25:47.266742,2026-09-19 16:25:57.262977,0 days 00:00:09.996235,4.216809540247626,0.5984783768695776,,"{""C"": 4.216809540247626, ""l1_ratio"": 0.5984783768695776}",PRUNED
15,0.16956036703881933,2026-09-19 16:25:57.262977,2026-09-19 16:25:57.297979,0 days 00:00:00.035002,0.014419831207458378,0.781670743001245,,"{""C"": 0.014419831207458378, ""l1_ratio"": 0.781670743001245}",PRUNED
16,0.09770114942528736,2026-09-19 16:25:57.297979,2026-09-19 16:25:57.313028,0 days 00:00:00.015049,0.00011638142281027642,0.4651488443162874,,"{""C"": 0.00011638142281027642, ""l1_ratio"": 0.4651488443162874}",PRUNED
