number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.25589497251981413,2026-09-19 16:38:33.988924,2026-09-19 16:38:36.313478,0 days 00:00:02.324554,0.6920285727592352,0.012425083583976959,1,1175,0.44057595077798617,0.5076939190448184,0.7850939703923308,"{'n_estimators': 1175, 'learning_rate': 0.012425083583976959, 'max_depth': 1, 'subsample': 0.7850939703923308, 'colsample_bytree': 0.6920285727592352, 'reg_alpha': 0.44057595077798617, 'reg_lambda': 0.5076939190448184}",,COMPLETE
1,0.2044525343240307,2026-09-19 16:38:36.313478,2026-09-19 16:38:38.118530,0 days 00:00:01.805052,0.5780093202212182,0.2536999076681772,9,574,0.7799726016810132,0.2904180608409973,0.8394633936788146,,,COMPLETE
2,0.21709146943600893,2026-09-19 16:38:38.118530,2026-09-19 16:38:42.334803,0 days 00:00:04.216273,0.9849549260809971,0.07725378389307355,9,1067,4.162213204002109,1.0616955533913808,0.608233797718321,,,COMPLETE
3,0.22129426507528427,2026-09-19 16:38:42.334803,2026-09-19 16:38:44.139530,0 days 00:00:01.804727,0.7159725093210578,0.018659959624904916,4,382,1.4561457009902097,3.0592644736118975,0.8099025726528951,,,COMPLETE
4,0.22235503794741462,2026-09-19 16:38:44.139530,2026-09-19 16:38:46.974819,0 days 00:00:02.835289,0.8925879806965068,0.027010527749605478,5,339,0.9983689107917987,2.571172192068058,0.7824279936868144,,,COMPLETE
5,0.2432254570376427,2026-09-19 16:38:46.974819,2026-09-19 16:38:48.238957,0 days 00:00:01.264138,0.5325257964926398,0.011711509955524094,8,793,4.7444276862666666,4.828160165372797,0.6682096494749166,,,PRUNED
6,0.24804664341887803,2026-09-19 16:38:48.238957,2026-09-19 16:38:50.844555,0 days 00:00:02.605598,0.7200762468698007,0.028180680291847244,2,1009,0.6101911742238941,2.475884550556351,0.8736932106048627,,,COMPLETE
7,0.22527939577451195,2026-09-19 16:38:50.844555,2026-09-19 16:38:51.021472,0 days 00:00:00.176917,0.6558555380447055,0.22038218939289875,4,234,2.600340105889054,2.7335513967163982,0.8650089137415928,,,PRUNED
8,0.24224927448481645,2026-09-19 16:38:51.021472,2026-09-19 16:38:51.327448,0 days 00:00:00.305976,0.9474136752138245,0.27051668818999286,10,385,2.9894998940554256,4.609371175115584,0.9757995766256756,,,PRUNED
9,0.24379995536328025,2026-09-19 16:38:51.327448,2026-09-19 16:38:51.437035,0 days 00:00:00.109587,0.6943386448447411,0.01947558230629543,1,288,1.3567451588694794,4.143687545759647,0.7301321323053057,,,PRUNED
10,0.24018921576178315,2026-09-19 16:38:51.437035,2026-09-19 16:38:53.402783,0 days 00:00:01.965748,0.5347932177377854,0.013773977335445541,11,1102,0.03773659658146622,0.7613488583538435,0.8737239523738184,,"{""colsample_bytree"": 0.5347932177377854, ""learning_rate"": 0.013773977335445541, ""max_depth"": 11, ""n_estimators"": 1102, ""reg_alpha"": 0.03773659658146622, ""reg_lambda"": 0.7613488583538435, ""subsample"": 0.8737239523738184}",PRUNED
11,0.24054212714678994,2026-09-19 16:38:53.402783,2026-09-19 16:38:54.422062,0 days 00:00:01.019279,0.7401121149549986,0.01506403008804933,4,1035,1.6469134461300503,1.9478043560080998,0.8325296306005651,,"{""colsample_bytree"": 0.7401121149549986, ""learning_rate"": 0.01506403008804933, ""max_depth"": 4, ""n_estimators"": 1035, ""reg_alpha"": 1.6469134461300503, ""reg_lambda"": 1.9478043560080998, ""subsample"": 0.8325296306005651}",PRUNED
12,0.25382453188789816,2026-09-19 16:38:54.422062,2026-09-19 16:38:54.885397,0 days 00:00:00.463335,0.7774536104248444,0.024948766083466772,2,916,0.10750955568257947,2.292175697006974,0.7586410759436393,,"{""colsample_bytree"": 0.7774536104248444, ""learning_rate"": 0.024948766083466772, ""max_depth"": 2, ""n_estimators"": 916, ""reg_alpha"": 0.10750955568257947, ""reg_lambda"": 2.292175697006974, ""subsample"": 0.7586410759436393}",PRUNED
13,0.24852861344196658,2026-09-19 16:38:54.885397,2026-09-19 16:38:56.673928,0 days 00:00:01.788531,0.5445898986182511,0.01026800517206915,1,1122,0.966178643434577,1.1607389450139913,0.692214664735927,,"{""colsample_bytree"": 0.5445898986182511, ""learning_rate"": 0.01026800517206915, ""max_depth"": 1, ""n_estimators"": 1122, ""reg_alpha"": 0.966178643434577, ""reg_lambda"": 1.1607389450139913, ""subsample"": 0.692214664735927}",COMPLETE
14,0.24045803672120672,2026-09-19 16:38:56.673928,2026-09-19 16:38:58.046219,0 days 00:00:01.372291,0.5130711635645995,0.01074378777968176,1,830,1.5980860665942602,1.1823184567252567,0.6789299194050737,,"{""colsample_bytree"": 0.5130711635645995, ""learning_rate"": 0.01074378777968176, ""max_depth"": 1, ""n_estimators"": 830, ""reg_alpha"": 1.5980860665942602, ""reg_lambda"": 1.1823184567252567, ""subsample"": 0.6789299194050737}",COMPLETE
15,0.2566862279383429,2026-09-19 16:38:58.046219,2026-09-19 16:38:59.743237,0 days 00:00:01.697018,0.6165682621724121,0.01766839532106345,1,954,0.2725575249663671,0.5745742765543792,0.6646511481091759,,"{""colsample_bytree"": 0.6165682621724121, ""learning_rate"": 0.01766839532106345, ""max_depth"": 1, ""n_estimators"": 954, ""reg_alpha"": 0.2725575249663671, ""reg_lambda"": 0.5745742765543792, ""subsample"": 0.6646511481091759}",COMPLETE
16,0.24811223386962789,2026-09-19 16:38:59.743237,2026-09-19 16:39:00.845689,0 days 00:00:01.102452,0.6412895380263379,0.012359298853289222,5,911,0.6623327651343408,0.7138884363219093,0.7105291695667247,,"{""colsample_bytree"": 0.6412895380263379, ""learning_rate"": 0.012359298853289222, ""max_depth"": 5, ""n_estimators"": 911, ""reg_alpha"": 0.6623327651343408, ""reg_lambda"": 0.7138884363219093, ""subsample"": 0.7105291695667247}",PRUNED
17,0.24918013926201257,2026-09-19 16:39:00.845689,2026-09-19 16:39:01.589403,0 days 00:00:00.743714,0.5810249870685249,0.04331878271002431,3,1147,0.8191604698659669,0.7439051917282588,0.6680653095330894,,"{""colsample_bytree"": 0.5810249870685249, ""learning_rate"": 0.04331878271002431, ""max_depth"": 3, ""n_estimators"": 1147, ""reg_alpha"": 0.8191604698659669, ""reg_lambda"": 0.7439051917282588, ""subsample"": 0.6680653095330894}",PRUNED
18,0.2622478922555294,2026-09-19 16:39:01.589403,2026-09-19 16:39:02.004923,0 days 00:00:00.415520,0.6157525332706536,0.023956293919260314,2,825,0.7539850897089417,0.9421583539247569,0.6147804419139841,,"{""colsample_bytree"": 0.6157525332706536, ""learning_rate"": 0.023956293919260314, ""max_depth"": 2, ""n_estimators"": 825, ""reg_alpha"": 0.7539850897089417, ""reg_lambda"": 0.9421583539247569, ""subsample"": 0.6147804419139841}",PRUNED
19,0.2561217471602919,2026-09-19 16:39:02.004923,2026-09-19 16:39:02.569142,0 days 00:00:00.564219,0.8649174147658506,0.01709453586340697,2,1124,0.9262986969204221,0.05062035385848773,0.7249251984094022,,"{""colsample_bytree"": 0.8649174147658506, ""learning_rate"": 0.01709453586340697, ""max_depth"": 2, ""n_estimators"": 1124, ""reg_alpha"": 0.9262986969204221, ""reg_lambda"": 0.05062035385848773, ""subsample"": 0.7249251984094022}",PRUNED
20,0.24228103499481687,2026-09-19 16:39:02.569142,2026-09-19 16:39:04.438594,0 days 00:00:01.869452,0.7057671221180657,0.010350828155028037,1,1166,1.1694767137160418,1.8542252319459658,0.7560725895089151,,"{""colsample_bytree"": 0.7057671221180657, ""learning_rate"": 0.010350828155028037, ""max_depth"": 1, ""n_estimators"": 1166, ""reg_alpha"": 1.1694767137160418, ""reg_lambda"": 1.8542252319459658, ""subsample"": 0.7560725895089151}",COMPLETE
21,0.2552303083837856,2026-09-19 16:39:04.438594,2026-09-19 16:39:04.820842,0 days 00:00:00.382248,0.6278361975407877,0.017589141570330327,1,1087,1.9905484974250824,1.0988242031501387,0.7494699914938301,,"{""colsample_bytree"": 0.6278361975407877, ""learning_rate"": 0.017589141570330327, ""max_depth"": 1, ""n_estimators"": 1087, ""reg_alpha"": 1.9905484974250824, ""reg_lambda"": 1.0988242031501387, ""subsample"": 0.7494699914938301}",PRUNED
22,0.25684515490820237,2026-09-19 16:39:04.820842,2026-09-19 16:39:06.834994,0 days 00:00:02.014152,0.5612858331964983,0.017067758315679873,1,1188,0.42844210231059665,1.4721464416956243,0.8037204755432307,,"{""colsample_bytree"": 0.5612858331964983, ""learning_rate"": 0.017067758315679873, ""max_depth"": 1, ""n_estimators"": 1188, ""reg_alpha"": 0.42844210231059665, ""reg_lambda"": 1.4721464416956243, ""subsample"": 0.8037204755432307}",COMPLETE
23,0.2532406255793236,2026-09-19 16:39:06.834994,2026-09-19 16:39:07.852909,0 days 00:00:01.017915,0.6370075406227516,0.011607359826813832,4,1077,0.6150609303072673,1.0799879181967296,0.8251473058988964,,"{""colsample_bytree"": 0.6370075406227516, ""learning_rate"": 0.011607359826813832, ""max_depth"": 4, ""n_estimators"": 1077, ""reg_alpha"": 0.6150609303072673, ""reg_lambda"": 1.0799879181967296, ""subsample"": 0.8251473058988964}",PRUNED
24,0.24771453278174366,2026-09-19 16:39:07.852909,2026-09-19 16:39:09.843540,0 days 00:00:01.990631,0.5051303118174847,0.012567080861918167,1,1196,1.4560772339678463,1.2598395025752358,0.819827779732404,,"{""colsample_bytree"": 0.5051303118174847, ""learning_rate"": 0.012567080861918167, ""max_depth"": 1, ""n_estimators"": 1196, ""reg_alpha"": 1.4560772339678463, ""reg_lambda"": 1.2598395025752358, ""subsample"": 0.819827779732404}",COMPLETE
25,0.25242393722887024,2026-09-19 16:39:09.843540,2026-09-19 16:39:10.463044,0 days 00:00:00.619504,0.6764288525462345,0.013773653544904705,3,889,1.1030724486549275,0.12963050051364544,0.8161369925356314,,"{""colsample_bytree"": 0.6764288525462345, ""learning_rate"": 0.013773653544904705, ""max_depth"": 3, ""n_estimators"": 889, ""reg_alpha"": 1.1030724486549275, ""reg_lambda"": 0.12963050051364544, ""subsample"": 0.8161369925356314}",PRUNED
26,0.25745665355715075,2026-09-19 16:39:10.463044,2026-09-19 16:39:10.851865,0 days 00:00:00.388821,0.6906239164217035,0.01760054265649647,1,1082,0.27625606698624716,0.42425134587596225,0.6461809405203991,,"{""colsample_bytree"": 0.6906239164217035, ""learning_rate"": 0.01760054265649647, ""max_depth"": 1, ""n_estimators"": 1082, ""reg_alpha"": 0.27625606698624716, ""reg_lambda"": 0.42425134587596225, ""subsample"": 0.6461809405203991}",PRUNED
