technique,model,group,n,positives,prevalence,auc,auc_low,auc_high,auc_se,pr_auc,pr_auc_low,pr_auc_high
none,dummy,diabetici,263,68,0.2585551330798479,0.5,0.5,0.5,0.0,0.2585551330798479,0.16849390142953613,0.37504242146968025
none,dummy,non diabetici,4087,357,0.08735013457303646,0.5,0.5,0.5,0.0,0.08735013457303646,0.0621627739183127,0.12142170330813672
none,dummy,tutti,4350,425,0.09770114942528736,0.5,0.5,0.5,0.0,0.09770114942528736,0.07288209060905701,0.1297888359353495
none,lr_scored,diabetici,263,68,0.2585551330798479,0.6084087481146305,0.5290223780615166,0.6877951181677444,0.04050399429749908,0.3794114537383267,0.2725214719031844,0.499443244576141
none,lr_scored,non diabetici,4087,357,0.08735013457303646,0.6468613182538431,0.6149724779101707,0.6787501585975154,0.016270115469063446,0.18529069406581256,0.14831354978429143,0.2290079952629934
none,lr_scored,tutti,4350,425,0.09770114942528736,0.6750642188085425,0.646170710032695,0.70395772758439,0.01474185699520798,0.2238032821008589,0.18667777509692532,0.2658982961157749
none,lr_penalized,diabetici,263,68,0.2585551330798479,0.6783559577677224,0.6065335507154407,0.7501783648200041,0.0366447585867943,0.41234802169411744,0.3021447824936212,0.5320985338654708
none,lr_penalized,non diabetici,4087,357,0.08735013457303646,0.6718205780971906,0.6407147128360127,0.7029264433583686,0.015870631045538115,0.201244293800827,0.16283760634862188,0.24604717225748252
none,lr_penalized,tutti,4350,425,0.09770114942528736,0.6968302735106783,0.6686761114544535,0.7249844355669031,0.01436463234952338,0.2421879528042959,0.20381134265066841,0.2852022160700989
none,random_forest,diabetici,263,68,0.2585551330798479,0.7193815987933635,0.6509674048440466,0.7877957927426804,0.0349058423975947,0.4396100151827584,0.32703818181703975,0.5587577052276395
none,random_forest,non diabetici,4087,357,0.08735013457303646,0.6773604884312975,0.6470505851391731,0.7076703917234218,0.015464520537726735,0.19414616146959057,0.15636265602426477,0.23847881514158217
none,random_forest,tutti,4350,425,0.09770114942528736,0.7032128887223679,0.6756747074761853,0.7307510699685504,0.014050350651032481,0.24603167782196167,0.20740642159494455,0.2892252474220798
none,xgboost,diabetici,263,68,0.2585551330798479,0.6693061840120664,0.5946266257010159,0.743985742323117,0.038102515607487356,0.4212602938956079,0.3102460250753448,0.5408501341283939
none,xgboost,non diabetici,4087,357,0.08735013457303646,0.6734854799828779,0.6429943491273671,0.7039766108383887,0.01555698527933213,0.21289587968406606,0.17350868031721994,0.25842843599669096
none,xgboost,tutti,4350,425,0.09770114942528736,0.6960155863619334,0.6683298481762259,0.7237013245476409,0.01412563618724071,0.24994657506470913,0.2110724973196131,0.29331835572849313
level_weight,dummy,diabetici,263,68,0.2585551330798479,0.5,0.5,0.5,0.0,0.2585551330798479,0.16849390142953613,0.37504242146968025
level_weight,dummy,non diabetici,4087,357,0.08735013457303646,0.5,0.5,0.5,0.0,0.08735013457303646,0.0621627739183127,0.12142170330813672
level_weight,dummy,tutti,4350,425,0.09770114942528736,0.5,0.5,0.5,0.0,0.09770114942528736,0.07288209060905701,0.1297888359353495
level_weight,lr_scored,diabetici,263,68,0.2585551330798479,0.6071266968325792,0.5285687530799078,0.6856846405852507,0.040081320050943024,0.3637118386207592,0.25858058607238116,0.48370072728431374
level_weight,lr_scored,non diabetici,4087,357,0.08735013457303646,0.6475266782316144,0.6156464997921897,0.6794068566710391,0.016265696048953712,0.18527902898768717,0.14830296872817278,0.22899549791922336
level_weight,lr_scored,tutti,4350,425,0.09770114942528736,0.6756606968902211,0.6467800285585695,0.7045413652218727,0.014735305627786329,0.2220790119824087,0.18507627697722412,0.26408239689613594
level_weight,lr_penalized,diabetici,263,68,0.2585551330798479,0.6496983408748113,0.5743175874007097,0.7250790943489128,0.03846027481560649,0.41475927234003784,0.30433305980222497,0.5344698266018449
level_weight,lr_penalized,non diabetici,4087,357,0.08735013457303646,0.6813361269440752,0.6511590201058655,0.7115132337822849,0.015396765999907613,0.20279756650626934,0.16425716740268403,0.2477007010894598
level_weight,lr_penalized,tutti,4350,425,0.09770114942528736,0.7014384413638067,0.6741000482371626,0.7287768344904508,0.013948416063910259,0.24208691060381493,0.20371689549007002,0.28509640178243867
level_weight,random_forest,diabetici,263,68,0.2585551330798479,0.6392156862745098,0.5649398278371203,0.7134915447118992,0.037896542499386746,0.37402434248606037,0.26772454954646213,0.49405450149624364
level_weight,random_forest,non diabetici,4087,357,0.08735013457303646,0.668344335053056,0.6376491739816794,0.6990394961244326,0.015661084241086098,0.19154663134933003,0.15399644538038915,0.23570201418775452
level_weight,random_forest,tutti,4350,425,0.09770114942528736,0.6931872611464966,0.6654247519240186,0.7209497703689747,0.014164805803303072,0.22891349744559328,0.1914297137133147,0.2712745101609136
level_weight,xgboost,diabetici,263,68,0.2585551330798479,0.6401206636500755,0.5632304085958825,0.7170109187042685,0.039230442835018156,0.4302315274236571,0.3184369758911723,0.5496238388046577
level_weight,xgboost,non diabetici,4087,357,0.08735013457303646,0.6786311307364769,0.6481369996645345,0.7091252618084192,0.015558516030129216,0.20757816265340093,0.16863207632385638,0.25278404984545916
level_weight,xgboost,tutti,4350,425,0.09770114942528736,0.6992737354814537,0.6718209833424315,0.7267264876204759,0.014006763570946233,0.24763497827566386,0.20890728369268313,0.2909020669697246
