technique,model,group,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high
none,lr_scored,diabetici,0.0502852648657892,0.2585551330798479,0.20938248390855932,0.31467947947120745,1.0,0.9465286634799295,1.0,0.0,0.0,0.019319204573721077,1.0,0.9856039655993808,1.0
none,lr_scored,non diabetici,0.0502852648657892,0.09770471464019852,0.08792937615359894,0.10843759753669835,0.8823529411764706,0.8447910917116028,0.9117738575938941,0.22010723860589812,0.20710269775379414,0.23368769920658472,0.7888426718864693,0.77606187403082,0.8010810007948956
none,lr_scored,tutti,0.0502852648657892,0.10983653570404359,0.0998843165054395,0.12064745725227463,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.209171974522293,0.19673545442154308,0.22217721387297243,0.8016091954022988,0.789494578608944,0.8131915836728474
none,lr_penalized,diabetici,0.0479707257418685,0.26053639846743293,0.21103326995661642,0.3169862457317152,1.0,0.9465286634799295,1.0,0.010256410256410256,0.00281719866017395,0.03661853505049644,0.9923954372623575,0.9727017198511001,0.997912071366541
none,lr_penalized,non diabetici,0.0479707257418685,0.09936908517350158,0.08943500407717035,0.11027297347764138,0.8823529411764706,0.8447910917116028,0.9117738575938941,0.23458445040214476,0.22126324123056265,0.24845179036979662,0.7756300464888671,0.7625850505945648,0.7881573877715247
none,lr_penalized,tutti,0.0479707257418685,0.11162926260565433,0.10152338206472895,0.12260383546484187,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22343949044585987,0.21068192159444774,0.23673787817225975,0.7887356321839081,0.7763529521245593,0.8006088007915457
none,random_forest,diabetici,0.0581256463703772,0.2595419847328244,0.21020462840799653,0.3158286676815159,1.0,0.9465286634799295,1.0,0.005128205128205128,0.0009058284432263645,0.028471640698969368,0.9961977186311787,0.9787803900540143,0.9993284883544967
none,random_forest,non diabetici,0.0581256463703772,0.10051052967453733,0.0904677366532994,0.11153146156588435,0.8823529411764706,0.8447910917116028,0.9117738575938941,0.24423592493297588,0.23071595114420138,0.2582821702161448,0.7668216295571324,0.7536107977292941,0.7795313496637113
none,random_forest,tutti,0.0581256463703772,0.11277974087161366,0.1025754025361415,0.123859114527407,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23235668789808916,0.2194097290362815,0.24582702790054597,0.7806896551724138,0.7681486922092929,0.7927353048532583
none,xgboost,diabetici,0.0418949387967586,0.2627450980392157,0.21253310638559544,0.3199992763660422,0.9852941176470589,0.9212902687183914,0.9973993164238931,0.035897435897435895,0.017495563557414013,0.07223149299562964,0.9695817490494296,0.9411356679875362,0.984507600084886
none,xgboost,non diabetici,0.0418949387967586,0.10370856580242861,0.09337747498374677,0.11503763520899307,0.8851540616246498,0.8479021667098734,0.914205382956836,0.267828418230563,0.2538614611377354,0.28227310185813453,0.7455346219721066,0.7319548684990637,0.7586532423756552
none,xgboost,tutti,0.0418949387967586,0.11599030890369473,0.105511848687397,0.12736122414753642,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.25630573248407645,0.2428900552017331,0.27019795813484526,0.759080459770115,0.7461472394452056,0.7715564990392296
