technique,model,group,level,n,mean_probability,low,high,median_probability
none,lr_scored,diabetici,basso,195,0.24755910120343894,0.23431875278591613,0.26085345585659414,0.2356909283696799
none,lr_scored,diabetici,moderato,52,0.2620856860553172,0.23939721737902894,0.2863744288541712,0.2508162843842864
none,lr_scored,diabetici,alto,11,0.3456895964193181,0.27240949266280334,0.4149540347064813,0.3559418653561996
none,lr_scored,diabetici,molto alto,5,0.4509215588977701,0.3831143291931251,0.5100487994819715,0.4656683629403523
none,lr_scored,non diabetici,basso,3730,0.08406953518397459,0.08249364486569745,0.0856934794651496,0.07039123356019619
none,lr_scored,non diabetici,moderato,302,0.1176637372598349,0.10892443769803221,0.12726901505538998,0.0930384108716011
none,lr_scored,non diabetici,alto,39,0.1306272261718978,0.10566675961197974,0.15748719570306904,0.1022199607139375
none,lr_scored,non diabetici,molto alto,16,0.16058150708794303,0.10802369155479313,0.2163118205051361,0.13428959341649438
none,lr_scored,tutti,basso,3925,0.09219194674417727,0.09024906513851084,0.09415453624508825,0.0724534911700815
none,lr_scored,tutti,moderato,354,0.13887826081171367,0.12941404723561575,0.1490501799377104,0.10917410518846321
none,lr_scored,tutti,alto,50,0.1779409476263303,0.1435394415949399,0.2147345469304485,0.1274821676865741
none,lr_scored,tutti,molto alto,21,0.22971009085218755,0.162551484357848,0.3011700660405397,0.1929113315672653
none,lr_penalized,diabetici,basso,195,0.2073380818017379,0.18925291877014133,0.22667446211905684,0.1662727694297139
none,lr_penalized,diabetici,moderato,52,0.27400208571586704,0.22706610219799142,0.32452916966926615,0.24190978247636657
none,lr_penalized,diabetici,alto,11,0.3684827729154281,0.26209760226024603,0.4869767907306742,0.3214871839001621
none,lr_penalized,diabetici,molto alto,5,0.35204808325870085,0.3171564846187388,0.39392927753522117,0.3343381722749347
none,lr_penalized,non diabetici,basso,3730,0.08518945530525479,0.08328267988780756,0.08724597511890467,0.0691781052329961
none,lr_penalized,non diabetici,moderato,302,0.13103597820290958,0.11965981116689604,0.14332795822524177,0.0974118112941841
none,lr_penalized,non diabetici,alto,39,0.15464172115876781,0.12185625506334334,0.19170929928057767,0.1053922034129939
none,lr_penalized,non diabetici,molto alto,16,0.2144201338334527,0.14753218924213693,0.28719596523226204,0.19760718449626355
none,lr_penalized,tutti,basso,3925,0.09125798579361512,0.0890626104458265,0.09355121042099557,0.0711318330276591
none,lr_penalized,tutti,moderato,354,0.15203664936300498,0.13891268563455741,0.16600580185031658,0.1103767110833329
none,lr_penalized,tutti,alto,50,0.20168675254523308,0.15962087353684135,0.24907505379271636,0.1422798805125408
none,lr_penalized,tutti,molto alto,21,0.24718869322041653,0.1886641150047308,0.30282932662909634,0.2662685672505216
none,random_forest,diabetici,basso,195,0.1916803895321908,0.1816043236563133,0.20220484767654825,0.1919716565830445
none,random_forest,diabetici,moderato,52,0.24052732899303889,0.2222211641158889,0.2582159198952448,0.24438914458127545
