technique,model,group,concordance,low,high
none,lr_scored,diabetici,0.6186117197992507,0.5504674135859192,0.6893731886619071
none,lr_scored,non diabetici,0.6459160584915676,0.6142240040360486,0.6782252988484955
none,lr_scored,tutti,0.6739865632538102,0.6457754680521677,0.7016508131043393
none,lr_penalized,diabetici,0.6802148865483848,0.6157489220329398,0.7406534954407296
none,lr_penalized,non diabetici,0.6710909489903948,0.6394693344819712,0.7016631649026871
none,lr_penalized,tutti,0.6959415313263401,0.6682424663978058,0.7234664987319315
none,random_forest,diabetici,0.7121651233477062,0.647628472467661,0.7733141302042836
none,random_forest,non diabetici,0.6761730785769148,0.6457849091518367,0.7056148264736323
none,random_forest,tutti,0.7017421261410994,0.6737339824081675,0.7280993165945527
none,xgboost,diabetici,0.6706722273273485,0.5999717254541599,0.7375415282392026
none,xgboost,non diabetici,0.6726767513515277,0.6417151835201106,0.7028306646283781
none,xgboost,tutti,0.6950278845240154,0.6670534123350581,0.7206553969789454
level_weight,lr_scored,diabetici,0.6175514243302467,0.5507121651233478,0.6871465681769986
level_weight,lr_scored,non diabetici,0.6465744000047448,0.6150442434410504,0.6784404738427868
level_weight,lr_scored,tutti,0.6745826764775492,0.6465117933033466,0.7030505282684563
level_weight,lr_penalized,diabetici,0.6527178907188803,0.5842899554675903,0.7168374920477839
level_weight,lr_penalized,non diabetici,0.6800808692480376,0.6503269466298549,0.7090244498251836
level_weight,lr_penalized,tutti,0.7000606146812653,0.6733760783894791,0.725966190346625
level_weight,random_forest,diabetici,0.639216795080229,0.56973033151905,0.7060171767865979
level_weight,random_forest,non diabetici,0.6674322605134471,0.6374836897372862,0.696299887162637
level_weight,random_forest,tutti,0.6920414162941942,0.663809036604303,0.7179700397035016
level_weight,xgboost,diabetici,0.644235526966848,0.5701544497066515,0.7126652293772531
level_weight,xgboost,non diabetici,0.6780087245078008,0.647472724792489,0.7075077992710795
level_weight,xgboost,tutti,0.698510720299544,0.67085764757196,0.7234308204701739
