technique,model,group,level,n,detected,missed,sensitivity,low,high
none,lr_scored,diabetici,moderato,52,52,0,1.0,0.9312077638761376,1.0
none,lr_scored,diabetici,alto,11,11,0,1.0,0.7411670330319684,1.0
none,lr_scored,diabetici,molto alto,5,5,0,1.0,0.5655175352168251,1.0
none,lr_scored,diabetici,gravi (alto + molto alto),16,16,0,1.0,0.8063923194655637,1.0
none,lr_scored,non diabetici,moderato,302,265,37,0.8774834437086093,0.8356909579693679,0.9097933229360202
none,lr_scored,non diabetici,alto,39,36,3,0.9230769230769231,0.7967892883204502,0.9734926046962202
none,lr_scored,non diabetici,molto alto,16,14,2,0.875,0.639771727342413,0.9650225122567595
none,lr_scored,non diabetici,gravi (alto + molto alto),55,50,5,0.9090909090909091,0.8042250541602005,0.9605418449258196
none,lr_scored,tutti,moderato,354,317,37,0.8954802259887006,0.8592537962498642,0.9232156272841522
none,lr_scored,tutti,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
none,lr_scored,tutti,molto alto,21,19,2,0.9047619047619048,0.7108586092608176,0.9734812325619255
none,lr_scored,tutti,gravi (alto + molto alto),71,66,5,0.9295774647887324,0.8455098688621009,0.969546397560289
none,lr_penalized,diabetici,moderato,52,52,0,1.0,0.9312077638761376,1.0
none,lr_penalized,diabetici,alto,11,11,0,1.0,0.7411670330319684,1.0
none,lr_penalized,diabetici,molto alto,5,5,0,1.0,0.5655175352168251,1.0
none,lr_penalized,diabetici,gravi (alto + molto alto),16,16,0,1.0,0.8063923194655637,1.0
none,lr_penalized,non diabetici,moderato,302,264,38,0.8741721854304636,0.8320070336697024,0.90693791143827
none,lr_penalized,non diabetici,alto,39,36,3,0.9230769230769231,0.7967892883204502,0.9734926046962202
none,lr_penalized,non diabetici,molto alto,16,15,1,0.9375,0.7167126242970107,0.9888806552353576
none,lr_penalized,non diabetici,gravi (alto + molto alto),55,51,4,0.9272727272727272,0.8274005992784393,0.9713559397669594
none,lr_penalized,tutti,moderato,354,316,38,0.8926553672316384,0.8560917209991357,0.9207886352239234
none,lr_penalized,tutti,alto,50,47,3,0.94,0.8378290831116182,0.979385029651026
none,lr_penalized,tutti,molto alto,21,20,1,0.9523809523809523,0.7733063992587744,0.9915440121901736
