technique,model,group,level,band,n
none,lr_scored,diabetici,basso,1,52
none,lr_scored,diabetici,basso,2,112
none,lr_scored,diabetici,basso,3,23
none,lr_scored,diabetici,basso,4,8
none,lr_scored,diabetici,moderato,1,10
none,lr_scored,diabetici,moderato,2,34
none,lr_scored,diabetici,moderato,3,6
none,lr_scored,diabetici,moderato,4,2
none,lr_scored,diabetici,alto,1,2
none,lr_scored,diabetici,alto,2,2
none,lr_scored,diabetici,alto,3,4
none,lr_scored,diabetici,alto,4,3
none,lr_scored,diabetici,molto alto,1,0
none,lr_scored,diabetici,molto alto,2,1
none,lr_scored,diabetici,molto alto,3,1
none,lr_scored,diabetici,molto alto,4,3
none,lr_scored,non diabetici,basso,1,3566
none,lr_scored,non diabetici,basso,2,153
none,lr_scored,non diabetici,basso,3,8
none,lr_scored,non diabetici,basso,4,3
none,lr_scored,non diabetici,moderato,1,255
none,lr_scored,non diabetici,moderato,2,41
none,lr_scored,non diabetici,moderato,3,4
none,lr_scored,non diabetici,moderato,4,2
none,lr_scored,non diabetici,alto,1,30
none,lr_scored,non diabetici,alto,2,7
none,lr_scored,non diabetici,alto,3,2
none,lr_scored,non diabetici,alto,4,0
none,lr_scored,non diabetici,molto alto,1,10
none,lr_scored,non diabetici,molto alto,2,4
none,lr_scored,non diabetici,molto alto,3,2
none,lr_scored,non diabetici,molto alto,4,0
none,lr_scored,tutti,basso,1,3618
none,lr_scored,tutti,basso,2,265
none,lr_scored,tutti,basso,3,31
none,lr_scored,tutti,basso,4,11
none,lr_scored,tutti,moderato,1,265
none,lr_scored,tutti,moderato,2,75
none,lr_scored,tutti,moderato,3,10
none,lr_scored,tutti,moderato,4,4
none,lr_scored,tutti,alto,1,32
none,lr_scored,tutti,alto,2,9
none,lr_scored,tutti,alto,3,6
none,lr_scored,tutti,alto,4,3
none,lr_scored,tutti,molto alto,1,10
none,lr_scored,tutti,molto alto,2,5
none,lr_scored,tutti,molto alto,3,3
none,lr_scored,tutti,molto alto,4,3
none,lr_penalized,diabetici,basso,1,108
none,lr_penalized,diabetici,basso,2,62
none,lr_penalized,diabetici,basso,3,21
none,lr_penalized,diabetici,basso,4,4
none,lr_penalized,diabetici,moderato,1,17
none,lr_penalized,diabetici,moderato,2,28
none,lr_penalized,diabetici,moderato,3,3
none,lr_penalized,diabetici,moderato,4,4
none,lr_penalized,diabetici,alto,1,2
none,lr_penalized,diabetici,alto,2,6
none,lr_penalized,diabetici,alto,3,1
none,lr_penalized,diabetici,alto,4,2
none,lr_penalized,diabetici,molto alto,1,0
none,lr_penalized,diabetici,molto alto,2,3
none,lr_penalized,diabetici,molto alto,3,2
none,lr_penalized,diabetici,molto alto,4,0
none,lr_penalized,non diabetici,basso,1,3524
none,lr_penalized,non diabetici,basso,2,187
none,lr_penalized,non diabetici,basso,3,13
none,lr_penalized,non diabetici,basso,4,6
none,lr_penalized,non diabetici,moderato,1,237
none,lr_penalized,non diabetici,moderato,2,54
none,lr_penalized,non diabetici,moderato,3,7
none,lr_penalized,non diabetici,moderato,4,4
none,lr_penalized,non diabetici,alto,1,29
none,lr_penalized,non diabetici,alto,2,8
none,lr_penalized,non diabetici,alto,3,1
none,lr_penalized,non diabetici,alto,4,1
none,lr_penalized,non diabetici,molto alto,1,8
none,lr_penalized,non diabetici,molto alto,2,6
none,lr_penalized,non diabetici,molto alto,3,2
none,lr_penalized,non diabetici,molto alto,4,0
none,lr_penalized,tutti,basso,1,3632
none,lr_penalized,tutti,basso,2,249
none,lr_penalized,tutti,basso,3,34
none,lr_penalized,tutti,basso,4,10
none,lr_penalized,tutti,moderato,1,254
none,lr_penalized,tutti,moderato,2,82
none,lr_penalized,tutti,moderato,3,10
none,lr_penalized,tutti,moderato,4,8
none,lr_penalized,tutti,alto,1,31
none,lr_penalized,tutti,alto,2,14
none,lr_penalized,tutti,alto,3,2
none,lr_penalized,tutti,alto,4,3
none,lr_penalized,tutti,molto alto,1,8
none,lr_penalized,tutti,molto alto,2,9
none,lr_penalized,tutti,molto alto,3,4
none,lr_penalized,tutti,molto alto,4,0
none,random_forest,diabetici,basso,1,82
none,random_forest,diabetici,basso,2,91
none,random_forest,diabetici,basso,3,16
none,random_forest,diabetici,basso,4,6
none,random_forest,diabetici,moderato,1,7
none,random_forest,diabetici,moderato,2,32
none,random_forest,diabetici,moderato,3,7
none,random_forest,diabetici,moderato,4,6
none,random_forest,diabetici,alto,1,2
none,random_forest,diabetici,alto,2,3
none,random_forest,diabetici,alto,3,3
none,random_forest,diabetici,alto,4,3
none,random_forest,diabetici,molto alto,1,0
none,random_forest,diabetici,molto alto,2,3
none,random_forest,diabetici,molto alto,3,1
none,random_forest,diabetici,molto alto,4,1
none,random_forest,non diabetici,basso,1,3543
none,random_forest,non diabetici,basso,2,171
none,random_forest,non diabetici,basso,3,14
none,random_forest,non diabetici,basso,4,2
none,random_forest,non diabetici,moderato,1,249
none,random_forest,non diabetici,moderato,2,47
none,random_forest,non diabetici,moderato,3,5
none,random_forest,non diabetici,moderato,4,1
none,random_forest,non diabetici,alto,1,33
none,random_forest,non diabetici,alto,2,3
none,random_forest,non diabetici,alto,3,3
