technique,model,group,kappa,low,high,observed_agreement
none,lr_scored,diabetici,0.12439714988020778,0.05930471312546098,0.18534053403367567,0.35361216730038025
none,lr_scored,non diabetici,0.14363410144662658,0.10238673312959097,0.18686443462419458,0.8830437974064106
none,lr_scored,tutti,0.19656997648391084,0.1573166937632293,0.23610587620149504,0.8510344827586207
none,lr_penalized,diabetici,0.16662802380400343,0.08974199475609146,0.24219802485383898,0.5209125475285171
none,lr_penalized,non diabetici,0.17242590541679748,0.13067681881842214,0.21556375466265318,0.8757034499632983
none,lr_penalized,tutti,0.2071136775799225,0.17276854027926844,0.24361656795299724,0.8542528735632184
none,random_forest,diabetici,0.18300918422474344,0.11426722153564377,0.24754745107384016,0.44866920152091255
none,random_forest,non diabetici,0.1539713470234465,0.10933743345632337,0.19931529783613589,0.8796183019329582
none,random_forest,tutti,0.20922241779912487,0.1701041723432772,0.24811102625503192,0.8535632183908046
none,xgboost,diabetici,0.21903207409883785,0.12680824769990529,0.305959858913376,0.5513307984790875
none,xgboost,non diabetici,0.19732976655523904,0.15061281090222828,0.24287474868379133,0.8757034499632983
none,xgboost,tutti,0.23452730042955283,0.19363479889816138,0.2747024560024301,0.8560919540229885
level_weight,lr_scored,diabetici,0.12611017949195702,0.06466454489380409,0.18440962218190868,0.3612167300380228
level_weight,lr_scored,non diabetici,0.14653696640919378,0.10510947393222675,0.19074985623598542,0.8832884756545143
level_weight,lr_scored,tutti,0.1986787167031132,0.1597493798814601,0.23923808301169805,0.8517241379310345
level_weight,lr_penalized,diabetici,0.18231823979591832,0.09845457252502546,0.2630950430349171,0.5209125475285171
level_weight,lr_penalized,non diabetici,0.15307346653869647,0.11146870586936516,0.1935034776815695,0.8722779544898459
level_weight,lr_penalized,tutti,0.19446123626470857,0.15866236207382792,0.23158836870294927,0.8510344827586207
level_weight,random_forest,diabetici,0.1131374303213819,0.04173908941326758,0.18232771987299398,0.4296577946768061
level_weight,random_forest,non diabetici,0.16263775585291051,0.11966111589610642,0.20645396334472826,0.8774161977000244
level_weight,random_forest,tutti,0.19446123626470857,0.15761010705299525,0.23176918813578737,0.8503448275862069
level_weight,xgboost,diabetici,0.15451181786934642,0.06380259490965304,0.2453551245351712,0.5019011406844106
level_weight,xgboost,non diabetici,0.1732963295133474,0.13063673977473708,0.21663134748882223,0.8720332762417421
level_weight,xgboost,tutti,0.20289619714151785,0.16486216531544837,0.24014812108812825,0.8496551724137931
