technique,model,metric,group,reference,auc_group,auc_reference,prevalence_group,prevalence_reference,difference,low,high
none,dummy,auc,diabetici,non diabetici,0.5,0.5,0.2585551330798479,0.08735013457303646,0.0,0.0,0.0
none,lr_scored,auc,diabetici,non diabetici,0.6084087481146305,0.6468613182538431,0.2585551330798479,0.08735013457303646,-0.03845257013921255,-0.12400427315367141,0.04709913287524631
none,lr_penalized,auc,diabetici,non diabetici,0.6783559577677224,0.6718205780971906,0.2585551330798479,0.08735013457303646,0.006535379670531749,-0.07173359891249438,0.08480435825355788
none,random_forest,auc,diabetici,non diabetici,0.7193815987933635,0.6773604884312975,0.2585551330798479,0.08735013457303646,0.042021110362066016,-0.03280663964628769,0.11684886037041972
none,xgboost,auc,diabetici,non diabetici,0.6693061840120664,0.6734854799828779,0.2585551330798479,0.08735013457303646,-0.0041792959708114585,-0.0848436963614514,0.07648510441982849
level_weight,dummy,auc,diabetici,non diabetici,0.5,0.5,0.2585551330798479,0.08735013457303646,0.0,0.0,0.0
level_weight,lr_scored,auc,diabetici,non diabetici,0.6071266968325792,0.6475266782316144,0.2585551330798479,0.08735013457303646,-0.04039998139903511,-0.12518026391789355,0.04438030111982333
level_weight,lr_penalized,auc,diabetici,non diabetici,0.6496983408748113,0.6813361269440752,0.2585551330798479,0.08735013457303646,-0.03163778606926393,-0.11283455799677349,0.04955898585824563
level_weight,random_forest,auc,diabetici,non diabetici,0.6392156862745098,0.668344335053056,0.2585551330798479,0.08735013457303646,-0.029128648778546262,-0.10949715044312182,0.051239852886029294
level_weight,xgboost,auc,diabetici,non diabetici,0.6401206636500755,0.6786311307364769,0.2585551330798479,0.08735013457303646,-0.03851046708640138,-0.12122687024884343,0.044205936076040675
