technique,model,group,threshold_global,threshold_subgroup,target_sensitivity,severe_n,recall_global,specificity_global,alert_rate_global,severe_detected_global,recall_subgroup,specificity_subgroup,alert_rate_subgroup,severe_detected_subgroup
none,lr_scored,diabetici,0.0502852648657892,0.1604558197486886,0.9,16,1.0,0.0,1.0,16,0.9117647058823529,0.2,0.8288973384030418,15
none,lr_scored,non diabetici,0.0502852648657892,0.048846613244284,0.9,55,0.8823529411764706,0.22010723860589812,0.7888426718864693,50,0.9019607843137255,0.1967828418230563,0.8118424272082212,51
none,lr_scored,tutti,0.0502852648657892,0.0502852648657892,0.9,71,0.9011764705882352,0.209171974522293,0.8016091954022988,66,0.9011764705882352,0.209171974522293,0.8016091954022988,66
none,lr_penalized,diabetici,0.0479707257418685,0.1222775538766223,0.9,16,1.0,0.010256410256410256,0.9923954372623575,16,0.9117647058823529,0.29743589743589743,0.7566539923954373,16
none,lr_penalized,non diabetici,0.0479707257418685,0.0444967562677731,0.9,55,0.8823529411764706,0.23458445040214476,0.7756300464888671,51,0.9019607843137255,0.1908847184986595,0.8172253486665035,52
none,lr_penalized,tutti,0.0479707257418685,0.0479707257418685,0.9,71,0.9011764705882352,0.22343949044585987,0.7887356321839081,67,0.9011764705882352,0.22343949044585987,0.7887356321839081,67
none,random_forest,diabetici,0.0581256463703772,0.1618787077674148,0.9,16,1.0,0.005128205128205128,0.9961977186311787,16,0.9117647058823529,0.3641025641025641,0.7072243346007605,15
none,random_forest,non diabetici,0.0581256463703772,0.0557896987641981,0.9,55,0.8823529411764706,0.24423592493297588,0.7668216295571324,48,0.9019607843137255,0.21662198391420912,0.7937362368485442,49
none,random_forest,tutti,0.0581256463703772,0.0581256463703772,0.9,71,0.9011764705882352,0.23235668789808916,0.7806896551724138,64,0.9011764705882352,0.23235668789808916,0.7806896551724138,64
none,xgboost,diabetici,0.0418949387967586,0.1093963533639907,0.9,16,0.9852941176470589,0.035897435897435895,0.9695817490494296,16,0.9117647058823529,0.28717948717948716,0.7642585551330798,15
none,xgboost,non diabetici,0.0418949387967586,0.0382960438728332,0.9,55,0.8851540616246498,0.267828418230563,0.7455346219721066,50,0.9019607843137255,0.21554959785522787,0.7947149498409591,53
none,xgboost,tutti,0.0418949387967586,0.0418949387967586,0.9,71,0.9011764705882352,0.25630573248407645,0.759080459770115,66,0.9011764705882352,0.25630573248407645,0.759080459770115,66
level_weight,lr_scored,diabetici,0.3203027335132296,0.645922957654653,0.9,16,1.0,0.0,1.0,16,0.9117647058823529,0.2153846153846154,0.8174904942965779,16
level_weight,lr_scored,non diabetici,0.3203027335132296,0.3117172277184476,0.9,55,0.8823529411764706,0.22359249329758712,0.7856618546611206,51,0.9019607843137255,0.19571045576407506,0.8128211402006361,51
level_weight,lr_scored,tutti,0.3203027335132296,0.3203027335132296,0.9,71,0.9011764705882352,0.212484076433121,0.7986206896551724,67,0.9011764705882352,0.212484076433121,0.7986206896551724,67
level_weight,lr_penalized,diabetici,0.3279329075391393,0.4653329685744284,0.9,16,0.9852941176470589,0.020512820512820513,0.9809885931558935,16,0.9117647058823529,0.18974358974358974,0.8365019011406845,15
level_weight,lr_penalized,non diabetici,0.3279329075391393,0.3130115010994956,0.9,55,0.8851540616246498,0.23780160857908847,0.772938585759726,50,0.9019607843137255,0.1932975871313673,0.8150232444335699,52
level_weight,lr_penalized,tutti,0.3279329075391393,0.3279329075391393,0.9,71,0.9011764705882352,0.2270063694267516,0.7855172413793103,66,0.9011764705882352,0.2270063694267516,0.7855172413793103,66
level_weight,random_forest,diabetici,0.2538833662796655,0.490893743161218,0.9,16,1.0,0.015384615384615385,0.9885931558935361,16,0.9117647058823529,0.28205128205128205,0.7680608365019012,14
level_weight,random_forest,non diabetici,0.2538833662796655,0.2419563309406626,0.9,55,0.8823529411764706,0.24932975871313673,0.7621727428431613,50,0.9019607843137255,0.21528150134048257,0.7949596280890628,50
level_weight,random_forest,tutti,0.2538833662796655,0.2538833662796655,0.9,71,0.9011764705882352,0.23770700636942677,0.7758620689655172,66,0.9011764705882352,0.23770700636942677,0.7758620689655172,66
level_weight,xgboost,diabetici,0.2721520364284515,0.4483273327350616,0.9,16,1.0,0.035897435897435895,0.973384030418251,16,0.9117647058823529,0.2358974358974359,0.8022813688212928,15
level_weight,xgboost,non diabetici,0.2721520364284515,0.2451854944229126,0.9,55,0.8823529411764706,0.28659517426273456,0.7281624663567409,51,0.9019607843137255,0.2190348525469169,0.7915341326156105,51
level_weight,xgboost,tutti,0.2721520364284515,0.2721520364284515,0.9,71,0.9011764705882352,0.27414012738853505,0.7429885057471264,67,0.9011764705882352,0.27414012738853505,0.7429885057471264,67
