model,analysis,scale,threshold,grey_zone,n,positives,prevalence,auc,auc_low,auc_high
lr_penalized,sensibilità della soglia ACR,osservata,20.0,,4350,571,0.13126436781609196,0.6729460299776301,0.6478130372094231,0.6980790227458371
lr_penalized,sensibilità della soglia ACR,osservata,30.0,,4350,425,0.09770114942528736,0.6968302735106783,0.6686761114544535,0.7249844355669031
lr_penalized,sensibilità della soglia ACR,osservata,45.0,,4350,324,0.07448275862068965,0.7108049223258694,0.6797769227131861,0.7418329219385528
lr_penalized,sensibilità della soglia ACR,osservata,53.04,,4350,293,0.06735632183908045,0.7123330425397134,0.6799347057674017,0.7447313793120252
lr_penalized,sensibilità della soglia ACR,osservata,60.0,,4350,271,0.06229885057471264,0.7197381240789609,0.6865457011064422,0.7529305470514795
lr_penalized,sensibilità della soglia ACR,osservata,100.0,,4350,195,0.04482758620689655,0.7383047918787989,0.7019948600894251,0.7746147236681727
lr_penalized,sensibilità della soglia ACR,osservata,300.0,,4350,99,0.022758620689655173,0.7961929338076127,0.7500008873478813,0.8423849802673441
lr_penalized,sensibilità della soglia ACR,osservata,30.0,17.7-35.4,4097,381,0.09299487429826703,0.7055119522869113,0.6761497924641287,0.734874112109694
lr_penalized,sensibilità della soglia ACR,osservata,30.0,20-45,4103,324,0.07896660979770899,0.7175684990803629,0.686556411072309,0.7485805870884168
lr_penalized,sensibilità della soglia ACR,osservata,30.0,15-60,3891,271,0.0696479054227705,0.7308892785060447,0.6977426692884975,0.7640358877235919
lr_penalized,sensibilità della soglia ACR,alternativa,53.04,,4350,293,0.06735632183908045,0.7123330425397134,0.6799347057674017,0.7447313793120252
lr_penalized,sensibilità della soglia ACR,alternativa,53.04,17.7-35.4,4200,262,0.062380952380952384,0.7286567754391543,0.6953491211559651,0.7619644297223435
lr_penalized,sensibilità della soglia ACR,alternativa,53.04,20-45,4196,228,0.05433746425166826,0.7397889254385965,0.7049107477475626,0.7746671031296305
lr_penalized,sensibilità della soglia ACR,alternativa,53.04,15-60,4081,189,0.04631217838765009,0.7444710897948308,0.7073306769626535,0.7816115026270081
random_forest,sensibilità della soglia ACR,osservata,20.0,,4350,571,0.13126436781609196,0.6798497920807633,0.6553303051218875,0.7043692790396392
