candidate,reference,difference,low,high,t,p_value,p_holm,improves
ensemble_mean,random_forest,0.0018044211315098924,-0.008853519938233542,0.012462362201253326,0.47006041650188124,0.6627946115065573,1.0,False
xgboost_native_nan,random_forest,-0.001079055826152131,-0.014463747238675842,0.012305635586371579,-0.22383327149044485,0.8338545482396589,1.0,False
xgboost_extended,random_forest,-0.008740352191832224,-0.027236779128148803,0.009756074744484356,-1.3119889665322566,0.2597512868272503,1.0,False
target_decomposition,random_forest,-0.0009621581116523225,-0.015349326485331789,0.013425010262027144,-0.1856778978419815,0.861732839127049,1.0,False
catboost,random_forest,-0.0082727613338329,-0.030258625234136007,0.013713102566470204,-1.0447107203039343,0.3551319799473947,1.0,False
lightgbm,random_forest,-0.0007613338328962049,-0.022991789765881166,0.021469122100088753,-0.09508584080049119,0.9288196296811159,1.0,False
ebm,random_forest,-0.008833270887973099,-0.019866499139237232,0.002199957363291035,-2.2228391510879066,0.09032669035559147,0.9032669035559148,False
tabpfn,random_forest,0.009088047958036726,-0.013832112931042065,0.03200820884711552,1.1008852159025144,0.3327409107997763,1.0,False
xgboost_no_pruner,random_forest,-0.01061671037841887,-0.030085199678098088,0.008851778921260347,-1.514072977606402,0.20457048980571638,1.0,False
lr_all_scaled,random_forest,-0.010766579243162266,-0.060251427237828524,0.03871826875150399,-0.6040801871842477,0.5783775902710865,1.0,False
