model,analysis,n,positives,prevalence,auc,auc_low,auc_high
continuous_target,"albuminuria (ACR >= 30), tutti i soggetti",4350,387,0.08896551724137931,0.6775437656200997,0.6475792557634208,0.7075082754767785
target_decomposition,"albuminuria (ACR >= 30), tutti i soggetti",4350,387,0.08896551724137931,0.6904747467041711,0.6613408200329203,0.7196086733754219
continuous_target,componente: solo albuminuria,4287,362,0.08444133426638675,0.6765935883450048,0.645656094277628,0.7075310824123816
continuous_target,componente: eGFR < 60,3988,63,0.01579739217652959,0.8248832271762208,0.7663663673577593,0.8834000869946822
continuous_target,fascia ACR 30-45,4031,106,0.02629620441577772,0.6844081240235549,0.6279423687111507,0.740873879335959
continuous_target,fascia ACR 45-100,4059,134,0.03301305740330131,0.668215609848845,0.6192438125602957,0.7171874071373943
continuous_target,fascia ACR 100-300,4027,102,0.025329029053886266,0.697497189958786,0.6398375703196348,0.7551568095979371
continuous_target,fascia ACR 300-inf,3970,45,0.011335012594458438,0.7425958952583157,0.6543371961847844,0.830854594331847
target_decomposition,componente: solo albuminuria,4287,362,0.08444133426638675,0.6815223281838337,0.6512710802269254,0.7117735761407421
target_decomposition,componente: eGFR < 60,3988,63,0.01579739217652959,0.8167788898999091,0.7548502231170948,0.8787075566827234
target_decomposition,fascia ACR 30-45,4031,106,0.02629620441577772,0.6664343227977405,0.609227736777587,0.723640908817894
target_decomposition,fascia ACR 45-100,4059,134,0.03301305740330131,0.6834489970529517,0.6345502437327305,0.7323477503731729
target_decomposition,fascia ACR 100-300,4027,102,0.025329029053886266,0.7092718870987886,0.6560678449687477,0.7624759292288296
target_decomposition,fascia ACR 300-inf,3970,45,0.011335012594458438,0.7669355980184006,0.6907999227956154,0.8430712732411858
lr_penalized,componente: solo albuminuria,4287,362,0.08444133426638675,0.6723806172361614,0.6415019063955711,0.7032593280767516
lr_penalized,componente: eGFR < 60,3988,63,0.01579739217652959,0.8373187746436154,0.7849735304379657,0.889664018849265
lr_penalized,fascia ACR 30-45,4031,106,0.02629620441577772,0.645095541401274,0.5866978819018859,0.7034932009006621
lr_penalized,fascia ACR 45-100,4059,134,0.03301305740330131,0.6748455176347563,0.6229992152918397,0.726691819977673
lr_penalized,fascia ACR 100-300,4027,102,0.025329029053886266,0.698241538653678,0.6470318735828662,0.7494512037244898
lr_penalized,fascia ACR 300-inf,3970,45,0.011335012594458438,0.7896843595187546,0.7186104486280334,0.8607582704094758
random_forest,componente: solo albuminuria,4287,362,0.08444133426638675,0.6850779462997502,0.655203676876097,0.7149522157234033
random_forest,componente: eGFR < 60,3988,63,0.01579739217652959,0.8074168435951877,0.7455717382613459,0.8692619489290295
random_forest,fascia ACR 30-45,4031,106,0.02629620441577772,0.6823867323638987,0.6251672995748191,0.7396061651529783
random_forest,fascia ACR 45-100,4059,134,0.03301305740330131,0.6788116741135088,0.6297754007200601,0.7278479475069576
random_forest,fascia ACR 100-300,4027,102,0.025329029053886266,0.7072486574247532,0.6559818575813172,0.7585154572681891
random_forest,fascia ACR 300-inf,3970,45,0.011335012594458438,0.7576107572540695,0.6840148873575513,0.8312066271505876
xgboost,componente: solo albuminuria,4287,362,0.08444133426638675,0.6759418657845656,0.6459417608408099,0.7059419707283213
xgboost,componente: eGFR < 60,3988,63,0.01579739217652959,0.8113598220604591,0.7497863744007016,0.8729332697202166
xgboost,fascia ACR 30-45,4031,106,0.02629620441577772,0.6657469054200218,0.6077263086603069,0.7237675021797367
xgboost,fascia ACR 45-100,4059,134,0.03301305740330131,0.6764084038406691,0.6277721011223002,0.7250447065590381
xgboost,fascia ACR 100-300,4027,102,0.025329029053886266,0.7015986012239291,0.6497494850315358,0.7534477174163224
xgboost,fascia ACR 300-inf,3970,45,0.011335012594458438,0.7612908704883228,0.6882270821365659,0.8343546588400796
