role,model,auc,auc_low,auc_high,pr_auc,pr_auc_low,pr_auc_high,specificity,specificity_low,specificity_high,alert_rate,auc_folds_mean
riferimento,lr_penalized,0.6968302735106783,0.6686761114544535,0.7249844355669031,0.2421879528042959,0.20381134265066841,0.2852022160700989,0.22343949044585987,0.21068192159444774,0.23673787817225975,0.7887356321839081,0.7003641813413263
riferimento,random_forest,0.7032128887223679,0.6756747074761853,0.7307510699685504,0.24603167782196167,0.20740642159494455,0.2892252474220798,0.23235668789808916,0.2194097290362815,0.24582702790054597,0.7806896551724138,0.7078246534282503
riferimento,xgboost,0.6960155863619334,0.6683298481762259,0.7237013245476409,0.24994657506470913,0.2110724973196131,0.29331835572849313,0.25630573248407645,0.2428900552017331,0.27019795813484526,0.759080459770115,0.6976635443986512
candidato,ensemble_mean,0.7075057324840764,0.6800414212138746,0.7349700437542783,0.2575417778663618,0.21819745693076983,0.3012468476360799,0.2532484076433121,0.23988946080060403,0.2670898815062188,0.7618390804597701,0.7096290745597602
candidato,xgboost_native_nan,0.7006009741476207,0.6726566811330237,0.7285452671622177,0.24970500677551766,0.2108461544563187,0.2930659186496768,0.255796178343949,0.24238989496834726,0.26968000652993845,0.7595402298850574,0.7067455976020982
candidato,xgboost_extended,0.6926165605095541,0.6646011793617869,0.7206319416573214,0.24423724677711484,0.2057275298821946,0.2873476464474642,0.23337579617834395,0.22040772370256503,0.24686525691084757,0.7797701149425287,0.6990843012364181
candidato,target_decomposition,0.7015721243911578,0.6736812830796834,0.7294629657026321,0.2604075823183703,0.22089003490432668,0.3042342148792434,0.24280254777070065,0.22964419052711355,0.25646385909471164,0.771264367816092,0.706862495316598
candidato,catboost,0.695344173847883,0.6674261820496347,0.7232621656461314,0.24049949097795661,0.20223348499648763,0.28343361368759357,0.2402547770700637,0.22714696553573827,0.25387052489462403,0.7735632183908046,0.6995518920944173
candidato,lightgbm,0.7009198950917948,0.6735709803831172,0.7282688098004723,0.2463785711037087,0.20773108772783203,0.2895881106354943,0.24662420382165606,0.23339123104087867,0.2603526573681408,0.767816091954023,0.7070633195953541
candidato,ebm,0.6918780067440989,0.6635243714104837,0.7202316420777142,0.2567717119034493,0.21747432769149933,0.30044372846547995,0.23312101910828026,0.22015821497461696,0.24660570971964935,0.78,0.6989913825402772
candidato,tabpfn,0.7095187710753091,0.6819637046363882,0.7370738375142301,0.25306740009914774,0.2139981253961625,0.2965780985501712,0.2310828025477707,0.21816238708560184,0.2445290902554942,0.7818390804597701,0.716912701386287
candidato,xgboost_no_pruner,0.6946547770700636,0.6665490259740942,0.7227605281660331,0.24850124421904476,0.20971851224373048,0.2918077460939423,0.23923566878980893,0.22614825706071356,0.2528330096930636,0.7744827586206896,0.6972079430498315
candidato,lr_all_scaled,0.6964412139378044,0.6685533739580559,0.724329053917553,0.2503536252773225,0.21145393009752914,0.2937436824149999,0.24764331210191082,0.2343906831779633,0.2613894289076413,0.766896551724138,0.697058074185088
candidato,tri_ensemble_top21,0.7031247658298988,0.6756214873673579,0.7306280442924397,0.25182921143736153,0.21283704878650211,0.2952851256764314,0.2667515923566879,0.25314864089666966,0.2808106651249064,0.7496551724137931,0.7057294866991383
diagnostica,positive_control,0.9327112776320721,0.9165338886484341,0.94888866661571,0.808634591360185,0.7684321938927415,0.8432809155983308,0.7793630573248408,0.7661204683067278,0.7920593470371737,0.2871264367816092,0.9339437991757211
diagnostica,tri_ensemble_leaky,0.7155105282877481,0.6885752578508973,0.7424457987245988,0.26351265974847227,0.2238099792578745,0.3074684549036822,0.2721019108280255,0.2584068760159956,0.2862426043076524,0.7448275862068966,0.7181116523042339
