model,analysis,n,positives,prevalence,auc,auc_low,auc_high
lr_penalized,tutti,4350,425,0.09770114942528736,0.6968302735106783,0.6686761114544535,0.7249844355669031
lr_penalized,fascia ACR 30-45,4031,106,0.02629620441577772,0.645095541401274,0.5866978819018859,0.7034932009006621
lr_penalized,fascia ACR 45-100,4059,134,0.03301305740330131,0.6748455176347563,0.6229992152918397,0.726691819977673
lr_penalized,fascia ACR 100-300,4027,102,0.025329029053886266,0.698241538653678,0.6470318735828662,0.7494512037244898
lr_penalized,fascia ACR 300-inf,3970,45,0.011335012594458438,0.7896843595187546,0.7186104486280334,0.8607582704094758
lr_penalized,casi netti (zona grigia 17.7-35.4 esclusa),4097,381,0.09299487429826703,0.7055119522869113,0.6761497924641287,0.734874112109694
lr_penalized,coppie della stessa giornata,4350,425,0.09770114942528736,0.7062616107529232,,
random_forest,tutti,4350,425,0.09770114942528736,0.7032128887223679,0.6756747074761853,0.7307510699685504
random_forest,fascia ACR 30-45,4031,106,0.02629620441577772,0.6823867323638987,0.6251672995748191,0.7396061651529783
random_forest,fascia ACR 45-100,4059,134,0.03301305740330131,0.6788116741135088,0.6297754007200601,0.7278479475069576
random_forest,fascia ACR 100-300,4027,102,0.025329029053886266,0.7072486574247532,0.6559818575813172,0.7585154572681891
random_forest,fascia ACR 300-inf,3970,45,0.011335012594458438,0.7576107572540695,0.6840148873575513,0.8312066271505876
random_forest,casi netti (zona grigia 17.7-35.4 esclusa),4097,381,0.09299487429826703,0.7106383970572031,0.6819594088205254,0.7393173852938808
random_forest,coppie della stessa giornata,4350,425,0.09770114942528736,0.7015189596765381,,
xgboost,tutti,4350,425,0.09770114942528736,0.6960155863619334,0.6683298481762259,0.7237013245476409
xgboost,fascia ACR 30-45,4031,106,0.02629620441577772,0.6657469054200218,0.6077263086603069,0.7237675021797367
xgboost,fascia ACR 45-100,4059,134,0.03301305740330131,0.6764084038406691,0.6277721011223002,0.7250447065590381
xgboost,fascia ACR 100-300,4027,102,0.025329029053886266,0.7015986012239291,0.6497494850315358,0.7534477174163224
xgboost,fascia ACR 300-inf,3970,45,0.011335012594458438,0.7612908704883228,0.6882270821365659,0.8343546588400796
xgboost,casi netti (zona grigia 17.7-35.4 esclusa),4097,381,0.09299487429826703,0.700593870868402,0.6716088949574158,0.7295788467793881
xgboost,coppie della stessa giornata,4350,425,0.09770114942528736,0.6961862091574691,,
ensemble_mean,tutti,4350,425,0.09770114942528736,0.7075057324840764,0.6800414212138746,0.7349700437542783
ensemble_mean,fascia ACR 30-45,4031,106,0.02629620441577772,0.6729287345271001,0.6150062497230079,0.7308512193311923
ensemble_mean,fascia ACR 45-100,4059,134,0.03301305740330131,0.6841144595493869,0.6344419123036472,0.7337870067951265
ensemble_mean,fascia ACR 100-300,4027,102,0.025329029053886266,0.7117122517796929,0.662007151093242,0.7614173524661437
ensemble_mean,fascia ACR 300-inf,3970,45,0.011335012594458438,0.7826242038216561,0.7129359973026852,0.852312410340627
ensemble_mean,casi netti (zona grigia 17.7-35.4 esclusa),4097,381,0.09299487429826703,0.7144878216918257,0.6859364382287316,0.7430392051549197
ensemble_mean,coppie della stessa giornata,4350,425,0.09770114942528736,0.7110479728991367,,
tabpfn,tutti,4350,425,0.09770114942528736,0.7095187710753091,0.6819637046363882,0.7370738375142301
tabpfn,fascia ACR 30-45,4031,106,0.02629620441577772,0.6771109241677683,0.619451246816483,0.7347706015190536
tabpfn,fascia ACR 45-100,4059,134,0.03301305740330131,0.6794866432170359,0.6292694009705809,0.7297038854634909
tabpfn,fascia ACR 100-300,4027,102,0.025329029053886266,0.7182914949419259,0.668707987172122,0.7678750027117298
tabpfn,fascia ACR 300-inf,3970,45,0.011335012594458438,0.7635102618542108,0.684388569199099,0.8426319545093226
tabpfn,casi netti (zona grigia 17.7-35.4 esclusa),4097,381,0.09299487429826703,0.7173349832885527,0.6885956561899323,0.7460743103871731
tabpfn,coppie della stessa giornata,4350,425,0.09770114942528736,0.7087094306633155,,
