model,analysis,n,positives,prevalence,auc
lr_penalized,tutte le giornate,4350,425,0.09770114942528736,0.6968302735106782
lr_penalized,giornate UCRE basso,1046,152,0.14531548757170173,0.7122777581537737
lr_penalized,altre giornate,3304,273,0.0826271186440678,0.6920067725082572
lr_penalized,componente: solo albuminuria,4287,362,0.08444133426638675,0.6723806172361615
lr_penalized,componente: eGFR < 60,3988,63,0.01579739217652959,0.8373187746436154
random_forest,tutte le giornate,4350,425,0.09770114942528736,0.703212888722368
random_forest,giornate UCRE basso,1046,152,0.14531548757170173,0.726532144118686
random_forest,altre giornate,3304,273,0.0826271186440678,0.6942824029594072
random_forest,componente: solo albuminuria,4287,362,0.08444133426638675,0.6850779462997502
random_forest,componente: eGFR < 60,3988,63,0.01579739217652959,0.8074168435951875
xgboost,tutte le giornate,4350,425,0.09770114942528736,0.6960155863619334
xgboost,giornate UCRE basso,1046,152,0.14531548757170173,0.7087822324267045
xgboost,altre giornate,3304,273,0.0826271186440678,0.6915088650489508
xgboost,componente: solo albuminuria,4287,362,0.08444133426638675,0.6759418657845655
xgboost,componente: eGFR < 60,3988,63,0.01579739217652959,0.811359822060459
ensemble_mean,tutte le giornate,4350,425,0.09770114942528736,0.7075057324840763
ensemble_mean,giornate UCRE basso,1046,152,0.14531548757170173,0.7255239609089839
ensemble_mean,altre giornate,3304,273,0.0826271186440678,0.7009304343517475
ensemble_mean,componente: solo albuminuria,4287,362,0.08444133426638675,0.6864883696378927
ensemble_mean,componente: eGFR < 60,3988,63,0.01579739217652959,0.8282721666161157
xgboost_native_nan,tutte le giornate,4350,425,0.09770114942528736,0.7006009741476208
xgboost_native_nan,giornate UCRE basso,1046,152,0.14531548757170173,0.7207700459201695
xgboost_native_nan,altre giornate,3304,273,0.0826271186440678,0.6869273913153819
xgboost_native_nan,componente: solo albuminuria,4287,362,0.08444133426638675,0.6756934229510505
xgboost_native_nan,componente: eGFR < 60,3988,63,0.01579739217652959,0.8437205540390255
xgboost_extended,tutte le giornate,4350,425,0.09770114942528736,0.6926165605095541
xgboost_extended,giornate UCRE basso,1046,152,0.14531548757170173,0.7131976333451079
xgboost_extended,altre giornate,3304,273,0.0826271186440678,0.6838287633404756
xgboost_extended,componente: solo albuminuria,4287,362,0.08444133426638675,0.6723813210402224
xgboost_extended,componente: eGFR < 60,3988,63,0.01579739217652959,0.8088888888888889
target_decomposition,tutte le giornate,4350,425,0.09770114942528736,0.7015721243911577
target_decomposition,giornate UCRE basso,1046,152,0.14531548757170173,0.7227275403273284
target_decomposition,altre giornate,3304,273,0.0826271186440678,0.6941651771740851
target_decomposition,componente: solo albuminuria,4287,362,0.08444133426638675,0.6815223281838335
target_decomposition,componente: eGFR < 60,3988,63,0.01579739217652959,0.816778889899909
catboost,tutte le giornate,4350,425,0.09770114942528736,0.695344173847883
catboost,giornate UCRE basso,1046,152,0.14531548757170173,0.7064494289414812
catboost,altre giornate,3304,273,0.0826271186440678,0.6914919458634404
catboost,componente: solo albuminuria,4287,362,0.08444133426638675,0.676325438997783
catboost,componente: eGFR < 60,3988,63,0.01579739217652959,0.8046264280659184
lightgbm,tutte le giornate,4350,425,0.09770114942528736,0.7009198950917946
lightgbm,giornate UCRE basso,1046,152,0.14531548757170173,0.7121673731308136
lightgbm,altre giornate,3304,273,0.0826271186440678,0.6980070407981988
lightgbm,componente: solo albuminuria,4287,362,0.08444133426638675,0.6797585952070944
lightgbm,componente: eGFR < 60,3988,63,0.01579739217652959,0.8225133960165807
ebm,tutte le giornate,4350,425,0.09770114942528736,0.6918780067440988
ebm,giornate UCRE basso,1046,152,0.14531548757170173,0.7059931708465795
ebm,altre giornate,3304,273,0.0826271186440678,0.6863690581935386
ebm,componente: solo albuminuria,4287,362,0.08444133426638675,0.6726438399549565
ebm,componente: eGFR < 60,3988,63,0.01579739217652959,0.8023981397229805
tabpfn,tutte le giornate,4350,425,0.09770114942528736,0.7095187710753091
tabpfn,giornate UCRE basso,1046,152,0.14531548757170173,0.7166563640645237
tabpfn,altre giornate,3304,273,0.0826271186440678,0.7084425527183692
tabpfn,componente: solo albuminuria,4287,362,0.08444133426638675,0.6833156209311328
tabpfn,componente: eGFR < 60,3988,63,0.01579739217652959,0.8600829036497826
xgboost_no_pruner,tutte le giornate,4350,425,0.09770114942528736,0.6946547770700636
xgboost_no_pruner,giornate UCRE basso,1046,152,0.14531548757170173,0.7085541033792535
xgboost_no_pruner,altre giornate,3304,273,0.0826271186440678,0.6894640606286928
xgboost_no_pruner,componente: solo albuminuria,4287,362,0.08444133426638675,0.6744645810606327
xgboost_no_pruner,componente: eGFR < 60,3988,63,0.01579739217652959,0.8106682842988575
lr_all_scaled,tutte le giornate,4350,425,0.09770114942528736,0.6964412139378044
lr_all_scaled,giornate UCRE basso,1046,152,0.14531548757170173,0.7116375250206052
lr_all_scaled,altre giornate,3304,273,0.0826271186440678,0.6916115886752641
lr_all_scaled,componente: solo albuminuria,4287,362,0.08444133426638675,0.6742597740788964
lr_all_scaled,componente: eGFR < 60,3988,63,0.01579739217652959,0.8238964715397836
