model,fold,fraction,draw,n_train,positives,auc,pr_auc
lr_penalized,0,0.2,0,696,68,0.6617309853877857,0.17952034606943193
lr_penalized,0,0.2,1,696,68,0.6381116523042337,0.1724904094775203
lr_penalized,0,0.2,2,696,68,0.6572349194454853,0.18781451464098453
lr_penalized,0,0.4,0,1392,136,0.6536230798051704,0.18215148207056064
lr_penalized,0,0.4,1,1392,136,0.6452004496065942,0.1852825505146804
lr_penalized,0,0.4,2,1392,136,0.6537279880104908,0.17167313035866433
lr_penalized,0,0.6,0,2088,204,0.6569351817159985,0.17585578760948314
lr_penalized,0,0.6,1,2088,204,0.6588684900711878,0.19406520536416003
lr_penalized,0,0.6,2,2088,204,0.6646234544773323,0.18286771283229078
lr_penalized,0,0.8,0,2784,272,0.6673660547021356,0.18766024214786642
lr_penalized,0,0.8,1,2784,272,0.6503409516672911,0.1841835880575596
lr_penalized,0,0.8,2,2784,272,0.6538928437617084,0.17176888002989935
lr_penalized,0,1.0,0,3480,340,0.6586886474334956,0.18983217254823226
lr_penalized,1,0.2,0,696,68,0.6383664293742976,0.1812094210886796
lr_penalized,1,0.2,1,696,68,0.6197527163731735,0.176421092102921
lr_penalized,1,0.2,2,696,68,0.6461596103409516,0.18819333313173825
lr_penalized,1,0.4,0,1392,136,0.6720869239415511,0.2142597374278256
lr_penalized,1,0.4,1,1392,136,0.6576095916073437,0.22219833463418226
lr_penalized,1,0.4,2,1392,136,0.6600524541026601,0.24138172648102973
lr_penalized,1,0.6,0,2088,204,0.6635593855376545,0.2231689286168962
lr_penalized,1,0.6,1,2088,204,0.6802547770700637,0.23861102148784782
lr_penalized,1,0.6,2,2088,204,0.674140127388535,0.24539584156974165
lr_penalized,1,0.8,0,2784,272,0.6740801798426377,0.24445053046829246
lr_penalized,1,0.8,1,2784,272,0.6682652678905957,0.2378553919056835
lr_penalized,1,0.8,2,2784,272,0.6722967403521919,0.21379552154916298
lr_penalized,1,1.0,0,3480,340,0.6783814162607719,0.23133630318313095
lr_penalized,2,0.2,0,696,68,0.6436867740726864,0.18134681057251306
lr_penalized,2,0.2,1,696,68,0.6100262270513301,0.15427552426284188
lr_penalized,2,0.2,2,696,68,0.6511502435369052,0.22574167965470837
lr_penalized,2,0.4,0,1392,136,0.6218808542525289,0.17737384327384703
lr_penalized,2,0.4,1,1392,136,0.6358786062195579,0.17013833054051508
lr_penalized,2,0.4,2,1392,136,0.6480929186961408,0.18716632166275637
lr_penalized,2,0.6,0,2088,204,0.6374222555264144,0.1715846060491254
lr_penalized,2,0.6,1,2088,204,0.6626152116897714,0.20548424354023118
lr_penalized,2,0.6,2,2088,204,0.6596927688272762,0.200527611001632
lr_penalized,2,0.8,0,2784,272,0.6579093293368303,0.20219161947048514
lr_penalized,2,0.8,1,2784,272,0.6478531285125515,0.20644513834458175
lr_penalized,2,0.8,2,2784,272,0.6699887598351442,0.20264018726291175
lr_penalized,2,1.0,0,3480,340,0.6598426376920196,0.20782824159626873
lr_penalized,3,0.2,0,696,68,0.7556837766953916,0.3465595267448742
lr_penalized,3,0.2,1,696,68,0.7376695391532408,0.3200445250068582
lr_penalized,3,0.2,2,696,68,0.7282877482203072,0.3334516618517517
lr_penalized,3,0.4,0,1392,136,0.7475309104533534,0.3387689287021831
lr_penalized,3,0.4,1,1392,136,0.7528212813787936,0.349298541725099
lr_penalized,3,0.4,2,1392,136,0.726039715249157,0.3414186388494168
lr_penalized,3,0.6,0,2088,204,0.744878231547396,0.35556297887868277
lr_penalized,3,0.6,1,2088,204,0.7575121768452603,0.3698227320823035
lr_penalized,3,0.6,2,2088,204,0.7598351442487823,0.3683534438849812
lr_penalized,3,0.8,0,2784,272,0.7638666167103784,0.36497395741684635
lr_penalized,3,0.8,1,2784,272,0.7538104158860998,0.3649624347562905
lr_penalized,3,0.8,2,2784,272,0.7530910453353316,0.3574410160312125
lr_penalized,3,1.0,0,3480,340,0.7621131509928812,0.3756802620081798
lr_penalized,4,0.2,0,696,68,0.6107455976020981,0.1740368630288866
lr_penalized,4,0.2,1,696,68,0.6578044211315099,0.19275725661688292
lr_penalized,4,0.2,2,696,68,0.7141551142750093,0.23948139138782318
lr_penalized,4,0.4,0,1392,136,0.6616860247283627,0.20539925352377186
lr_penalized,4,0.4,1,1392,136,0.7432296740352192,0.23517091936780732
