metodo,fold,RMSE,MAE,PR-AUC,AUC,secondi
mediana,0,0.9621259459161631,0.6527109084656018,0.2079384778840937,0.6798501311352566,0.5576628999988316
mediana,1,1.026788127733346,0.6778921071160142,0.22831645488631772,0.6630798051704758,0.5576628999988316
mediana,2,1.0317449526780567,0.6713230153270265,0.1910768275361963,0.6488872236792805,0.5576628999988316
mediana,3,0.9575798488781895,0.6422972316411248,0.35089448383804583,0.7394529786436868,0.5576628999988316
mediana,4,1.20966233149982,0.694533591554504,0.24460961722684704,0.716912701386287,0.5576628999988316
KNN,0,0.724620888197287,0.4986187243043478,0.20502390948378255,0.6802248032971151,5.097082299998874
KNN,1,0.7476314475451674,0.48931677848917937,0.23722901132180169,0.6637392281753466,5.097082299998874
KNN,2,0.7921648453349516,0.5219692256060041,0.19381792277649096,0.6473285874859498,5.097082299998874
KNN,3,0.7021969844442895,0.4972613960016848,0.3580838406197229,0.741476208317722,5.097082299998874
KNN,4,0.9709447326879475,0.5257675677485165,0.2465147143160335,0.7192956163357063,5.097082299998874
MICE,0,1.3213132858512517,0.34778424820651965,0.2015697621827836,0.679865118021731,50.60406250000233
MICE,1,0.809948782730003,0.2897743933334849,0.22794452388014008,0.6642188085425254,50.60406250000233
MICE,2,0.9193281475222846,0.3352872431117095,0.19313756957439382,0.6571300112401648,50.60406250000233
MICE,3,0.8100864276267894,0.3072454510620364,0.35507715727139494,0.7449981266391907,50.60406250000233
MICE,4,0.8878557942178034,0.30735075737910666,0.2488740428517815,0.720854252529037,50.60406250000233
MissForest,0,0.6583595981317042,0.4373077210228744,0.20567653813478481,0.6825177969276883,267.4855433999983
MissForest,1,0.6882304293985702,0.42871796205116214,0.23357420382450622,0.6651779692768827,267.4855433999983
MissForest,2,0.7297788604643671,0.4435747833788257,0.19313084244688045,0.6498463844136382,267.4855433999983
MissForest,3,0.6363543570478377,0.4220682264104974,0.35420607754559214,0.740621955788685,267.4855433999983
MissForest,4,0.9335183887434149,0.4554290237346769,0.24488362228686586,0.7203896590483326,267.4855433999983
