group,model,bin,n,events,predicted,observed,low,high
diabetici,lr_scored,1,27,4,0.1260370582589658,0.14814814814814814,0.05915927776244331,0.3247868542781298
diabetici,lr_scored,2,26,6,0.15974608427953843,0.23076923076923078,0.11033849405783291,0.42051554078943687
diabetici,lr_scored,3,26,5,0.18488209620111296,0.19230769230769232,0.0850706114894241,0.3787625711931699
diabetici,lr_scored,4,26,10,0.2073223084668222,0.38461538461538464,0.22428594435712793,0.5746514991488448
diabetici,lr_scored,5,27,3,0.23052039300116003,0.1111111111111111,0.0385203482830984,0.2805780081827982
diabetici,lr_scored,6,26,4,0.25585509224774755,0.15384615384615385,0.06150033723578355,0.3353119932821348
diabetici,lr_scored,7,26,8,0.28437045832483643,0.3076923076923077,0.16501315595463759,0.49988258322198365
diabetici,lr_scored,8,26,8,0.31518600366514016,0.3076923076923077,0.16501315595463759,0.49988258322198365
diabetici,lr_scored,9,26,7,0.35808045170823644,0.2692307692307692,0.13704448322018378,0.46083040379176177
diabetici,lr_scored,10,27,13,0.4604117671628056,0.48148148148148145,0.30743226976218463,0.6601438424504771
non diabetici,lr_scored,1,409,19,0.03668020570534281,0.04645476772616137,0.02993882481272056,0.07141111940125619
non diabetici,lr_scored,2,409,22,0.04612191587536425,0.05378973105134474,0.035787094055890326,0.08009627424087926
non diabetici,lr_scored,3,408,28,0.05295595059733778,0.06862745098039216,0.047904704977089985,0.09739746783486983
non diabetici,lr_scored,4,409,23,0.05997135339304266,0.05623471882640587,0.03776116089109863,0.08296668209993523
non diabetici,lr_scored,5,409,19,0.0677602258145487,0.04645476772616137,0.02993882481272056,0.07141111940125619
non diabetici,lr_scored,6,408,36,0.0766817595228979,0.08823529411764706,0.06441471828163761,0.1197373557661422
non diabetici,lr_scored,7,409,29,0.08804400205587247,0.07090464547677261,0.049818991480289586,0.09997569967632988
non diabetici,lr_scored,8,408,40,0.10307455585140789,0.09803921568627451,0.07282531799397461,0.13075170667171523
non diabetici,lr_scored,9,409,51,0.12849802458918097,0.12469437652811736,0.09612743671500855,0.16024569771542502
non diabetici,lr_scored,10,409,90,0.21309780876805615,0.2200488997555012,0.182606782095879,0.26270086541086135
tutti,lr_scored,1,435,21,0.03702656258432556,0.04827586206896552,0.03178933696832281,0.07267084540342628
tutti,lr_scored,2,435,23,0.04679926095180546,0.052873563218390804,0.035487699489527035,0.07808739196749687
tutti,lr_scored,3,435,28,0.05406057262914382,0.06436781609195402,0.04490617298411145,0.09145619118609952
tutti,lr_scored,4,435,23,0.061636634119983505,0.052873563218390804,0.035487699489527035,0.07808739196749687
tutti,lr_scored,5,435,29,0.07016248910756459,0.06666666666666667,0.04681547163210201,0.09410434708074636
tutti,lr_scored,6,435,34,0.08042708912917793,0.07816091954022988,0.056469481756819956,0.10723760966921544
tutti,lr_scored,7,435,35,0.09366350160968616,0.08045977011494253,0.05841975028940159,0.10984479567927123
tutti,lr_scored,8,435,45,0.1130102454116484,0.10344827586206896,0.07821552298007252,0.13562356841497442
tutti,lr_scored,9,435,68,0.14983923728407295,0.15632183908045977,0.12521976278324037,0.19344078309246693
tutti,lr_scored,10,435,119,0.26978188898283273,0.2735632183908046,0.23379003449952535,0.3173006930506898
diabetici,lr_penalized,1,27,2,0.06511730568260753,0.07407407407407407,0.020554654060988622,0.2336959268302315
diabetici,lr_penalized,2,26,4,0.09504996663431303,0.15384615384615385,0.06150033723578355,0.3353119932821348
diabetici,lr_penalized,3,26,3,0.1242928915567738,0.11538461538461539,0.04003244623610612,0.2897590321171364
diabetici,lr_penalized,4,26,4,0.1490128497720036,0.15384615384615385,0.06150033723578355,0.3353119932821348
diabetici,lr_penalized,5,27,8,0.17475668776655698,0.2962962962962963,0.15853040469779764,0.4848068296414815
diabetici,lr_penalized,6,26,5,0.20894854599623833,0.19230769230769232,0.0850706114894241,0.3787625711931699
diabetici,lr_penalized,7,26,8,0.2541059583869181,0.3076923076923077,0.16501315595463759,0.49988258322198365
diabetici,lr_penalized,8,26,13,0.29418698492706213,0.5,0.32060593525759046,0.6793940647424095
diabetici,lr_penalized,9,26,11,0.3628618118200142,0.4230769230769231,0.2554444331365656,0.6105138625340829
diabetici,lr_penalized,10,27,10,0.5672612321249387,0.37037037037037035,0.21532512960965602,0.5577076558789762
non diabetici,lr_penalized,1,409,17,0.029548416427415694,0.04156479217603912,0.02611050678874763,0.06555048803670056
non diabetici,lr_penalized,2,409,22,0.04154923577116238,0.05378973105134474,0.035787094055890326,0.08009627424087926
non diabetici,lr_penalized,3,408,17,0.05015735587000662,0.041666666666666664,0.026174898338273335,0.06570866027443398
non diabetici,lr_penalized,4,409,22,0.05844437735634601,0.05378973105134474,0.035787094055890326,0.08009627424087926
non diabetici,lr_penalized,5,409,32,0.06645626661075893,0.07823960880195599,0.05596376209368209,0.10836435314573026
non diabetici,lr_penalized,6,408,23,0.07591360793646619,0.056372549019607844,0.03785443392745709,0.08316655061211521
non diabetici,lr_penalized,7,409,34,0.08875306050050337,0.08312958435207823,0.060096474721150116,0.11392058990679077
non diabetici,lr_penalized,8,408,37,0.1062807195685819,0.09068627450980392,0.06650871686034403,0.12249959484191329
non diabetici,lr_penalized,9,409,53,0.1361614356043778,0.1295843520782396,0.10045186022075525,0.16561022359820687
non diabetici,lr_penalized,10,409,100,0.24410382424626706,0.24449877750611246,0.20534970284123644,0.2884026916081467
tutti,lr_penalized,1,435,18,0.0299938737473232,0.041379310344827586,0.026332218079018813,0.06445560066481806
tutti,lr_penalized,2,435,23,0.04239635704314653,0.052873563218390804,0.035487699489527035,0.07808739196749687
tutti,lr_penalized,3,435,18,0.05147485386573384,0.041379310344827586,0.026332218079018813,0.06445560066481806
tutti,lr_penalized,4,435,29,0.06001376041329526,0.06666666666666667,0.04681547163210201,0.09410434708074636
tutti,lr_penalized,5,435,29,0.06864578213824898,0.06666666666666667,0.04681547163210201,0.09410434708074636
tutti,lr_penalized,6,435,29,0.07924121317568744,0.06666666666666667,0.04681547163210201,0.09410434708074636
tutti,lr_penalized,7,435,40,0.09368535959368521,0.09195402298850575,0.06825552687649503,0.12279629180536483
tutti,lr_penalized,8,435,42,0.11451193053203132,0.09655172413793103,0.07222573015345832,0.12794099761367636
tutti,lr_penalized,9,435,65,0.15154892916423657,0.14942528735632185,0.11899809432312941,0.1859900879246657
tutti,lr_penalized,10,435,132,0.290749706531976,0.30344827586206896,0.2621200793275824,0.34821755727691905
diabetici,random_forest,1,27,2,0.08754651370323219,0.07407407407407407,0.020554654060988622,0.2336959268302315
diabetici,random_forest,2,26,1,0.12271146690453241,0.038461538461538464,0.006821984993543473,0.18892778903034757
diabetici,random_forest,3,26,4,0.1521191281199331,0.15384615384615385,0.06150033723578355,0.3353119932821348
diabetici,random_forest,4,26,6,0.17610601496710696,0.23076923076923078,0.11033849405783291,0.42051554078943687
diabetici,random_forest,5,27,6,0.19544335735527943,0.2222222222222222,0.1060723945236004,0.4075692886663258
diabetici,random_forest,6,26,3,0.21241362500910055,0.11538461538461539,0.04003244623610612,0.2897590321171364
diabetici,random_forest,7,26,10,0.23103929312129481,0.38461538461538464,0.22428594435712793,0.5746514991488448
diabetici,random_forest,8,26,13,0.25370902937510065,0.5,0.32060593525759046,0.6793940647424095
diabetici,random_forest,9,26,8,0.281209806464872,0.3076923076923077,0.16501315595463759,0.49988258322198365
diabetici,random_forest,10,27,15,0.34679692511267574,0.5555555555555556,0.3731302451322449,0.7241414182297701
non diabetici,random_forest,1,409,17,0.034585218688951876,0.04156479217603912,0.02611050678874763,0.06555048803670056
non diabetici,random_forest,2,409,17,0.05062827054214905,0.04156479217603912,0.02611050678874763,0.06555048803670056
non diabetici,random_forest,3,408,23,0.059363941803037404,0.056372549019607844,0.03785443392745709,0.08316655061211521
non diabetici,random_forest,4,409,16,0.06702978851067112,0.039119804400977995,0.02422082088780651,0.0625956992433774
non diabetici,random_forest,5,409,18,0.07492091088651824,0.044009779951100246,0.0280169243153537,0.06848854520435878
