group,model,rule,threshold,tp,fp,fn,tn,sensitivity,specificity,ppv,npv,balanced_accuracy,f1,mcc
tutti,lr_scored,"soglia del progetto (sensibilita' 0,90)",0.0502852648657892,383,3104,42,821,0.9011764705882352,0.209171974522293,0.10983653570404359,0.951332560834299,0.5551742225552642,0.19580777096114518,0.08215786445509583
tutti,lr_scored,soglia 0.05,0.05,383,3121,42,804,0.9011764705882352,0.20484076433121018,0.10930365296803653,0.950354609929078,0.5530086174597227,0.1949605497582082,0.07952863680743831
tutti,lr_scored,soglia 0.07,0.07,316,2077,109,1848,0.7435294117647059,0.470828025477707,0.13205181780192227,0.9443025038323966,0.6071787186212064,0.22427253371185238,0.12793403264149653
tutti,lr_penalized,"soglia del progetto (sensibilita' 0,90)",0.0479707257418685,383,3048,42,877,0.9011764705882352,0.22343949044585987,0.11162926260565433,0.9542981501632208,0.5623079805170476,0.19865145228215766,0.09063999062601928
tutti,lr_penalized,soglia 0.05,0.05,377,2960,48,965,0.8870588235294118,0.24585987261146497,0.1129757267006293,0.9526159921026653,0.5664593480704384,0.2004253056884636,0.09337218933372482
tutti,lr_penalized,soglia 0.07,0.07,317,2010,108,1915,0.7458823529411764,0.4878980891719745,0.1362269015900301,0.9466139396935245,0.6168902210565754,0.23037790697674418,0.13916381893399862
tutti,random_forest,"soglia del progetto (sensibilita' 0,90)",0.0581256463703772,383,3013,42,912,0.9011764705882352,0.23235668789808916,0.11277974087161366,0.9559748427672956,0.5667665792431622,0.2004710808688825,0.0958176221460109
tutti,random_forest,soglia 0.05,0.05,401,3369,24,556,0.9435294117647058,0.141656050955414,0.10636604774535809,0.9586206896551724,0.5425927313600599,0.19117997616209773,0.0744037989361774
tutti,random_forest,soglia 0.07,0.07,354,2410,71,1515,0.8329411764705882,0.38598726114649684,0.12807525325615052,0.955233291298865,0.6094642188085425,0.22201317027281278,0.1350503961474489
tutti,xgboost,"soglia del progetto (sensibilita' 0,90)",0.0418949387967586,383,2919,42,1006,0.9011764705882352,0.25630573248407645,0.11599030890369473,0.9599236641221374,0.5787411015361559,0.20552723370002682,0.10933937861575807
tutti,xgboost,soglia 0.05,0.05,355,2501,70,1424,0.8352941176470589,0.36280254777070065,0.12429971988795518,0.9531459170013387,0.5990483327088798,0.21639743980493753,0.12386170683033451
tutti,xgboost,soglia 0.07,0.07,303,1773,122,2152,0.7129411764705882,0.5482802547770701,0.14595375722543352,0.9463500439753738,0.6306107156238292,0.2423030787684926,0.15527952556365635
