group,model,thresholds,thresholds_beating_both,ranges_beating_both,ranges_test_all_not_worse,max_avoided_per_100
diabetici,dummy,37,0,,"0,020-0,200",0.0
non diabetici,dummy,37,0,,"0,020-0,085",56.32493271348178
tutti,dummy,37,0,,"0,020-0,095",51.14942528735631
diabetici,lr_scored,37,17,"0,095-0,150; 0,160-0,170; 0,185-0,185; 0,195-0,195","0,020-0,090; 0,155-0,155; 0,175-0,180; 0,190-0,190; 0,200-0,200",5.3231939163498145
non diabetici,lr_scored,37,31,"0,025-0,025; 0,050-0,050; 0,060-0,200","0,020-0,020; 0,030-0,045; 0,055-0,055",58.478101296794726
tutti,lr_scored,37,31,"0,025-0,025; 0,050-0,050; 0,060-0,200","0,020-0,020; 0,030-0,045; 0,055-0,055",54.89655172413792
diabetici,lr_penalized,37,25,"0,045-0,055; 0,080-0,080; 0,090-0,090; 0,100-0,100; 0,110-0,200","0,020-0,040; 0,060-0,075; 0,085-0,085; 0,095-0,095; 0,105-0,105",12.9277566539924
non diabetici,lr_penalized,37,34,"0,020-0,030; 0,050-0,200","0,035-0,045",59.62808906288232
tutti,lr_penalized,37,34,"0,020-0,030; 0,050-0,200","0,035-0,045",56.80459770114942
diabetici,random_forest,37,30,"0,050-0,075; 0,085-0,200","0,020-0,045; 0,080-0,080",16.04317429167177
non diabetici,random_forest,37,36,"0,020-0,040; 0,050-0,200","0,045-0,045",58.06214827501835
tutti,random_forest,37,36,"0,020-0,040; 0,050-0,200","0,045-0,045",55.517241379310335
diabetici,xgboost,37,14,"0,030-0,035; 0,100-0,105; 0,155-0,200","0,020-0,025; 0,040-0,095; 0,110-0,150",9.125475285171108
non diabetici,xgboost,37,33,"0,020-0,020; 0,045-0,200","0,025-0,040",59.28553951553708
tutti,xgboost,37,33,"0,020-0,020; 0,045-0,200","0,025-0,040",56.25287356321837
