setting,population,model,rule,threshold,n,positives,prevalence,screened,screened_low,screened_high,detected,detected_low,detected_high
tesi,"tutti, bersaglio composito",lr_scored,sensibilita' 0.85,0.0549084761541473,4350.0,425.0,0.09770114942528736,0.7379310344827587,0.72465688249858,0.7507853263136564,0.851764705882353,0.8148357311181423,0.8823916330976317
tesi,"tutti, bersaglio composito",lr_scored,soglia 0.05,0.05,4350.0,425.0,0.09770114942528736,0.8055172413793104,0.7934877720885647,0.8170075858935242,0.9011764705882352,0.8691105709655115,0.9260550852136825
tesi,"tutti, bersaglio composito",lr_scored,soglia 0.07,0.07,4350.0,425.0,0.09770114942528736,0.5501149425287356,0.53529355654252,0.5648478942024727,0.7435294117647059,0.6999601968611608,0.7827356706728366
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,sensibilita' 0.85,0.0517305211767022,4087.0,322.0,0.07878639588940543,0.769023733790066,0.7558536126416584,0.7816886074946181,0.8509316770186336,0.8079027764640548,0.8856860652320061
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,soglia 0.05,0.05,4087.0,322.0,0.07878639588940543,0.7930022021042329,0.7803085816027624,0.8051455417380207,0.8788819875776398,0.838709334903196,0.9101210959544981
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,soglia 0.07,0.07,4087.0,322.0,0.07878639588940543,0.5211646684609739,0.5058366440008141,0.5364529440317353,0.6770186335403726,0.6241156940756879,0.7257477039479888
tesi,"tutti, bersaglio composito",lr_penalized,sensibilita' 0.85,0.0565973936469687,4350.0,425.0,0.09770114942528736,0.6919540229885057,0.6780698018357629,0.7054995163847368,0.851764705882353,0.8148357311181423,0.8823916330976317
tesi,"tutti, bersaglio composito",lr_penalized,soglia 0.05,0.05,4350.0,425.0,0.09770114942528736,0.7671264367816092,0.7543338635227341,0.7794476308152549,0.8870588235294118,0.8534344106166456,0.9137488764301427
tesi,"tutti, bersaglio composito",lr_penalized,soglia 0.07,0.07,4350.0,425.0,0.09770114942528736,0.5349425287356322,0.5200960862132634,0.5497273106364563,0.7458823529411764,0.7024157481708075,0.7849438475519241
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_penalized,sensibilita' 0.85,0.0518775449314434,4087.0,322.0,0.07878639588940543,0.7286518228529484,0.7148095167220466,0.7420647031209279,0.8509316770186336,0.8079027764640548,0.8856860652320061
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_penalized,soglia 0.05,0.05,4087.0,322.0,0.07878639588940543,0.752874969415219,0.7394175045276173,0.7658575154913384,0.8571428571428571,0.8147051340301188,0.8911596163685274
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_penalized,soglia 0.07,0.07,4087.0,322.0,0.07878639588940543,0.5089307560557866,0.4936029418017561,0.5242417976570651,0.6863354037267081,0.633712183568522,0.7345650775090324
tesi,"tutti, bersaglio composito",random_forest,sensibilita' 0.85,0.0657295171119079,4350.0,425.0,0.09770114942528736,0.6850574712643678,0.6710960266982346,0.6986923579335047,0.851764705882353,0.8148357311181423,0.8823916330976317
tesi,"tutti, bersaglio composito",random_forest,soglia 0.05,0.05,4350.0,425.0,0.09770114942528736,0.8666666666666667,0.856240624776206,0.8764456776928924,0.9435294117647058,0.917351218148074,0.9617615454283369
tesi,"tutti, bersaglio composito",random_forest,soglia 0.07,0.07,4350.0,425.0,0.09770114942528736,0.6354022988505748,0.6209853907775792,0.6495802720150848,0.8329411764705882,0.7945275882938004,0.8653899504120995
