group,model,threshold,n,positives,tests_per_100,found_per_100,missed_per_100,recall,recall_low,recall_high,severe_n,severe_detected,severe_sensitivity,severe_low,severe_high,net_benefit,net_benefit_all,avoided_per_100
diabetici,lr_scored,0.05,263,68,100.0,25.85551330798479,0.0,1.0,0.9465286634799295,1.0,16,16,1.0,0.8063923194655637,1.0,0.21953171903141883,0.21953171903141883,0.0
diabetici,lr_scored,0.07,263,68,100.0,25.85551330798479,0.0,1.0,0.9465286634799295,1.0,16,16,1.0,0.8063923194655637,1.0,0.2027474549245676,0.2027474549245676,0.0
non diabetici,lr_scored,0.05,4087,357,79.30022021042329,7.707364815267923,1.027648642035723,0.8823529411764706,0.8447910917116028,0.9117738575938941,55,50,0.9090909090909091,0.8042250541602005,0.9605418449258196,0.03939319794470271,0.03931593112951206,0.14680694886223603
non diabetici,lr_scored,0.07,4087,357,52.11646684609738,6.068020552972841,2.666992904330805,0.6946778711484594,0.64504190377013,0.740168821334134,55,43,0.7818181818181819,0.6562996597815998,0.8705397595887696,0.02602008466393574,0.018656058680684345,9.783634520605421
tutti,lr_scored,0.05,4350,425,80.55172413793103,8.804597701149426,0.9655172413793104,0.9011764705882352,0.8691105709655115,0.9260550852136825,71,66,0.9295774647887324,0.8455098688621009,0.969546397560289,0.0502843315184513,0.05021173623714459,0.13793103448274668
tutti,lr_scored,0.07,4350,425,55.01149425287356,7.264367816091954,2.5057471264367814,0.7435294117647059,0.6999601968611608,0.7827356706728366,71,59,0.8309859154929577,0.7274087200136651,0.9005854524757174,0.03670498084291187,0.02978618217772834,9.192118226600973
diabetici,lr_penalized,0.05,263,68,98.85931558935361,25.85551330798479,0.0,1.0,0.9465286634799295,1.0,16,16,1.0,0.8063923194655637,1.0,0.22013207924754852,0.21953171903141883,1.1406844106464142
diabetici,lr_penalized,0.07,263,68,93.91634980988593,25.09505703422053,0.7604562737642585,0.9705882352941176,0.8989536863477694,0.9918968204568701,16,16,1.0,0.8063923194655637,1.0,0.19914959728525283,0.2027474549245676,-4.780010863661061
non diabetici,lr_penalized,0.05,4087,357,75.2874969415219,7.560557866405676,1.1744555908979692,0.865546218487395,0.8262419149390103,0.897067432199212,55,51,0.9272727272727272,0.8274005992784393,0.9713559397669594,0.039959821256100855,0.03931593112951206,1.2233912405187126
non diabetici,lr_penalized,0.07,4087,357,50.893075605578666,6.141424027403964,2.5935894298996818,0.7030812324929971,0.6537273402426073,0.7481111859452939,55,47,0.8545454545454545,0.7383908706854773,0.9244071085224069,0.0277302014517576,0.018656058680684345,12.055646824425892
tutti,lr_penalized,0.05,4350,425,76.71264367816092,8.666666666666666,1.103448275862069,0.8870588235294118,0.8534344106166456,0.9137488764301427,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.0508529945553539,0.05021173623714459,1.2183908045976923
tutti,lr_penalized,0.07,4350,425,53.49425287356322,7.287356321839081,2.4827586206896552,0.7458823529411764,0.7024157481708075,0.7849438475519241,71,63,0.8873239436619719,0.7930995148918869,0.9417872827020712,0.038094178717093065,0.02978618217772834,11.037766830870275
diabetici,random_forest,0.05,263,68,99.61977186311788,25.85551330798479,0.0,1.0,0.9465286634799295,1.0,16,16,1.0,0.8063923194655637,1.0,0.21973183910346206,0.21953171903141883,0.380228136882138
diabetici,random_forest,0.07,263,68,98.85931558935361,25.85551330798479,0.0,1.0,0.9465286634799295,1.0,16,16,1.0,0.8063923194655637,1.0,0.20360603458849502,0.2027474549245676,1.1406844106464176
non diabetici,random_forest,0.05,4087,357,85.83312943479325,8.14778566185466,0.5872277954489846,0.9327731092436975,0.9019208854387541,0.9544108703685665,55,51,0.9272727272727272,0.8274005992784393,0.9713559397669594,0.04059083358015789,0.03931593112951206,2.4223146562270723
non diabetici,random_forest,0.07,4087,357,61.26743332517739,6.997797895767066,1.7372155615365794,0.8011204481792717,0.7566056925546494,0.8392238462756869,55,46,0.8363636363636363,0.7173625426094283,0.9114457966390772,0.029129866268867183,0.018656058680684345,13.915201510014338
tutti,random_forest,0.05,4350,425,86.66666666666667,9.218390804597702,0.5517241379310345,0.9435294117647058,0.917351218148074,0.9617615454283369,71,67,0.9436619718309859,0.8639039420002305,0.9778754806983033,0.0514216575922565,0.05021173623714459,2.2988505747126378
tutti,random_forest,0.07,4350,425,63.54022988505747,8.137931034482758,1.632183908045977,0.8329411764705882,0.7945275882938004,0.8653899504120995,71,62,0.8732394366197183,0.7763089172134626,0.9318547241043514,0.03967865529600789,0.02978618217772834,13.142857142857116
diabetici,xgboost,0.05,263,68,94.67680608365019,25.475285171102662,0.38022813688212925,0.9852941176470589,0.9212902687183914,0.9973993164238931,16,16,1.0,0.8063923194655637,1.0,0.2183309985991595,0.21953171903141883,-2.281368821292723
diabetici,xgboost,0.07,263,68,88.59315589353612,23.954372623574145,1.9011406844106464,0.9264705882352942,0.8391481160428226,0.968185155748882,16,15,0.9375,0.7167126242970107,0.9888806552353576,0.1908908786131894,0.2027474549245676,-15.752308527973902
non diabetici,xgboost,0.05,4087,357,63.78761928064595,7.046733545387815,1.6882799119158307,0.8067226890756303,0.7625847178577089,0.8443300216950523,55,46,0.8363636363636363,0.7173625426094283,0.9114457966390772,0.04060371138268965,0.03931593112951206,2.4467824810374252
non diabetici,xgboost,0.07,4087,357,45.094201125519945,5.872277954489846,2.8627355028137997,0.6722689075630253,0.6219696096896165,0.7189003125249483,55,39,0.7090909090909091,0.5785927950724501,0.8122880644604047,0.0292009018892844,0.018656058680684345,14.0095774057115
tutti,xgboost,0.05,4350,425,65.65517241379311,8.160919540229886,1.6091954022988506,0.8352941176470589,0.7970569804120378,0.8675242864825965,71,62,0.8732394366197183,0.7763089172134626,0.9318547241043514,0.05134906231094979,0.05021173623714459,2.160919540229878
tutti,xgboost,0.07,4350,425,47.724137931034484,6.9655172413793105,2.8045977011494254,0.7129411764705882,0.6681746493466231,0.7538927517338289,71,54,0.7605633802816901,0.649587791439064,0.8447905996695988,0.0389766407119021,0.02978618217772834,12.210180623973708
