group,model,outcome,bin_from,bin_to,n
diabetici,lr_scored,0,0.0,0.01,0
diabetici,lr_scored,0,0.01,0.02,0
diabetici,lr_scored,0,0.02,0.03,0
diabetici,lr_scored,0,0.03,0.04,0
diabetici,lr_scored,0,0.04,0.05,0
diabetici,lr_scored,0,0.05,0.06,0
diabetici,lr_scored,0,0.06,0.07,0
diabetici,lr_scored,0,0.07,0.08,0
diabetici,lr_scored,0,0.08,0.09,0
diabetici,lr_scored,0,0.09,0.1,1
diabetici,lr_scored,0,0.1,0.11,5
diabetici,lr_scored,0,0.11,0.12,3
diabetici,lr_scored,0,0.12,0.13,5
diabetici,lr_scored,0,0.13,0.14,5
diabetici,lr_scored,0,0.14,0.15,5
diabetici,lr_scored,0,0.15,0.16,15
diabetici,lr_scored,0,0.16,0.17,3
diabetici,lr_scored,0,0.17,0.18,6
diabetici,lr_scored,0,0.18,0.19,11
diabetici,lr_scored,0,0.19,0.2,7
diabetici,lr_scored,0,0.2,0.21,9
diabetici,lr_scored,0,0.21,0.22,8
diabetici,lr_scored,0,0.22,0.23,9
diabetici,lr_scored,0,0.23,0.24,8
diabetici,lr_scored,0,0.24,0.25,11
diabetici,lr_scored,0,0.25,0.26,8
diabetici,lr_scored,0,0.26,0.27,9
diabetici,lr_scored,0,0.27,0.28,5
diabetici,lr_scored,0,0.28,0.29,6
diabetici,lr_scored,0,0.29,0.3,7
diabetici,lr_scored,0,0.3,0.31,4
diabetici,lr_scored,0,0.31,0.32,5
diabetici,lr_scored,0,0.32,0.33,7
diabetici,lr_scored,0,0.33,0.34,1
diabetici,lr_scored,0,0.34,0.35000000000000003,7
diabetici,lr_scored,0,0.35000000000000003,0.36,1
diabetici,lr_scored,0,0.36,0.37,4
diabetici,lr_scored,0,0.37,0.38,6
diabetici,lr_scored,0,0.38,0.39,1
diabetici,lr_scored,0,0.39,0.4,3
diabetici,lr_scored,0,0.4,0.41000000000000003,1
diabetici,lr_scored,0,0.41000000000000003,0.42,1
diabetici,lr_scored,0,0.42,0.43,0
diabetici,lr_scored,0,0.43,0.44,1
diabetici,lr_scored,0,0.44,0.45,1
